Comet name,q,e,Tq,year of observations
C/2021 S3,1.32,1.00025,14.02.2024,"2024, 2025"
C/2019 L3,3.55,1.00141,09.01.2022,"2024, 2025"
C/2019 U5,3.62,1.00142,29.03.2023,"2024, 2025"
C/2022 N2,3.83,1.00356,31.07.25,"2024, 2025"
C/2019 T4,4.24,0.99562,08.06.2022,"2024, 2025"
C/2017 K2,1.8,1.0006,19.12.2022,"2020, 2021, 2024, 2025"
C/2022 QE78,5.48,1.00405,10.09.2025,"2024, 2025"
C/2022 E2,3.67,1.00073,14.09.2024,"2024, 2025"
C/2024 E1,0.566,1.00005,20.01.2026,"2024, 2025"
C/2021 G2,4.982,1.00011,09.09.2024,"2024, 2025"
C/2023 Q1,2.576,1.0053,01.12.2024,"2024, 2025"
C/2023 H5,4.313,1.00038,30.06.2025,"2024, 2025"
C/2010 U3,8.446,1.00085,26.02.2019,"2019, 2020"
C/2012 K2,1.491,0.59426,12.09.2012,2014
C/2013 V2,3.508,1.00446,14.10.2014,2015
C/2014 N3,3.882,0.99933,13.03.2015,2015
C/2014 S2,2.101,0.98763,09.12.2015,"2015, 2016"
C/2014 W2,2.67,0.99832,10.03.2016,"2015, 2016"
C/2015 O1,3.73,0.99999,19.02.2018,"2017, 2018"
C/2015 V2,1.637,1.0017,12.06.2017,2017
C/2015 VL62,2.72,1.00203,28.08.2017,2017
C/2016 N4,3.199,0.99939,16.09.2017,2017
C/2017 O1,1.499,0.99643,14.10.2017,2017
C/2018 N2,3.125,1.00018,10.11.2019,"2019, 2020"
C/2018 U1,4.994,1.00081,02.11.2021,Jun-21
C/2020 M3,1.268,0.95271,25.10.2020,2020
C/2020 T2,2.055,0.99343,11.07.2021,2021
C/2021 A2,0.615,1.0001,03.01.2022,2021
110P,2.464,0.31628,16.12.2014,2015
114P,1.579,0.55448,14.01.2020,"2019, 2020, 2021"
123P,2.126,0.44927,04.02.2019,"2011, 2019"
12P,0.781,0.95456,21.04.2024,2023
156P,1.333,0.61492,17.11.2020,"2020, 2021"
201P,1.34,0.61286,14.01.2015,2015
21P,1.013,0.71047,10.09.2018,2018
230P,1.485,0.56311,18.11.2015,"2015, 2016"
260P,1.491,0.59426,12.09.2012,2019
32P,1.994,0.55667,01.03.2024,2015
38P,1.589,0.85929,10.11.2018,"2018, 2019"
398P,1.306,0.58257,26.12.2020,"2020, 2021"
4P,1.578,0.58448,05.09.2021,2015
64P,1.393,0.68732,03.11.2018,2018
68P,1.762,0.64034,11.11.2019,2019
