Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
980429140055a,50932.5839699074,none,20,229.82897448399,-20.6102282519936,980429140055a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980429/obsdata/980429140055a.fit.fz,
980429143008a,50932.6042592593,none,20,229.825726496907,-20.6096088631675,980429143008a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980429/obsdata/980429143008a.fit.fz,
980429150530a,50932.6288194444,none,20,229.821794820609,-20.6088590952946,980429150530a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980429/obsdata/980429150530a.fit.fz,
01333b151-w1-int-1b,55223.6663790163,w1,8,216.468453213327,-13.1306404614912,01333b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01333b/151/01333b151-w1-int-1b.fits,
01333b151-w2-int-1b,55223.6663790163,w2,8,216.468453213327,-13.1306404614912,01333b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01333b/151/01333b151-w2-int-1b.fits,
01333b151-w3-int-1b,55223.6663848033,w3,9,216.468453595751,-13.1306406161326,01333b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01333b/151/01333b151-w3-int-1b.fits,
01333b151-w4-int-1b,55223.6663848033,w4,9,216.468453595751,-13.1306406161326,01333b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01333b/151/01333b151-w4-int-1b.fits,
01337b152-w1-int-1b,55223.7988106563,w1,8,216.477204737537,-13.1341793292045,01337b152,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/01337b/152/01337b152-w1-int-1b.fits,
01337b152-w2-int-1b,55223.7988106563,w2,8,216.477204737537,-13.1341793292045,01337b152,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/01337b/152/01337b152-w2-int-1b.fits,
01337b152-w3-int-1b,55223.7988164433,w3,9,216.477205119961,-13.1341794838459,01337b152,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/01337b/152/01337b152-w3-int-1b.fits,
01337b152-w4-int-1b,55223.7988164433,w4,9,216.477205119961,-13.1341794838459,01337b152,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/01337b/152/01337b152-w4-int-1b.fits,
01341b151-w1-int-1b,55223.9311149863,w1,8,216.485947848678,-13.1377147949117,01341b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01341b/151/01341b151-w1-int-1b.fits,
01341b151-w2-int-1b,55223.9311149863,w2,8,216.485947848678,-13.1377147949117,01341b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01341b/151/01341b151-w2-int-1b.fits,
01341b151-w3-int-1b,55223.9311207733,w3,9,216.485948231102,-13.1377149495531,01341b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01341b/151/01341b151-w3-int-1b.fits,
01341b151-w4-int-1b,55223.9311207733,w4,9,216.485948231102,-13.1377149495531,01341b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01341b/151/01341b151-w4-int-1b.fits,
01344a126-w1-int-1b,55223.9972034563,w1,8,216.490315195071,-13.1394808256935,01344a126,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01344a/126/01344a126-w1-int-1b.fits,
01344a126-w2-int-1b,55223.9972034563,w2,8,216.490315195071,-13.1394808256935,01344a126,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01344a/126/01344a126-w2-int-1b.fits,
01344a126-w3-int-1b,55223.9972092433,w3,9,216.490315577495,-13.1394809803349,01344a126,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01344a/126/01344a126-w3-int-1b.fits,
01344a126-w4-int-1b,55223.9972092433,w4,9,216.490315577495,-13.1394809803349,01344a126,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01344a/126/01344a126-w4-int-1b.fits,
01345b151-w1-int-1b,55224.0634193063,w1,8,216.494466349115,-13.1411780328085,01345b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/01345b/151/01345b151-w1-int-1b.fits,
01345b151-w2-int-1b,55224.0634193063,w2,8,216.494466349115,-13.1411780328085,01345b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/01345b/151/01345b151-w2-int-1b.fits,
01345b151-w3-int-1b,55224.0634250933,w3,9,216.494466711043,-13.1411781808592,01345b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/01345b/151/01345b151-w3-int-1b.fits,
01345b151-w4-int-1b,55224.0634250933,w4,9,216.494466711043,-13.1411781808592,01345b151,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/01345b/151/01345b151-w4-int-1b.fits,
01348a073-w1-int-1b,55224.1296351063,w1,8,216.498607595607,-13.1428720536918,01348a073,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01348a/073/01348a073-w1-int-1b.fits,
