Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
821588p,53679.3021097602,I.MP9701,615,34.0374699698727,-6.23249578084537,w1.-1+1,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/821588p.fits.fz,
821589p,53679.3098072428,I.MP9701,615,34.0371931812277,-6.23253106097393,w1.-1+1,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/821589p.fits.fz,
821592p,53679.3329471428,I.MP9701,615,34.0363611089901,-6.23263711884894,w1.-1+1,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/821592p.fits.fz,
862706p,53965.5414092574,R.MP9601,576,36.9391411197692,-3.17076050775142,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/862706p.fits.fz,
862707p,53965.5487728227,R.MP9601,576,36.9390773022033,-3.17082412077389,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/862707p.fits.fz,
862708p,53965.5560618574,R.MP9601,576,36.9390141305692,-3.17088708993477,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/862708p.fits.fz,
862709p,53965.5633333475,R.MP9601,576,36.9389511109884,-3.17094990752977,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/862709p.fits.fz,
862710p,53965.5706246937,R.MP9601,576,36.9388879193213,-3.17101289665944,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/862710p.fits.fz,
862711p,53965.5778830574,R.MP9601,576,36.9388250135026,-3.17107560085696,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/862711p.fits.fz,
862717p,53965.5934103012,Z.MP9801,560,36.9386904440563,-3.17120973899089,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/862717p.fits.fz,
862718p,53965.6004863259,Z.MP9801,560,36.9386291185089,-3.17127086798208,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/862718p.fits.fz,
862719p,53965.6080607706,Z.MP9801,560,36.9385634733215,-3.17133630276826,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/862719p.fits.fz,
862720p,53965.6151696359,Z.MP9801,560,36.9385018631555,-3.1713977154657,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/862720p.fits.fz,
863912p,53976.5128349963,Z.MP9801,560,36.8055499879744,-3.27397664176823,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/863912p.fits.fz,
864051p,53977.6075304722,G.MP9401,420,36.7881365906994,-3.28506544868963,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/864051p.fits.fz,
864052p,53977.6129838433,G.MP9401,420,36.7880484278667,-3.28512089129575,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/864052p.fits.fz,
864053p,53977.6185159722,G.MP9401,420,36.7879589917828,-3.28517713460627,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/864053p.fits.fz,
864054p,53977.6239677417,G.MP9401,420,36.7878708548425,-3.28523256092954,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/864054p.fits.fz,
864055p,53977.6294100259,G.MP9401,420,36.787782871248,-3.28528789081884,Field B,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/864055p.fits.fz,
877733p,54048.49113295,J,45,34.5630423255499,-3.94415946885835,W1.-0+3_1_1,CFHT/WIRCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/877733p.fits.fz,
rings.v3.skycell.1422.036.wrp.z.55076_63648,55076.6370528111,z,30,39.7540055579178,5.59707502839202,1422.036,Pan-STARRS1,,
rings.v3.skycell.1422.046.wrp.z.55076_63648,55076.6370528111,z,30,39.7540055579178,5.59707502839202,1422.046,Pan-STARRS1,,
frame-r-008039-2-0086,55090.4250087,r,54,39.4158309940751,5.51717077485003,frame-r-008039-2-0086,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8039/2/frame-r-008039-2-0086.fits.bz2,
frame-r-008039-2-0087,55090.4254234,r,54,39.4158187949832,5.51716798714442,frame-r-008039-2-0087,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8039/2/frame-r-008039-2-0087.fits.bz2,
frame-i-008039-2-0086,55090.425838,i,54,39.4158065988332,5.5171652001111,frame-i-008039-2-0086,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8039/2/frame-i-008039-2-0086.fits.bz2,
frame-r-008039-2-0088,55090.425838,r,54,39.4158065988332,5.5171652001111,frame-r-008039-2-0088,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8039/2/frame-r-008039-2-0088.fits.bz2,
frame-i-008039-2-0087,55090.4262526,i,54,39.4157944026833,5.51716241307777,frame-i-008039-2-0087,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8039/2/frame-i-008039-2-0087.fits.bz2,
frame-i-008039-2-0088,55090.4266673,i,54,39.4157822035916,5.51715962537221,frame-i-008039-2-0088,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8039/2/frame-i-008039-2-0088.fits.bz2,
frame-u-008039-2-0086,55090.4266673,u,54,39.4157822035916,5.51715962537221,frame-u-008039-2-0086,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8039/2/frame-u-008039-2-0086.fits.bz2,
frame-u-008039-2-0087,55090.4270819,u,54,39.4157700074416,5.51715683833888,frame-u-008039-2-0087,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8039/2/frame-u-008039-2-0087.fits.bz2,
frame-u-008039-2-0088,55090.4274965,u,54,39.4157578112916,5.51715405130556,frame-u-008039-2-0088,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8039/2/frame-u-008039-2-0088.fits.bz2,
frame-z-008039-2-0086,55090.4274965,z,54,39.4157578112916,5.51715405130556,frame-z-008039-2-0086,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8039/2/frame-z-008039-2-0086.fits.bz2,
