Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
05201b223-w1-int-1b,55351.6260588763,w1,8,9.55382210497738,-44.6494364882621,05201b223,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/05201b/223/05201b223-w1-int-1b.fits,
05201b223-w2-int-1b,55351.6260588763,w2,8,9.55382210497738,-44.6494364882621,05201b223,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/05201b/223/05201b223-w2-int-1b.fits,
05201b223-w3-int-1b,55351.6260646633,w3,9,9.55382232825906,-44.6494366345446,05201b223,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/05201b/223/05201b223-w3-int-1b.fits,
05201b223-w4-int-1b,55351.6260646633,w4,9,9.55382232825906,-44.6494366345446,05201b223,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/05201b/223/05201b223-w4-int-1b.fits,
05289b220-w1-int-1b,55354.5366146963,w1,8,9.66099900137786,-44.7259540496577,05289b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05289b/220/05289b220-w1-int-1b.fits,
05289b220-w2-int-1b,55354.5366146963,w2,8,9.66099900137786,-44.7259540496577,05289b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05289b/220/05289b220-w2-int-1b.fits,
05289b220-w3-int-1b,55354.5366204833,w3,9,9.66099920536955,-44.7259542070319,05289b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05289b/220/05289b220-w3-int-1b.fits,
05289b220-w4-int-1b,55354.5366204833,w4,9,9.66099920536955,-44.7259542070319,05289b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05289b/220/05289b220-w4-int-1b.fits,
05293b220-w1-int-1b,55354.6689184363,w1,8,9.66566270821285,-44.7295519763649,05293b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05293b/220/05293b220-w1-int-1b.fits,
05293b220-w2-int-1b,55354.6689184363,w2,8,9.66566270821285,-44.7295519763649,05293b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05293b/220/05293b220-w2-int-1b.fits,
05293b220-w3-int-1b,55354.6689242233,w3,9,9.66566291220455,-44.7295521337391,05293b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05293b/220/05293b220-w3-int-1b.fits,
05293b220-w4-int-1b,55354.6689242233,w4,9,9.66566291220455,-44.7295521337391,05293b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05293b/220/05293b220-w4-int-1b.fits,
05297b220-w1-int-1b,55354.8012222363,w1,8,9.67032641716302,-44.7331499047039,05297b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/05297b/220/05297b220-w1-int-1b.fits,
05297b220-w2-int-1b,55354.8012222363,w2,8,9.67032641716302,-44.7331499047039,05297b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/05297b/220/05297b220-w2-int-1b.fits,
05297b220-w3-int-1b,55354.8012280233,w3,9,9.67032662115471,-44.7331500620782,05297b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/05297b/220/05297b220-w3-int-1b.fits,
05297b220-w4-int-1b,55354.8012280233,w4,9,9.67032662115471,-44.7331500620782,05297b220,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/05297b/220/05297b220-w4-int-1b.fits,
05301b219-w1-int-1b,55354.9333987663,w1,8,9.67498563984532,-44.7367443720057,05301b219,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/05301b/219/05301b219-w1-int-1b.fits,
