Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
rings.v3.skycell.0729.026.wrp.z.55231_22188,55231.2224457111,z,30,65.2030033181799,-27.0867762909468,0729.026,Pan-STARRS1,,
rings.v3.skycell.0729.026.wrp.z.55231_22999,55231.2305601111,z,30,65.2027876103799,-27.0863861235468,0729.026,Pan-STARRS1,,
rings.v3.skycell.0729.026.wrp.z.55231_23148,55231.2320490111,z,30,65.2027480304549,-27.0863145322717,0729.026,Pan-STARRS1,,
01714a075-w1-int-1b,55236.2629059963,w1,8,65.0819394584104,-26.8403780430176,01714a075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01714a/075/01714a075-w1-int-1b.fits,
01714a075-w2-int-1b,55236.2629059963,w2,8,65.0819394584104,-26.8403780430176,01714a075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01714a/075/01714a075-w2-int-1b.fits,
01714a075-w3-int-1b,55236.2629117833,w3,9,65.081939337848,-26.8403777547929,01714a075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01714a/075/01714a075-w3-int-1b.fits,
01714a075-w4-int-1b,55236.2629117833,w4,9,65.081939337848,-26.8403777547929,01714a075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01714a/075/01714a075-w4-int-1b.fits,
01718a075-w1-int-1b,55236.3952101963,w1,8,65.0791831209104,-26.8337885588343,01718a075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01718a/075/01718a075-w1-int-1b.fits,
01718a075-w2-int-1b,55236.3952101963,w2,8,65.0791831209104,-26.8337885588343,01718a075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01718a/075/01718a075-w2-int-1b.fits,
01718a075-w3-int-1b,55236.3952159833,w3,9,65.0791830003479,-26.8337882706096,01718a075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01718a/075/01718a075-w3-int-1b.fits,
01718a075-w4-int-1b,55236.3952159833,w4,9,65.0791830003479,-26.8337882706096,01718a075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01718a/075/01718a075-w4-int-1b.fits,
01718a076-w1-int-1b,55236.3953375163,w1,8,65.0791804684105,-26.8337822175911,01718a076,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01718a/076/01718a076-w1-int-1b.fits,
01718a076-w2-int-1b,55236.3953375163,w2,8,65.0791804684105,-26.8337822175911,01718a076,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01718a/076/01718a076-w2-int-1b.fits,
01718a076-w3-int-1b,55236.3953433033,w3,9,65.0791803478479,-26.8337819293661,01718a076,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01718a/076/01718a076-w3-int-1b.fits,
01718a076-w4-int-1b,55236.3953433033,w4,9,65.0791803478479,-26.8337819293661,01718a076,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01718a/076/01718a076-w4-int-1b.fits,
01722b075-w1-int-1b,55236.5275143563,w1,8,65.0764267842438,-26.8271990766433,01722b075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2b/01722b/075/01722b075-w1-int-1b.fits,
01722b075-w2-int-1b,55236.5275143563,w2,8,65.0764267842438,-26.8271990766433,01722b075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2b/01722b/075/01722b075-w2-int-1b.fits,
01722b075-w3-int-1b,55236.5275201433,w3,9,65.0764266636812,-26.8271987884183,01722b075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2b/01722b/075/01722b075-w3-int-1b.fits,
01722b075-w4-int-1b,55236.5275201433,w4,9,65.0764266636812,-26.8271987884183,01722b075,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2b/01722b/075/01722b075-w4-int-1b.fits,
01722b076-w1-int-1b,55236.5276417263,w1,8,65.0764241307021,-26.8271927329095,01722b076,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2b/01722b/076/01722b076-w1-int-1b.fits,
