Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
04701b197-w1-int-1b,55335.0857906363,w1,8,343.222881477292,-39.0295062507412,04701b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04701b/197/04701b197-w1-int-1b.fits,
04701b197-w2-int-1b,55335.0857906363,w2,8,343.222881477292,-39.0295062507412,04701b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04701b/197/04701b197-w2-int-1b.fits,
04701b197-w3-int-1b,55335.0857964233,w3,9,343.222881517077,-39.0295063635877,04701b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04701b/197/04701b197-w3-int-1b.fits,
04701b197-w4-int-1b,55335.0857964233,w4,9,343.222881517077,-39.0295063635877,04701b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04701b/197/04701b197-w4-int-1b.fits,
04705b197-w1-int-1b,55335.2180946263,w1,8,343.223791067223,-39.0320861785462,04705b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04705b/197/04705b197-w1-int-1b.fits,
04705b197-w2-int-1b,55335.2180946263,w2,8,343.223791067223,-39.0320861785462,04705b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04705b/197/04705b197-w2-int-1b.fits,
04705b197-w3-int-1b,55335.2181004133,w3,9,343.223791107008,-39.0320862913927,04705b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04705b/197/04705b197-w3-int-1b.fits,
04705b197-w4-int-1b,55335.2181004133,w4,9,343.223791107008,-39.0320862913927,04705b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04705b/197/04705b197-w4-int-1b.fits,
04709b196-w1-int-1b,55335.3502712463,w1,8,343.224699781485,-39.0346636226362,04709b196,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/196/04709b196-w1-int-1b.fits,
04709b196-w2-int-1b,55335.3502712463,w2,8,343.224699781485,-39.0346636226362,04709b196,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/196/04709b196-w2-int-1b.fits,
04709b196-w3-int-1b,55335.3502770333,w3,9,343.224699821271,-39.0346637354826,04709b196,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/196/04709b196-w3-int-1b.fits,
04709b196-w4-int-1b,55335.3502770333,w4,9,343.224699821271,-39.0346637354826,04709b196,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/196/04709b196-w4-int-1b.fits,
04709b197-w1-int-1b,55335.3503985663,w1,8,343.22470065681,-39.0346661053761,04709b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/197/04709b197-w1-int-1b.fits,
04709b197-w2-int-1b,55335.3503985663,w2,8,343.22470065681,-39.0346661053761,04709b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/197/04709b197-w2-int-1b.fits,
04709b197-w3-int-1b,55335.3504043533,w3,9,343.224700696596,-39.0346662182227,04709b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/197/04709b197-w3-int-1b.fits,
04709b197-w4-int-1b,55335.3504043533,w4,9,343.224700696596,-39.0346662182227,04709b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/197/04709b197-w4-int-1b.fits,
04713b196-w1-int-1b,55335.4825751863,w1,8,343.225609371073,-39.0372435494662,04713b196,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/196/04713b196-w1-int-1b.fits,
04713b196-w2-int-1b,55335.4825751863,w2,8,343.225609371073,-39.0372435494662,04713b196,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/196/04713b196-w2-int-1b.fits,
04713b196-w3-int-1b,55335.4825809733,w3,9,343.225609410858,-39.0372436623127,04713b196,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/196/04713b196-w3-int-1b.fits,
04713b196-w4-int-1b,55335.4825809733,w4,9,343.225609410858,-39.0372436623127,04713b196,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/196/04713b196-w4-int-1b.fits,
04713b197-w1-int-1b,55335.4827024963,w1,8,343.225610246329,-39.0372460320112,04713b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/197/04713b197-w1-int-1b.fits,
04713b197-w2-int-1b,55335.4827024963,w2,8,343.225610246329,-39.0372460320112,04713b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/197/04713b197-w2-int-1b.fits,
04713b197-w3-int-1b,55335.4827082833,w3,9,343.225610286115,-39.0372461448576,04713b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/197/04713b197-w3-int-1b.fits,
04713b197-w4-int-1b,55335.4827082833,w4,9,343.225610286115,-39.0372461448576,04713b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/197/04713b197-w4-int-1b.fits,
04717b197-w1-int-1b,55335.6150064863,w1,8,343.22651983626,-39.0398259598162,04717b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/197/04717b197-w1-int-1b.fits,
04717b197-w2-int-1b,55335.6150064863,w2,8,343.22651983626,-39.0398259598162,04717b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/197/04717b197-w2-int-1b.fits,
04717b197-w3-int-1b,55335.6150122733,w3,9,343.226519876046,-39.0398260726627,04717b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/197/04717b197-w3-int-1b.fits,
04717b197-w4-int-1b,55335.6150122733,w4,9,343.226519876046,-39.0398260726627,04717b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/197/04717b197-w4-int-1b.fits,
04720a172-w1-int-1b,55335.6810947963,w1,8,343.226974193392,-39.0411146818612,04720a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04720a/172/04720a172-w1-int-1b.fits,
04720a172-w2-int-1b,55335.6810947963,w2,8,343.226974193392,-39.0411146818612,04720a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04720a/172/04720a172-w2-int-1b.fits,
04720a172-w3-int-1b,55335.6811005833,w3,9,343.226974233177,-39.0411147947077,04720a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04720a/172/04720a172-w3-int-1b.fits,
04720a172-w4-int-1b,55335.6811005833,w4,9,343.226974233177,-39.0411147947077,04720a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04720a/172/04720a172-w4-int-1b.fits,
04720a173-w4-int-1b,55335.6812279533,w4,9,343.226975108846,-39.0411172784226,04720a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04720a/173/04720a173-w4-int-1b.fits,
04721b197-w1-int-1b,55335.7473104763,w1,8,343.227429426192,-39.0424058876211,04721b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04721b/197/04721b197-w1-int-1b.fits,
04721b197-w2-int-1b,55335.7473104763,w2,8,343.227429426192,-39.0424058876211,04721b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04721b/197/04721b197-w2-int-1b.fits,
04721b197-w3-int-1b,55335.7473162633,w3,9,343.227429465977,-39.0424060004677,04721b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04721b/197/04721b197-w3-int-1b.fits,
04721b197-w4-int-1b,55335.7473162633,w4,9,343.227429465977,-39.0424060004677,04721b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04721b/197/04721b197-w4-int-1b.fits,
04724a172-w1-int-1b,55335.8133988263,w1,8,343.227883783598,-39.0436946104461,04724a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04724a/172/04724a172-w1-int-1b.fits,
04724a172-w2-int-1b,55335.8133988263,w2,8,343.227883783598,-39.0436946104461,04724a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04724a/172/04724a172-w2-int-1b.fits,
04724a172-w3-int-1b,55335.8134046133,w3,9,343.227883823383,-39.0436947232926,04724a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04724a/172/04724a172-w3-int-1b.fits,
04724a172-w4-int-1b,55335.8134046133,w4,9,343.227883823383,-39.0436947232926,04724a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04724a/172/04724a172-w4-int-1b.fits,
04724a173-w1-int-1b,55335.8135261463,w1,8,343.227884658923,-39.0436970931862,04724a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04724a/173/04724a173-w1-int-1b.fits,
04724a173-w2-int-1b,55335.8135261463,w2,8,343.227884658923,-39.0436970931862,04724a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04724a/173/04724a173-w2-int-1b.fits,
04724a173-w3-int-1b,55335.8135319333,w3,9,343.227884698708,-39.0436972060327,04724a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04724a/173/04724a173-w3-int-1b.fits,
04724a173-w4-int-1b,55335.8135319333,w4,9,343.227884698708,-39.0436972060327,04724a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04724a/173/04724a173-w4-int-1b.fits,
04725b197-w1-int-1b,55335.8796145063,w1,8,343.228339016398,-39.0449858162062,04725b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04725b/197/04725b197-w1-int-1b.fits,
04725b197-w2-int-1b,55335.8796145063,w2,8,343.228339016398,-39.0449858162062,04725b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04725b/197/04725b197-w2-int-1b.fits,
04725b197-w3-int-1b,55335.8796202933,w3,9,343.228339056183,-39.0449859290527,04725b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04725b/197/04725b197-w3-int-1b.fits,
04725b197-w4-int-1b,55335.8796202933,w4,9,343.228339056183,-39.0449859290527,04725b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04725b/197/04725b197-w4-int-1b.fits,
04728a172-w1-int-1b,55335.9457027663,w1,8,343.228793373185,-39.0462745372762,04728a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04728a/172/04728a172-w1-int-1b.fits,
04728a172-w2-int-1b,55335.9457027663,w2,8,343.228793373185,-39.0462745372762,04728a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04728a/172/04728a172-w2-int-1b.fits,
04728a172-w3-int-1b,55335.9457085533,w3,9,343.228793412971,-39.0462746501226,04728a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04728a/172/04728a172-w3-int-1b.fits,
04728a172-w4-int-1b,55335.9457085533,w4,9,343.228793412971,-39.0462746501226,04728a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04728a/172/04728a172-w4-int-1b.fits,
04728a173-w1-int-1b,55335.9458301263,w1,8,343.228794248785,-39.0462770207962,04728a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04728a/173/04728a173-w1-int-1b.fits,
04728a173-w2-int-1b,55335.9458301263,w2,8,343.228794248785,-39.0462770207962,04728a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04728a/173/04728a173-w2-int-1b.fits,
04728a173-w3-int-1b,55335.9458359133,w3,9,343.228794288571,-39.0462771336426,04728a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04728a/173/04728a173-w3-int-1b.fits,
04728a173-w4-int-1b,55335.9458359133,w4,9,343.228794288571,-39.0462771336426,04728a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04728a/173/04728a173-w4-int-1b.fits,
04729b197-w1-int-1b,55336.0119184363,w1,8,343.229236190879,-39.0475703777886,04729b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04729b/197/04729b197-w1-int-1b.fits,
04729b197-w2-int-1b,55336.0119184363,w2,8,343.229236190879,-39.0475703777886,04729b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04729b/197/04729b197-w2-int-1b.fits,
04729b197-w3-int-1b,55336.0119242233,w3,9,343.229236224636,-39.0475704928856,04729b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04729b/197/04729b197-w3-int-1b.fits,
04729b197-w4-int-1b,55336.0119242233,w4,9,343.229236224636,-39.0475704928856,04729b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04729b/197/04729b197-w4-int-1b.fits,
04732a172-w1-int-1b,55336.0780067963,w1,8,343.229621706312,-39.0488848018375,04732a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/04732a/172/04732a172-w1-int-1b.fits,
04732a172-w2-int-1b,55336.0780067963,w2,8,343.229621706312,-39.0488848018375,04732a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/04732a/172/04732a172-w2-int-1b.fits,
04732a172-w3-int-1b,55336.0780125833,w3,9,343.22962174007,-39.0488849169344,04732a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/04732a/172/04732a172-w3-int-1b.fits,
04732a172-w4-int-1b,55336.0780125833,w4,9,343.22962174007,-39.0488849169344,04732a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/04732a/172/04732a172-w4-int-1b.fits,
04732a173-w1-int-1b,55336.0781341063,w1,8,343.229622448954,-39.0488873338919,04732a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/04732a/173/04732a173-w1-int-1b.fits,
04732a173-w2-int-1b,55336.0781341063,w2,8,343.229622448954,-39.0488873338919,04732a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/04732a/173/04732a173-w2-int-1b.fits,
04732a173-w3-int-1b,55336.0781398933,w3,9,343.229622482711,-39.048887448989,04732a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/04732a/173/04732a173-w3-int-1b.fits,
04732a173-w4-int-1b,55336.0781398933,w4,9,343.229622482711,-39.048887448989,04732a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/04732a/173/04732a173-w4-int-1b.fits,
04733b197-w1-int-1b,55336.1442224663,w1,8,343.230007964387,-39.0502017579408,04733b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04733b/197/04733b197-w1-int-1b.fits,
04733b197-w2-int-1b,55336.1442224663,w2,8,343.230007964387,-39.0502017579408,04733b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04733b/197/04733b197-w2-int-1b.fits,
04733b197-w3-int-1b,55336.1442282533,w3,9,343.230007998145,-39.0502018730379,04733b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04733b/197/04733b197-w3-int-1b.fits,
04733b197-w4-int-1b,55336.1442282533,w4,9,343.230007998145,-39.0502018730379,04733b197,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04733b/197/04733b197-w4-int-1b.fits,
04736a172-w1-int-1b,55336.2103107263,w1,8,343.230393479237,-39.0515161800009,04736a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/04736a/172/04736a172-w1-int-1b.fits,
04736a172-w2-int-1b,55336.2103107263,w2,8,343.230393479237,-39.0515161800009,04736a172,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/04736a/172/04736a172-w2-int-1b.fits,
