Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
200511050047993101,53680.0548263889,r,30,77.982234036458,33.5111564998071,intphas_2240 r,INT/WFC,http://casu.ast.cam.ac.uk/casuadc/ingarch/displayResults?objname=&amp;coordinates=&amp;radius=&amp;nightobs=20051105&amp;telescope=&amp;instrument=&amp;waveband=&amp;pattref=&amp;runno=0479931,
200511050047993201,53680.0555324074,i,10,77.9822091493058,33.5111588728137,intphas_2240 i,INT/WFC,http://casu.ast.cam.ac.uk/casuadc/ingarch/displayResults?objname=&amp;coordinates=&amp;radius=&amp;nightobs=20051105&amp;telescope=&amp;instrument=&amp;waveband=&amp;pattref=&amp;runno=0479932,
200511050047993401,53680.0581134259,r,30,77.9821181684038,33.5111675479037,intphas_2240o r,INT/WFC,http://casu.ast.cam.ac.uk/casuadc/ingarch/displayResults?objname=&amp;coordinates=&amp;radius=&amp;nightobs=20051105&amp;telescope=&amp;instrument=&amp;waveband=&amp;pattref=&amp;runno=0479934,
200511050047993501,53680.0588194445,i,10,77.982093281248,33.5111699209107,intphas_2240o i,INT/WFC,http://casu.ast.cam.ac.uk/casuadc/ingarch/displayResults?objname=&amp;coordinates=&amp;radius=&amp;nightobs=20051105&amp;telescope=&amp;instrument=&amp;waveband=&amp;pattref=&amp;runno=0479935,
200612150054221401,54084.9352893518,r,30,77.0100992447941,34.3593202707048,intphas_2171 r,INT/WFC,http://casu.ast.cam.ac.uk/casuadc/ingarch/displayResults?objname=&amp;coordinates=&amp;radius=&amp;nightobs=20061215&amp;telescope=&amp;instrument=&amp;waveband=&amp;pattref=&amp;runno=0542214,
200612150054221501,54084.9360300926,i,10,77.0100642447914,34.3593188303755,intphas_2171 i,INT/WFC,http://casu.ast.cam.ac.uk/casuadc/ingarch/displayResults?objname=&amp;coordinates=&amp;radius=&amp;nightobs=20061215&amp;telescope=&amp;instrument=&amp;waveband=&amp;pattref=&amp;runno=0542215,
rings.v3.skycell.2100.030.wrp.y.55233_21907,55233.2196485111,y,30,77.1658859840282,37.3866728128798,2100.030,Pan-STARRS1,,
rings.v3.skycell.2100.030.wrp.y.55233_21963,55233.2201994111,y,30,77.1658687684031,37.3866675334214,2100.030,Pan-STARRS1,,
rings.v3.skycell.2100.030.wrp.y.55233_22796,55233.2285376111,y,30,77.165608199653,37.3865876256714,2100.030,Pan-STARRS1,,
rings.v3.skycell.2100.030.wrp.y.55233_22853,55233.2291018111,y,30,77.1655905684031,37.3865822187547,2100.030,Pan-STARRS1,,
rings.v3.skycell.2100.030.wrp.y.55238_21972,55238.2202967111,y,30,77.0209622607854,37.3383798848446,2100.030,Pan-STARRS1,,
rings.v3.skycell.2100.031.wrp.y.55238_21972,55238.2202967111,y,30,77.0209622607854,37.3383798848446,2100.031,Pan-STARRS1,,
rings.v3.skycell.2100.030.wrp.y.55238_22192,55238.2224950111,y,30,77.0209049217938,37.3383584514196,2100.030,Pan-STARRS1,,
rings.v3.skycell.2100.030.wrp.y.55238_23118,55238.2317553111,y,30,77.0206633823021,37.3382681634946,2100.030,Pan-STARRS1,,
rings.v3.skycell.2100.031.wrp.y.55238_23118,55238.2317553111,y,30,77.0206633823021,37.3382681634946,2100.031,Pan-STARRS1,,
rings.v3.skycell.2100.030.wrp.y.55238_23368,55238.2342574111,y,30,77.0205981191937,37.3382437680196,2100.030,Pan-STARRS1,,
rings.v3.skycell.2100.021.wrp.z.55253_37508,55253.3756558111,z,30,76.7456030081673,37.1909208349109,2100.021,Pan-STARRS1,,
rings.v3.skycell.2100.021.wrp.z.55253_37565,55253.3762170111,z,30,76.7455975598506,37.190915487922,2100.021,Pan-STARRS1,,
rings.v3.skycell.2100.031.wrp.z.55253_37565,55253.3762170111,z,30,76.7455975598506,37.190915487922,2100.031,Pan-STARRS1,,
rings.v3.skycell.2100.021.wrp.z.55253_37795,55253.3785251111,z,30,76.7455751520465,37.1908934968582,2100.021,Pan-STARRS1,,
rings.v3.skycell.2100.021.wrp.z.55253_38476,55253.3853297111,z,30,76.7455090907214,37.1908286641415,2100.021,Pan-STARRS1,,
rings.v3.skycell.2100.021.wrp.z.55253_38527,55253.3858402111,z,30,76.7455041346172,37.1908238002109,2100.021,Pan-STARRS1,,
