Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
980126071659a,50839.3034606481,none,20,115.242751659916,16.1815832108408,980126071659a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980126/obsdata/980126071659a.fit.fz,
980126073059a,50839.3131828704,none,20,115.242475386766,16.1816374932486,980126073059a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980126/obsdata/980126073059a.fit.fz,
980126074527a,50839.3232291667,none,20,115.242189904513,16.1816935850696,980126074527a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980126/obsdata/980126074527a.fit.fz,
980325052435a,50897.2254050926,none,20,114.021481264468,16.4879239326132,980325052435a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980325/obsdata/980325052435a.fit.fz,
980325053850a,50897.2353009259,none,20,114.021379832176,16.4879657150204,980325053850a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980325/obsdata/980325053850a.fit.fz,
980325055255a,50897.2450810185,none,20,114.021279586227,16.4880070087447,980325055255a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980325/obsdata/980325055255a.fit.fz,
frame-r-003560-5-0016,52639.2522633,r,54,112.637679032171,17.4122413004694,frame-r-003560-5-0016,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3560/5/frame-r-003560-5-0016.fits.bz2,
frame-i-003560-5-0016,52639.2530926,i,54,112.637649211925,17.4122457464389,frame-i-003560-5-0016,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3560/5/frame-i-003560-5-0016.fits.bz2,
frame-u-003560-5-0016,52639.2539219,u,54,112.637619391679,17.4122501924084,frame-u-003560-5-0016,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3560/5/frame-u-003560-5-0016.fits.bz2,
frame-z-003560-5-0016,52639.2547511,z,54,112.637589575029,17.4122546378417,frame-z-003560-5-0016,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3560/5/frame-z-003560-5-0016.fits.bz2,
frame-g-003560-5-0016,52639.2555804,g,54,112.637559754783,17.4122590838111,frame-g-003560-5-0016,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3560/5/frame-g-003560-5-0016.fits.bz2,
979978o,54559.1855729166,Z.MP9801,1,103.488316124132,20.1311649696178,RAW SET UP,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/979978o.fits.fz,
979979o,54559.1862210648,Z.MP9801,1,103.488313153453,20.1311672921489,RAW SET UP,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/979979o.fits.fz,
979980o,54559.1868229166,Z.MP9801,1,103.488310394966,20.1311694487845,RAW SET UP,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/979980o.fits.fz,
979981o,54559.1874363426,Z.MP9801,1,103.48830758343,20.1311716468943,RAW SET UP,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/979981o.fits.fz,
rings.v3.skycell.1788.012.wrp.r.55182_40177,55182.4025181223,r,60,103.827104937717,20.799221713507,1788.012,Pan-STARRS1,,
rings.v3.skycell.1788.022.wrp.r.55182_40177,55182.4025181223,r,60,103.827104937717,20.799221713507,1788.022,Pan-STARRS1,,
rings.v3.skycell.1788.012.wrp.r.55182_40961,55182.4103573223,r,60,103.826627399783,20.7992720150403,1788.012,Pan-STARRS1,,
rings.v3.skycell.1788.022.wrp.r.55182_40961,55182.4103573223,r,60,103.826627399783,20.7992720150403,1788.022,Pan-STARRS1,,
rings.v3.skycell.1788.023.wrp.r.55190_40032,55190.4010743222,r,60,103.329982093884,20.8517127475459,1788.023,Pan-STARRS1,,
