Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
04181b259-w1-int-1b,55317.8930119563,w1,8,22.4004907290426,-73.2239144172393,04181b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04181b/259/04181b259-w1-int-1b.fits,
04181b259-w2-int-1b,55317.8930119563,w2,8,22.4004907290426,-73.2239144172393,04181b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04181b/259/04181b259-w2-int-1b.fits,
04181b259-w3-int-1b,55317.8930177433,w3,9,22.4004916062551,-73.2239144444061,04181b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04181b/259/04181b259-w3-int-1b.fits,
04181b259-w4-int-1b,55317.8930177433,w4,9,22.4004916062551,-73.2239144444061,04181b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04181b/259/04181b259-w4-int-1b.fits,
04185b259-w1-int-1b,55318.0253162163,w1,8,22.4205310819944,-73.2245544993999,04185b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04185b/259/04185b259-w1-int-1b.fits,
04185b259-w2-int-1b,55318.0253162163,w2,8,22.4205310819944,-73.2245544993999,04185b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04185b/259/04185b259-w2-int-1b.fits,
04185b259-w3-int-1b,55318.0253220033,w3,9,22.4205319558312,-73.2245545309069,04185b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04185b/259/04185b259-w3-int-1b.fits,
04185b259-w4-int-1b,55318.0253220033,w4,9,22.4205319558312,-73.2245545309069,04185b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04185b/259/04185b259-w4-int-1b.fits,
04193b259-w1-int-1b,55318.2899246963,w1,8,22.4604869624744,-73.2259951455688,04193b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/259/04193b259-w1-int-1b.fits,
04193b259-w2-int-1b,55318.2899246963,w2,8,22.4604869624744,-73.2259951455688,04193b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/259/04193b259-w2-int-1b.fits,
04193b259-w3-int-1b,55318.2899304833,w3,9,22.4604878363112,-73.2259951770757,04193b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/259/04193b259-w3-int-1b.fits,
04193b259-w4-int-1b,55318.2899304833,w4,9,22.4604878363112,-73.2259951770757,04193b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/259/04193b259-w4-int-1b.fits,
04193b260-w2-int-1b,55318.2900520563,w2,8,22.4605061938343,-73.2259958389732,04193b260,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/260/04193b260-w2-int-1b.fits,
04193b260-w3-int-1b,55318.2900578433,w3,9,22.4605070676711,-73.2259958704802,04193b260,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/260/04193b260-w3-int-1b.fits,
04201b259-w1-int-1b,55318.5545331363,w1,8,22.500442836915,-73.2274357915199,04201b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04201b/259/04201b259-w1-int-1b.fits,
04201b259-w2-int-1b,55318.5545331363,w2,8,22.500442836915,-73.2274357915199,04201b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04201b/259/04201b259-w2-int-1b.fits,
04201b259-w3-int-1b,55318.5545389233,w3,9,22.5004437107518,-73.2274358230269,04201b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04201b/259/04201b259-w3-int-1b.fits,
04201b259-w4-int-1b,55318.5545389233,w4,9,22.5004437107518,-73.2274358230269,04201b259,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04201b/259/04201b259-w4-int-1b.fits,
04201b260-w1-int-1b,55318.5546604963,w1,8,22.5004620682749,-73.2274364849243,04201b260,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04201b/260/04201b260-w1-int-1b.fits,
04201b260-w2-int-1b,55318.5546604963,w2,8,22.5004620682749,-73.2274364849243,04201b260,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04201b/260/04201b260-w2-int-1b.fits,
04201b260-w3-int-1b,55318.5546662833,w3,9,22.5004629421116,-73.2274365164313,04201b260,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04201b/260/04201b260-w3-int-1b.fits,
04201b260-w4-int-1b,55318.5546662833,w4,9,22.5004629421116,-73.2274365164313,04201b260,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04201b/260/04201b260-w4-int-1b.fits,
04204a235-w1-int-1b,55318.6207489663,w1,8,22.5104414272445,-73.2277962999276,04204a235,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04204a/235/04204a235-w1-int-1b.fits,
04204a235-w2-int-1b,55318.6207489663,w2,8,22.5104414272445,-73.2277962999276,04204a235,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04204a/235/04204a235-w2-int-1b.fits,
