Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
WFI.2000-08-02T03:37:23.782,51758.1511428357,I,30,306.30892778621,1.14630403978918,MW18_FI_0,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-02T03:37:23.782&amp;eso_download=file,
WFI.2000-08-02T03:39:11.719,51758.1536073785,I,240,306.308870896346,1.14629178553467,MW18_FI_1,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-02T03:39:11.719&amp;eso_download=file,
WFI.2000-08-02T03:44:50.563,51758.1575291899,I,240,306.308780367867,1.14627228541689,MW18_FI_2,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-02T03:44:50.563&amp;eso_download=file,
WFI.2000-08-02T03:51:28.589,51758.1609206945,V,30,306.308702080635,1.14625542210235,MW18_FV_0,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-02T03:51:28.589&amp;eso_download=file,
WFI.2000-08-02T03:53:28.829,51758.1635276331,V,240,306.308641903803,1.14624245982431,MW18_FV_1,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-02T03:53:28.829&amp;eso_download=file,
WFI.2000-08-02T03:59:46.742,51758.167901632,V,240,306.308540937328,1.14622071132979,MW18_FV_2,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-02T03:59:46.742&amp;eso_download=file,
WFI.2000-08-02T04:08:14.863,51758.1725673785,B,30,306.308433236347,1.14619751220137,MW18_FB_0,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-02T04:08:14.863&amp;eso_download=file,
WFI.2000-08-02T04:09:55.087,51758.1749426621,B,240,306.308378406883,1.14618570176344,MW18_FB_1,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-02T04:09:55.087&amp;eso_download=file,
WFI.2000-08-02T04:15:39.236,51758.1789258623,B,240,306.308286461345,1.14616589640689,MW18_FB_2,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-02T04:15:39.236&amp;eso_download=file,
frame-r-002659-6-0028,52197.1166036,r,54,305.41732731195,1.11338293646667,frame-r-002659-6-0028,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2659/6/frame-r-002659-6-0028.fits.bz2,
