Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
frame-r-001024-4-0047,51463.4127785,r,54,43.1610387588541,-7.57608158213891,frame-r-001024-4-0047,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/4/frame-r-001024-4-0047.fits.bz2,
frame-i-001024-4-0047,51463.4136078,i,54,43.161022345625,-7.57609084265557,frame-i-001024-4-0047,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/4/frame-i-001024-4-0047.fits.bz2,
frame-u-001024-4-0047,51463.4144371,u,54,43.1610059323958,-7.57610010317222,frame-u-001024-4-0047,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/4/frame-u-001024-4-0047.fits.bz2,
frame-z-001024-4-0047,51463.4152663,z,54,43.1609895211459,-7.57610936257221,frame-z-001024-4-0047,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/4/frame-z-001024-4-0047.fits.bz2,
frame-g-001024-4-0047,51463.4160956,g,54,43.1609731079167,-7.57611862308886,frame-g-001024-4-0047,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/4/frame-g-001024-4-0047.fits.bz2,
frame-r-001045-4-0060,51465.4268628,r,54,43.1208677194833,-7.59840585572221,frame-r-001045-4-0060,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/4/frame-r-001045-4-0060.fits.bz2,
frame-r-001045-4-0061,51465.4272775,r,54,43.1208593736458,-7.59841040590276,frame-r-001045-4-0061,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/4/frame-r-001045-4-0061.fits.bz2,
frame-i-001045-4-0060,51465.4276921,i,54,43.1208510298208,-7.59841495498609,frame-i-001045-4-0060,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/4/frame-i-001045-4-0060.fits.bz2,
frame-i-001045-4-0061,51465.4281067,i,54,43.1208426859959,-7.59841950406941,frame-i-001045-4-0061,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/4/frame-i-001045-4-0061.fits.bz2,
frame-u-001045-4-0060,51465.4285214,u,54,43.1208343401584,-7.59842405424997,frame-u-001045-4-0060,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/4/frame-u-001045-4-0060.fits.bz2,
frame-u-001045-4-0061,51465.428936,u,54,43.1208259963334,-7.59842860333329,frame-u-001045-4-0061,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/4/frame-u-001045-4-0061.fits.bz2,
frame-z-001045-4-0060,51465.4293506,z,54,43.1208176525082,-7.5984331524167,frame-z-001045-4-0060,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/4/frame-z-001045-4-0060.fits.bz2,
frame-z-001045-4-0061,51465.4297653,z,54,43.1208093066707,-7.59843770259725,frame-z-001045-4-0061,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/4/frame-z-001045-4-0061.fits.bz2,
frame-g-001045-4-0060,51465.4301799,g,54,43.1208009628458,-7.59844225168058,frame-g-001045-4-0060,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/4/frame-g-001045-4-0060.fits.bz2,
frame-g-001045-4-0061,51465.4305945,g,54,43.1207926190208,-7.5984468007639,frame-g-001045-4-0061,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/4/frame-g-001045-4-0061.fits.bz2,
frame-r-001729-4-0373,51813.4209929,r,54,44.0341544918542,-7.74068051999443,frame-r-001729-4-0373,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1729/4/frame-r-001729-4-0373.fits.bz2,
frame-r-001729-4-0374,51813.4214075,r,54,44.0341476682292,-7.74068584069442,frame-r-001729-4-0374,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1729/4/frame-r-001729-4-0374.fits.bz2,
frame-i-001729-4-0373,51813.4218221,i,54,44.0341408446042,-7.74069116139441,frame-i-001729-4-0373,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1729/4/frame-i-001729-4-0373.fits.bz2,
frame-i-001729-4-0374,51813.4222368,i,54,44.0341340193334,-7.74069648337774,frame-i-001729-4-0374,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1729/4/frame-i-001729-4-0374.fits.bz2,
frame-u-001729-4-0373,51813.4226514,u,54,44.0341271957084,-7.74070180407773,frame-u-001729-4-0373,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1729/4/frame-u-001729-4-0373.fits.bz2,
