Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
970801060108a,50661.250787037,none,20,231.434349772377,-10.6018077417694,970801060108a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970801/obsdata/970801060108a.fit.fz,
970801061506a,50661.2604861111,none,20,231.434295619213,-10.6018346836419,970801061506a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970801/obsdata/970801061506a.fit.fz,
970801063146a,50661.2720601852,none,20,231.434230997299,-10.6018668338478,970801063146a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970801/obsdata/970801063146a.fit.fz,
980430135830a,50933.5822916667,none,20,233.682731727429,-11.1170139756942,980430135830a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980430/obsdata/980430135830a.fit.fz,
980430142821a,50933.6030208333,none,20,233.682197087674,-11.1168740538196,980430142821a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980430/obsdata/980430142821a.fit.fz,
980430145730a,50933.6232638889,none,20,233.681674985532,-11.1167374131943,980430145730a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980430/obsdata/980430145730a.fit.fz,
rings.v3.skycell.0938.096.wrp.y.55243_63829,55243.6388635111,y,30,242.291680339844,-16.3207253283802,0938.096,Pan-STARRS1,,
rings.v3.skycell.0938.096.wrp.y.55243_64652,55243.6470929111,y,30,242.291750289744,-16.3207189277358,0938.096,Pan-STARRS1,,
rings.v3.skycell.0938.096.wrp.y.55247_65041,55247.6509761111,y,30,242.319330368611,-16.3164375874074,0938.096,Pan-STARRS1,,
rings.v3.skycell.0938.096.wrp.y.55247_65905,55247.6596236111,y,30,242.319377929861,-16.3164260574074,0938.096,Pan-STARRS1,,
02089b143-w1-int-1b,55248.6768198063,w1,8,242.324436693254,-16.3149569925128,02089b143,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/02089b/143/02089b143-w1-int-1b.fits,
02089b143-w2-int-1b,55248.6768198063,w2,8,242.324436693254,-16.3149569925128,02089b143,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/02089b/143/02089b143-w2-int-1b.fits,
02089b143-w3-int-1b,55248.6768255933,w3,9,242.324436720502,-16.3149569838323,02089b143,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/02089b/143/02089b143-w3-int-1b.fits,
02089b143-w4-int-1b,55248.6768255933,w4,9,242.324436720502,-16.3149569838323,02089b143,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/02089b/143/02089b143-w4-int-1b.fits,
