Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
960909094658a,50335.4076157407,none,20,306.815082990934,-17.4015113586675,960909094658a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960909/obsdata/960909094658a.fit.fz,
960909095906a,50335.4160416667,none,20,306.814944314236,-17.401554658565,960909095906a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960909/obsdata/960909095906a.fit.fz,
960909101401a,50335.426400463,none,20,306.814773825713,-17.4016078912682,960909101401a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960909/obsdata/960909101401a.fit.fz,
960916063521a,50342.2745486111,none,20,306.708405484665,-17.4354353684413,960916063521a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960916/obsdata/960916063521a.fit.fz,
960916064728a,50342.282962963,none,20,306.70828382716,-17.4354751028808,960916064728a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960916/obsdata/960916064728a.fit.fz,
960916070926a,50342.2982175926,none,20,306.70806327064,-17.4355471386317,960916070926a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960916/obsdata/960916070926a.fit.fz,
961018052548a,50374.22625,none,40,306.416251302083,-17.5485520486111,961018052548a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19961018/obsdata/961018052548a.fit.fz,
961018053758a,50374.2346990741,none,40,306.416224898726,-17.5485705896349,961018053758a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19961018/obsdata/961018053758a.fit.fz,
961018055012a,50374.2431944444,none,40,306.416198350694,-17.548589232253,961018055012a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19961018/obsdata/961018055012a.fit.fz,
970829100441a,50689.4199189815,none,20,306.982182430073,-17.6569656407537,970829100441a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970829/obsdata/970829100441a.fit.fz,
970829101917a,50689.4300578704,none,20,306.981982609471,-17.6570245026365,970829101917a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970829/obsdata/970829101917a.fit.fz,
970829103521a,50689.4412152778,none,20,306.981762715566,-17.657089277585,970829103521a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970829/obsdata/970829103521a.fit.fz,
970927082705a,50718.3521412037,none,20,306.522244393808,-17.8012141203704,970927082705a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970927/obsdata/970927082705a.fit.fz,
970927084853a,50718.3672800926,none,20,306.522072188947,-17.801274675926,970927084853a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970927/obsdata/970927084853a.fit.fz,
970927090317a,50718.3772800926,none,20,306.521958438947,-17.801314675926,970927090317a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970927/obsdata/970927090317a.fit.fz,
971002064753a,50723.2832523148,none,20,306.470338967497,-17.8199872096836,971002064753a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971002/obsdata/971002064753a.fit.fz,
971002070259a,50723.2937384259,none,20,306.47023891252,-17.820024784915,971002070259a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971002/obsdata/971002070259a.fit.fz,
971002071755a,50723.3041087963,none,20,306.470139961902,-17.820061945409,971002071755a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971002/obsdata/971002071755a.fit.fz,
WFI.2000-08-13T06:04:02.693,51769.2528204688,V,2,307.228826496809,-18.6270194298962,NEPTUNO/V/2 SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-13T06:04:02.693&amp;eso_download=file,
WFI.2000-08-13T06:06:19.974,51769.2544556655,V,10,307.228786298223,-18.6270306945846,NEPTUNO/V/10 SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-13T06:06:19.974&amp;eso_download=file,
WFI.2000-08-13T06:13:14.710,51769.2592095544,V,2,307.228669431788,-18.627063443597,NEPTUNO/V/2 SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-13T06:13:14.710&amp;eso_download=file,
WFI.2000-08-15T01:38:31.713,51771.0684804225,V,10,307.184330789702,-18.6394938250976,NEPTUNO/V/10SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-15T01:38:31.713&amp;eso_download=file,
WFI.2000-08-15T01:51:25.954,51771.0774411226,V,10,307.184112372637,-18.6395548076399,NEPTUNO/V/10SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-15T01:51:25.954&amp;eso_download=file,
WFI.2000-08-15T01:55:25.272,51771.0802110012,V,10,307.184044856846,-18.6395736582026,NEPTUNO/V/10SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-15T01:55:25.272&amp;eso_download=file,
WFI.2000-08-15T01:56:40.766,51771.0810847801,V,10,307.184023558485,-18.6395796047535,NEPTUNO/V/10SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-15T01:56:40.766&amp;eso_download=file,
WFI.2000-08-15T02:01:42.095,51771.0845723842,V,10,307.183938548135,-18.6396033398369,NEPTUNO/V/10SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-15T02:01:42.095&amp;eso_download=file,
WFI.2000-08-15T02:10:16.436,51771.0905253993,V,10,307.183793443392,-18.6396438534119,NEPTUNO/V/10SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-15T02:10:16.436&amp;eso_download=file,
WFI.2000-08-15T02:34:43.647,51771.1075074364,V,10,307.183379506238,-18.6397594256088,NEPTUNO/V/10SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-15T02:34:43.647&amp;eso_download=file,
WFI.2000-08-15T02:36:40.858,51771.1088640452,V,10,307.183346438898,-18.6397686580854,NEPTUNO/V/10SEC,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2000-08-15T02:36:40.858&amp;eso_download=file,
595614p,52114.3819130778,R,480,307.71806188315,-18.885915855327,NEP159,CFHT/CFH12K,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/595614p.fits.fz,
595620p,52114.4228610778,R,480,307.716978467317,-18.8862195529937,NEP159,CFHT/CFH12K,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/595620p.fits.fz,
595626p,52114.4635950778,R,480,307.715900713566,-18.8865216634937,NEP159,CFHT/CFH12K,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/595626p.fits.fz,
595698p,52115.5078562778,R,480,307.68827130265,-18.8942524936082,R NEP159,CFHT/CFH12K,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/595698p.fits.fz,
frame-r-004822-5-0024,53260.194122,r,54,306.276147948166,-20.6587057435,frame-r-004822-5-0024,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4822/5/frame-r-004822-5-0024.fits.bz2,
frame-i-004822-5-0024,53260.1949512,i,54,306.276130604067,-20.6587104192667,frame-i-004822-5-0024,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4822/5/frame-i-004822-5-0024.fits.bz2,
frame-u-004822-5-0024,53260.1957805,u,54,306.276113257875,-20.6587150955972,frame-u-004822-5-0024,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4822/5/frame-u-004822-5-0024.fits.bz2,
frame-z-004822-5-0024,53260.1966098,z,54,306.276095911683,-20.6587197719278,frame-z-004822-5-0024,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4822/5/frame-z-004822-5-0024.fits.bz2,
frame-g-004822-5-0024,53260.197439,g,54,306.276078567583,-20.6587244476945,frame-g-004822-5-0024,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4822/5/frame-g-004822-5-0024.fits.bz2,
rings.v3.skycell.0868.023.wrp.y.54988_60197,54988.6025416111,y,30,309.108739319035,-23.0963647992021,0868.023,Pan-STARRS1,,
rings.v3.skycell.0868.023.wrp.y.54988_61175,54988.6123217111,y,30,309.108505819147,-23.0964645018882,0868.023,Pan-STARRS1,,
rings.v3.skycell.0868.016.wrp.i.55028_48752,55028.4882746223,i,60,307.808662691719,-23.5529168052528,0868.016,Pan-STARRS1,,
rings.v3.skycell.0868.016.wrp.i.55028_49696,55028.4977020223,i,60,307.808297379969,-23.5530283628194,0868.016,Pan-STARRS1,,
rings.v3.skycell.0784.098.wrp.i.55089_27806,55089.2788055222,i,60,305.615311155962,-24.1270443755835,0784.098,Pan-STARRS1,,
rings.v3.skycell.0784.098.wrp.i.55089_28734,55089.2880869222,i,60,305.615069066112,-24.1270967123668,0784.098,Pan-STARRS1,,
rings.v3.skycell.0784.098.wrp.i.55089_30473,55089.3054836223,i,60,305.614615302185,-24.1271948104257,0784.098,Pan-STARRS1,,
rings.v3.skycell.0784.098.wrp.i.55089_31222,55089.3129660222,i,60,305.614420136254,-24.1272370028474,0784.098,Pan-STARRS1,,
03989b161-w1-int-1b,55311.5308174263,w1,8,309.693243710233,-23.6032182030832,03989b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/03989b/161/03989b161-w1-int-1b.fits,
03989b161-w2-int-1b,55311.5308174263,w2,8,309.693243710233,-23.6032182030832,03989b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/03989b/161/03989b161-w2-int-1b.fits,
03989b161-w3-int-1b,55311.5308232133,w3,9,309.6932437247,-23.6032182336258,03989b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/03989b/161/03989b161-w3-int-1b.fits,
03989b161-w4-int-1b,55311.5308232133,w4,9,309.6932437247,-23.6032182336258,03989b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/03989b/161/03989b161-w4-int-1b.fits,
03993b161-w1-int-1b,55311.6631217263,w1,8,309.693574470983,-23.6039164757777,03993b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/03993b/161/03993b161-w1-int-1b.fits,
03993b161-w2-int-1b,55311.6631217263,w2,8,309.693574470983,-23.6039164757777,03993b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/03993b/161/03993b161-w2-int-1b.fits,
03993b161-w3-int-1b,55311.6631275133,w3,9,309.69357448545,-23.6039165063202,03993b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/03993b/161/03993b161-w3-int-1b.fits,
03993b161-w4-int-1b,55311.6631275133,w4,9,309.69357448545,-23.6039165063202,03993b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/03993b/161/03993b161-w4-int-1b.fits,
03997b161-w1-int-1b,55311.7954259763,w1,8,309.693905231608,-23.6046147482082,03997b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/03997b/161/03997b161-w1-int-1b.fits,
03997b161-w2-int-1b,55311.7954259763,w2,8,309.693905231608,-23.6046147482082,03997b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/03997b/161/03997b161-w2-int-1b.fits,
03997b161-w3-int-1b,55311.7954317633,w3,9,309.693905246075,-23.6046147787507,03997b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/03997b/161/03997b161-w3-int-1b.fits,
03997b161-w4-int-1b,55311.7954317633,w4,9,309.693905246075,-23.6046147787507,03997b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/03997b/161/03997b161-w4-int-1b.fits,
04000a136-w1-int-1b,55311.8616417463,w1,8,309.694070771033,-23.6049642203276,04000a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04000a/136/04000a136-w1-int-1b.fits,
04000a136-w2-int-1b,55311.8616417463,w2,8,309.694070771033,-23.6049642203276,04000a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04000a/136/04000a136-w2-int-1b.fits,
04000a136-w3-int-1b,55311.8616475333,w3,9,309.6940707855,-23.6049642508701,04000a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04000a/136/04000a136-w3-int-1b.fits,
04000a136-w4-int-1b,55311.8616475333,w4,9,309.6940707855,-23.6049642508701,04000a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04000a/136/04000a136-w4-int-1b.fits,
04001b161-w1-int-1b,55311.9277302063,w1,8,309.694235992183,-23.6053130205332,04001b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04001b/161/04001b161-w1-int-1b.fits,
04001b161-w2-int-1b,55311.9277302063,w2,8,309.694235992183,-23.6053130205332,04001b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04001b/161/04001b161-w2-int-1b.fits,
04001b161-w3-int-1b,55311.9277359933,w3,9,309.69423600665,-23.6053130510757,04001b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04001b/161/04001b161-w3-int-1b.fits,
04001b161-w4-int-1b,55311.9277359933,w4,9,309.69423600665,-23.6053130510757,04001b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/04001b/161/04001b161-w4-int-1b.fits,
04004a135-w1-int-1b,55311.9938186763,w1,8,309.694401213358,-23.6056618207916,04004a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04004a/135/04004a135-w1-int-1b.fits,
04004a135-w2-int-1b,55311.9938186763,w2,8,309.694401213358,-23.6056618207916,04004a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04004a/135/04004a135-w2-int-1b.fits,
04004a135-w3-int-1b,55311.9938244633,w3,9,309.694401227825,-23.605661851334,04004a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04004a/135/04004a135-w3-int-1b.fits,
04004a135-w4-int-1b,55311.9938244633,w4,9,309.694401227825,-23.605661851334,04004a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04004a/135/04004a135-w4-int-1b.fits,
04004a136-w1-int-1b,55311.9939460463,w1,8,309.694401531783,-23.6056624930221,04004a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04004a/136/04004a136-w1-int-1b.fits,
04004a136-w2-int-1b,55311.9939460463,w2,8,309.694401531783,-23.6056624930221,04004a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04004a/136/04004a136-w2-int-1b.fits,
04004a136-w3-int-1b,55311.9939518333,w3,9,309.69440154625,-23.6056625235646,04004a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04004a/136/04004a136-w3-int-1b.fits,
04004a136-w4-int-1b,55311.9939518333,w4,9,309.69440154625,-23.6056625235646,04004a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/04004a/136/04004a136-w4-int-1b.fits,
04005b161-w1-int-1b,55312.0600344563,w1,8,309.694529231273,-23.6060229663303,04005b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04005b/161/04005b161-w1-int-1b.fits,
04005b161-w2-int-1b,55312.0600344563,w2,8,309.694529231273,-23.6060229663303,04005b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04005b/161/04005b161-w2-int-1b.fits,
04005b161-w3-int-1b,55312.0600402433,w3,9,309.694529242123,-23.606022997998,04005b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04005b/161/04005b161-w3-int-1b.fits,
04005b161-w4-int-1b,55312.0600402433,w4,9,309.694529242123,-23.606022997998,04005b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04005b/161/04005b161-w4-int-1b.fits,
04008a135-w1-int-1b,55312.1261229163,w1,8,309.694653147135,-23.6063846170697,04008a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04008a/135/04008a135-w1-int-1b.fits,
04008a135-w2-int-1b,55312.1261229163,w2,8,309.694653147135,-23.6063846170697,04008a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04008a/135/04008a135-w2-int-1b.fits,
04008a135-w3-int-1b,55312.1261287033,w3,9,309.694653157986,-23.6063846487375,04008a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04008a/135/04008a135-w3-int-1b.fits,
04008a135-w4-int-1b,55312.1261287033,w4,9,309.694653157986,-23.6063846487375,04008a135,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04008a/135/04008a135-w4-int-1b.fits,
04008a136-w1-int-1b,55312.1262502763,w1,8,309.694653385935,-23.6063853140119,04008a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04008a/136/04008a136-w1-int-1b.fits,
04008a136-w2-int-1b,55312.1262502763,w2,8,309.694653385935,-23.6063853140119,04008a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04008a/136/04008a136-w2-int-1b.fits,
04008a136-w3-int-1b,55312.1262560633,w3,9,309.694653396786,-23.6063853456797,04008a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04008a/136/04008a136-w3-int-1b.fits,
04008a136-w4-int-1b,55312.1262560633,w4,9,309.694653396786,-23.6063853456797,04008a136,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/04008a/136/04008a136-w4-int-1b.fits,
04009b161-w1-int-1b,55312.1923387463,w1,8,309.694777301816,-23.6067469648061,04009b161,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04009b/161/04009b161-w1-int-1b.fits,
