Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
961012133102a,50368.5632175926,none,40,57.6555804716434,3.80018008294747,961012133102a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19961012/obsdata/961012133102a.fit.fz,
961012134551a,50368.5735069444,none,40,57.6554274175354,3.80009862557907,961012134551a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19961012/obsdata/961012134551a.fit.fz,
961012135758a,50368.5819212963,none,40,57.6553022540508,3.80003201195982,961012135758a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19961012/obsdata/961012135758a.fit.fz,
971029140220a,50750.5849537037,none,20,57.8356539834106,3.3727009002058,971029140220a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971029/obsdata/971029140220a.fit.fz,
971029141710a,50750.5952546296,none,20,57.8354629870761,3.37262421553518,971029141710a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971029/obsdata/971029141710a.fit.fz,
971029143109a,50750.6049652778,none,20,57.8352829354741,3.37255192515414,971029143109a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971029/obsdata/971029143109a.fit.fz,
980125063550a,50838.2748842593,none,20,56.3484498215661,3.14701422646617,980125063550a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980125/obsdata/980125063550a.fit.fz,
980125064951a,50838.2846180556,none,20,56.3483772236686,3.14704423900477,980125064951a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980125/obsdata/980125064951a.fit.fz,
980125070637a,50838.2962615741,none,20,56.3482903824265,3.14708013985347,980125070637a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19980125/obsdata/980125070637a.fit.fz,
frame-r-004849-6-0872,53270.445415,r,54,62.57889810625,1.0799764659722,frame-r-004849-6-0872,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4849/6/frame-r-004849-6-0872.fits.bz2,
