Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
05313b194-w1-int-1b,55355.3273818363,w1,8,0.0352884532515124,-30.3016999123583,05313b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05313b/194/05313b194-w1-int-1b.fits,
05313b194-w2-int-1b,55355.3273818363,w2,8,0.0352884532515124,-30.3016999123583,05313b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05313b/194/05313b194-w2-int-1b.fits,
05313b194-w3-int-1b,55355.3273876233,w3,9,0.0352885239011175,-30.3016999880715,05313b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05313b/194/05313b194-w3-int-1b.fits,
05313b194-w4-int-1b,55355.3273876233,w4,9,0.0352885239011175,-30.3016999880715,05313b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05313b/194/05313b194-w4-int-1b.fits,
05317b194-w1-int-1b,55355.4596856263,w1,8,0.0369036620210976,-30.3034308869441,05317b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/05317b/194/05317b194-w1-int-1b.fits,
05317b194-w2-int-1b,55355.4596856263,w2,8,0.0369036620210976,-30.3034308869441,05317b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/05317b/194/05317b194-w2-int-1b.fits,
05317b194-w3-int-1b,55355.4596914133,w3,9,0.0369037326707027,-30.3034309626574,05317b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/05317b/194/05317b194-w3-int-1b.fits,
05317b194-w4-int-1b,55355.4596914133,w4,9,0.0369037326707027,-30.3034309626574,05317b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/05317b/194/05317b194-w4-int-1b.fits,
05320a170-w1-int-1b,55355.5259011363,w1,8,0.0377120430390129,-30.3042972065333,05320a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/05320a/170/05320a170-w1-int-1b.fits,
05320a170-w2-int-1b,55355.5259011363,w2,8,0.0377120430390129,-30.3042972065333,05320a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/05320a/170/05320a170-w2-int-1b.fits,
05320a170-w3-int-1b,55355.5259069233,w3,9,0.0377121136886181,-30.3042972822465,05320a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/05320a/170/05320a170-w3-int-1b.fits,
05320a170-w4-int-1b,55355.5259069233,w4,9,0.0377121136886181,-30.3042972822465,05320a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/05320a/170/05320a170-w4-int-1b.fits,
05321b194-w1-int-1b,55355.5919893263,w1,8,0.0385188696918889,-30.3051618603524,05321b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/05321b/194/05321b194-w1-int-1b.fits,
05321b194-w2-int-1b,55355.5919893263,w2,8,0.0385188696918889,-30.3051618603524,05321b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/05321b/194/05321b194-w2-int-1b.fits,
05321b194-w3-int-1b,55355.5919951133,w3,9,0.038518940341494,-30.3051619360656,05321b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/05321b/194/05321b194-w3-int-1b.fits,
05321b194-w4-int-1b,55355.5919951133,w4,9,0.038518940341494,-30.3051619360656,05321b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/05321b/194/05321b194-w4-int-1b.fits,
05324a170-w1-int-1b,55355.6582048863,w1,8,0.0393272513202255,-30.3060281805957,05324a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/05324a/170/05324a170-w1-int-1b.fits,
05324a170-w2-int-1b,55355.6582048863,w2,8,0.0393272513202255,-30.3060281805957,05324a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/05324a/170/05324a170-w2-int-1b.fits,
05324a170-w3-int-1b,55355.6582106733,w3,9,0.0393273219698306,-30.306028256309,05324a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/05324a/170/05324a170-w3-int-1b.fits,
05324a170-w4-int-1b,55355.6582106733,w4,9,0.0393273219698306,-30.306028256309,05324a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/05324a/170/05324a170-w4-int-1b.fits,
05325b194-w1-int-1b,55355.7242930763,w1,8,0.0401340779731903,-30.306892834415,05325b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/05325b/194/05325b194-w1-int-1b.fits,
05325b194-w2-int-1b,55355.7242930763,w2,8,0.0401340779731903,-30.306892834415,05325b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/05325b/194/05325b194-w2-int-1b.fits,
05325b194-w3-int-1b,55355.7242988633,w3,9,0.0401341486227954,-30.3068929101282,05325b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/05325b/194/05325b194-w3-int-1b.fits,
05325b194-w4-int-1b,55355.7242988633,w4,9,0.0401341486227954,-30.3068929101282,05325b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/05325b/194/05325b194-w4-int-1b.fits,
05325b195-w1-int-1b,55355.7244204363,w1,8,0.0401356328265135,-30.3068945007083,05325b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/05325b/195/05325b195-w1-int-1b.fits,
05325b195-w2-int-1b,55355.7244204363,w2,8,0.0401356328265135,-30.3068945007083,05325b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/05325b/195/05325b195-w2-int-1b.fits,
05325b195-w3-int-1b,55355.7244262233,w3,9,0.0401357034761186,-30.3068945764215,05325b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/05325b/195/05325b195-w3-int-1b.fits,
05325b195-w4-int-1b,55355.7244262233,w4,9,0.0401357034761186,-30.3068945764215,05325b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/05325b/195/05325b195-w4-int-1b.fits,
05328a169-w1-int-1b,55355.7903813163,w1,8,0.0409409052364875,-30.3077574888883,05328a169,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/05328a/169/05328a169-w1-int-1b.fits,
05328a169-w2-int-1b,55355.7903813163,w2,8,0.0409409052364875,-30.3077574888883,05328a169,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/05328a/169/05328a169-w2-int-1b.fits,
05328a169-w3-int-1b,55355.7903871033,w3,9,0.0409409758860926,-30.3077575646015,05328a169,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/05328a/169/05328a169-w3-int-1b.fits,
05328a169-w4-int-1b,55355.7903871033,w4,9,0.0409409758860926,-30.3077575646015,05328a169,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/05328a/169/05328a169-w4-int-1b.fits,
05328a170-w1-int-1b,55355.7905086763,w1,8,0.0409424600898107,-30.3077591551816,05328a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/05328a/170/05328a170-w1-int-1b.fits,
05328a170-w2-int-1b,55355.7905086763,w2,8,0.0409424600898107,-30.3077591551816,05328a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/05328a/170/05328a170-w2-int-1b.fits,
05328a170-w3-int-1b,55355.7905144633,w3,9,0.0409425307394158,-30.3077592308948,05328a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/05328a/170/05328a170-w3-int-1b.fits,
05328a170-w4-int-1b,55355.7905144633,w4,9,0.0409425307394158,-30.3077592308948,05328a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/05328a/170/05328a170-w4-int-1b.fits,
05329b194-w1-int-1b,55355.8565969263,w1,8,0.0417492874752455,-30.3086238097858,05329b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05329b/194/05329b194-w1-int-1b.fits,
05329b194-w2-int-1b,55355.8565969263,w2,8,0.0417492874752455,-30.3086238097858,05329b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05329b/194/05329b194-w2-int-1b.fits,
05329b194-w3-int-1b,55355.8566027133,w3,9,0.0417493581248506,-30.308623885499,05329b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05329b/194/05329b194-w3-int-1b.fits,
05329b194-w4-int-1b,55355.8566027133,w4,9,0.0417493581248506,-30.308623885499,05329b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05329b/194/05329b194-w4-int-1b.fits,
05329b195-w1-int-1b,55355.8567242363,w1,8,0.0417508417181474,-30.3086254754249,05329b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05329b/195/05329b195-w1-int-1b.fits,
05329b195-w2-int-1b,55355.8567242363,w2,8,0.0417508417181474,-30.3086254754249,05329b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05329b/195/05329b195-w2-int-1b.fits,
05329b195-w3-int-1b,55355.8567300233,w3,9,0.0417509123677525,-30.3086255511381,05329b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05329b/195/05329b195-w3-int-1b.fits,
05329b195-w4-int-1b,55355.8567300233,w4,9,0.0417509123677525,-30.3086255511381,05329b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/05329b/195/05329b195-w4-int-1b.fits,
05332a169-w1-int-1b,55355.9226851463,w1,8,0.0425561144944453,-30.3094884639975,05332a169,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/05332a/169/05332a169-w1-int-1b.fits,
05332a169-w2-int-1b,55355.9226851463,w2,8,0.0425561144944453,-30.3094884639975,05332a169,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/05332a/169/05332a169-w2-int-1b.fits,
05332a169-w3-int-1b,55355.9226909333,w3,9,0.0425561851440504,-30.3094885397107,05332a169,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/05332a/169/05332a169-w3-int-1b.fits,
05332a169-w4-int-1b,55355.9226909333,w4,9,0.0425561851440504,-30.3094885397107,05332a169,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/05332a/169/05332a169-w4-int-1b.fits,
05332a170-w1-int-1b,55355.9228124763,w1,8,0.0425576689815334,-30.3094901298983,05332a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/05332a/170/05332a170-w1-int-1b.fits,
05332a170-w2-int-1b,55355.9228124763,w2,8,0.0425576689815334,-30.3094901298983,05332a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/05332a/170/05332a170-w2-int-1b.fits,
05332a170-w3-int-1b,55355.9228182633,w3,9,0.0425577396311385,-30.3094902056115,05332a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/05332a/170/05332a170-w3-int-1b.fits,
05332a170-w4-int-1b,55355.9228182633,w4,9,0.0425577396311385,-30.3094902056115,05332a170,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/05332a/170/05332a170-w4-int-1b.fits,
05333b194-w1-int-1b,55355.9889007063,w1,8,0.0433644961227819,-30.3103547842408,05333b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05333b/194/05333b194-w1-int-1b.fits,
05333b194-w2-int-1b,55355.9889007063,w2,8,0.0433644961227819,-30.3103547842408,05333b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05333b/194/05333b194-w2-int-1b.fits,
05333b194-w3-int-1b,55355.9889064933,w3,9,0.0433645667723871,-30.310354859954,05333b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05333b/194/05333b194-w3-int-1b.fits,
05333b194-w4-int-1b,55355.9889064933,w4,9,0.0433645667723871,-30.310354859954,05333b194,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05333b/194/05333b194-w4-int-1b.fits,
05333b195-w1-int-1b,55355.9890280763,w1,8,0.0433660510981538,-30.3103564506649,05333b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05333b/195/05333b195-w1-int-1b.fits,
05333b195-w2-int-1b,55355.9890280763,w2,8,0.0433660510981538,-30.3103564506649,05333b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05333b/195/05333b195-w2-int-1b.fits,
05333b195-w3-int-1b,55355.9890338633,w3,9,0.043366121747759,-30.3103565263781,05333b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05333b/195/05333b195-w3-int-1b.fits,
05333b195-w4-int-1b,55355.9890338633,w4,9,0.043366121747759,-30.3103565263781,05333b195,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/05333b/195/05333b195-w4-int-1b.fits,
05336a169-w1-int-1b,55356.0549889463,w1,8,0.0441392465007375,-30.3112362408921,05336a169,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/05336a/169/05336a169-w1-int-1b.fits,
