Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
05493a009-w1-int-1b,55361.2291005663,w1,8,125.882971276249,-62.1327254400832,05493a009,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3a/05493a/009/05493a009-w1-int-1b.fits,
05493a009-w2-int-1b,55361.2291005663,w2,8,125.882971276249,-62.1327254400832,05493a009,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3a/05493a/009/05493a009-w2-int-1b.fits,
05493a009-w3-int-1b,55361.2291063533,w3,9,125.882971587059,-62.132725310358,05493a009,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3a/05493a/009/05493a009-w3-int-1b.fits,
05493a009-w4-int-1b,55361.2291063533,w4,9,125.882971587059,-62.132725310358,05493a009,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3a/05493a/009/05493a009-w4-int-1b.fits,
05494a033-w1-int-1b,55361.2953160863,w1,8,125.886527601469,-62.1312411088431,05494a033,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/05494a/033/05494a033-w1-int-1b.fits,
05494a033-w2-int-1b,55361.2953160863,w2,8,125.886527601469,-62.1312411088431,05494a033,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/05494a/033/05494a033-w2-int-1b.fits,
05494a033-w3-int-1b,55361.2953218733,w3,9,125.886527912279,-62.1312409791179,05494a033,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/05494a/033/05494a033-w3-int-1b.fits,
05494a033-w4-int-1b,55361.2953218733,w4,9,125.886527912279,-62.1312409791179,05494a033,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/05494a/033/05494a033-w4-int-1b.fits,
05497a009-w1-int-1b,55361.3614043363,w1,8,125.890077091229,-62.1297596305724,05497a009,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7a/05497a/009/05497a009-w1-int-1b.fits,
05497a009-w2-int-1b,55361.3614043363,w2,8,125.890077091229,-62.1297596305724,05497a009,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7a/05497a/009/05497a009-w2-int-1b.fits,
05497a009-w3-int-1b,55361.3614101233,w3,9,125.890077402039,-62.129759500847,05497a009,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7a/05497a/009/05497a009-w3-int-1b.fits,
