Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
04185b203-w1-int-1b,55318.0188219263,w1,8,328.11546948756,-46.9602446850419,04185b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04185b/203/04185b203-w1-int-1b.fits,
04185b203-w2-int-1b,55318.0188219263,w2,8,328.11546948756,-46.9602446850419,04185b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04185b/203/04185b203-w2-int-1b.fits,
04185b203-w3-int-1b,55318.0188277133,w3,9,328.115469567855,-46.9602447602729,04185b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04185b/203/04185b203-w3-int-1b.fits,
04185b203-w4-int-1b,55318.0188277133,w4,9,328.115469567855,-46.9602447602729,04185b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04185b/203/04185b203-w4-int-1b.fits,
04189b203-w1-int-1b,55318.1511261463,w1,8,328.117305208613,-46.9619646399019,04189b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04189b/203/04189b203-w1-int-1b.fits,
04189b203-w2-int-1b,55318.1511261463,w2,8,328.117305208613,-46.9619646399019,04189b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04189b/203/04189b203-w2-int-1b.fits,
04189b203-w3-int-1b,55318.1511319333,w3,9,328.117305288908,-46.9619647151329,04189b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04189b/203/04189b203-w3-int-1b.fits,
04189b203-w4-int-1b,55318.1511319333,w4,9,328.117305288908,-46.9619647151329,04189b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04189b/203/04189b203-w4-int-1b.fits,
04193b203-w1-int-1b,55318.2834303563,w1,8,328.119140929527,-46.9636845946319,04193b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/203/04193b203-w1-int-1b.fits,
04193b203-w2-int-1b,55318.2834303563,w2,8,328.119140929527,-46.9636845946319,04193b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/203/04193b203-w2-int-1b.fits,
04193b203-w3-int-1b,55318.2834361433,w3,9,328.119141009821,-46.9636846698629,04193b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/203/04193b203-w3-int-1b.fits,
04193b203-w4-int-1b,55318.2834361433,w4,9,328.119141009821,-46.9636846698629,04193b203,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/203/04193b203-w4-int-1b.fits,
04193b204-w1-int-1b,55318.2835577163,w1,8,328.119142696647,-46.9636862503119,04193b204,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/204/04193b204-w1-int-1b.fits,
04193b204-w2-int-1b,55318.2835577163,w2,8,328.119142696647,-46.9636862503119,04193b204,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/204/04193b204-w2-int-1b.fits,
04193b204-w3-int-1b,55318.2835635033,w3,9,328.119142776941,-46.9636863255429,04193b204,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/204/04193b204-w3-int-1b.fits,
04193b204-w4-int-1b,55318.2835635033,w4,9,328.119142776941,-46.9636863255429,04193b204,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04193b/204/04193b204-w4-int-1b.fits,
