Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
rings.v3.skycell.2523.071.wrp.y.55258_61807,55258.6186449111,y,30,225.360228791493,66.8352514343552,2523.071,Pan-STARRS1,,
rings.v3.skycell.2523.071.wrp.y.55258_62668,55258.6272524111,y,30,225.36000356191,66.8354752293552,2523.071,Pan-STARRS1,,
04643a173-w1-int-1b,55333.1419788963,w1,8,221.154493842045,67.7634608868135,04643a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3a/04643a/173/04643a173-w1-int-1b.fits,
04643a173-w2-int-1b,55333.1419788963,w2,8,221.154493842045,67.7634608868135,04643a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3a/04643a/173/04643a173-w2-int-1b.fits,
04643a173-w3-int-1b,55333.1419846833,w3,9,221.154493451182,67.763460856914,04643a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3a/04643a/173/04643a173-w3-int-1b.fits,
04643a173-w4-int-1b,55333.1419846833,w4,9,221.154493451182,67.763460856914,04643a173,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3a/04643a/173/04643a173-w4-int-1b.fits,
04646a263-w1-int-1b,55333.2742828363,w1,8,221.145557813432,67.7627773164569,04646a263,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/04646a/263/04646a263-w1-int-1b.fits,
04646a263-w2-int-1b,55333.2742828363,w2,8,221.145557813432,67.7627773164569,04646a263,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/04646a/263/04646a263-w2-int-1b.fits,
04646a263-w3-int-1b,55333.2742886233,w3,9,221.145557422568,67.7627772865574,04646a263,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/04646a/263/04646a263-w3-int-1b.fits,
04646a263-w4-int-1b,55333.2742886233,w4,9,221.145557422568,67.7627772865574,04646a263,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/04646a/263/04646a263-w4-int-1b.fits,
04650a263-w1-int-1b,55333.4065868663,w1,8,221.136621778738,67.7620937456352,04650a263,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04650a/263/04650a263-w1-int-1b.fits,
04650a263-w2-int-1b,55333.4065868663,w2,8,221.136621778738,67.7620937456352,04650a263,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04650a/263/04650a263-w2-int-1b.fits,
