Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
frame-r-001862-5-0115,51866.2140937,r,54,43.4092296868291,-7.08578379949722,frame-r-001862-5-0115,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1862/5/frame-r-001862-5-0115.fits.bz2,
frame-i-001862-5-0115,51866.2149229,i,54,43.4091760306792,-7.08578350006389,frame-i-001862-5-0115,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1862/5/frame-i-001862-5-0115.fits.bz2,
frame-u-001862-5-0115,51866.2157522,u,54,43.4091223680584,-7.08578320059444,frame-u-001862-5-0115,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1862/5/frame-u-001862-5-0115.fits.bz2,
frame-z-001862-5-0115,51866.2165815,z,54,43.4090687054377,-7.085782901125,frame-z-001862-5-0115,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1862/5/frame-z-001862-5-0115.fits.bz2,
frame-g-001862-5-0115,51866.2174107,g,54,43.4090150492873,-7.08578260169166,frame-g-001862-5-0115,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1862/5/frame-g-001862-5-0115.fits.bz2,
frame-r-001886-5-0117,51874.1832163,r,54,42.9023148900792,-7.06465664594722,frame-r-001886-5-0117,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1886/5/frame-r-001886-5-0117.fits.bz2,
frame-i-001886-5-0117,51874.1840456,i,54,42.9022635080334,-7.06465219997778,frame-i-001886-5-0117,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1886/5/frame-i-001886-5-0117.fits.bz2,
frame-u-001886-5-0117,51874.1848748,u,54,42.9022121321835,-7.06464775454446,frame-u-001886-5-0117,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1886/5/frame-u-001886-5-0117.fits.bz2,
frame-z-001886-5-0117,51874.1857041,z,54,42.9021607501377,-7.06464330857502,frame-z-001886-5-0117,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1886/5/frame-z-001886-5-0117.fits.bz2,
frame-g-001886-5-0117,51874.1865334,g,54,42.9021093680915,-7.06463886260554,frame-g-001886-5-0117,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1886/5/frame-g-001886-5-0117.fits.bz2,
frame-r-002570-3-0286,52170.4601436,r,54,50.96263123215,-0.199118237188906,frame-r-002570-3-0286,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2570/3/frame-r-002570-3-0286.fits.bz2,
frame-i-002570-3-0286,52170.4609729,i,54,50.9626046599958,-0.199130515436116,frame-i-002570-3-0286,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2570/3/frame-i-002570-3-0286.fits.bz2,
frame-u-002570-3-0286,52170.4618022,u,54,50.9625780878417,-0.199142793683326,frame-u-002570-3-0286,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2570/3/frame-u-002570-3-0286.fits.bz2,
frame-z-002570-3-0286,52170.4626314,z,54,50.9625515188917,-0.199155070449969,frame-z-002570-3-0286,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2570/3/frame-z-002570-3-0286.fits.bz2,
frame-g-002570-3-0286,52170.4634607,g,54,50.9625249467376,-0.199167348697179,frame-g-002570-3-0286,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2570/3/frame-g-002570-3-0286.fits.bz2,
frame-r-002578-3-0150,52171.3970476,r,54,50.9320818696832,-0.213022708711158,frame-r-002578-3-0150,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2578/3/frame-r-002578-3-0150.fits.bz2,
frame-i-002578-3-0150,52171.3978769,i,54,50.9320541917957,-0.213035056066701,frame-i-002578-3-0150,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2578/3/frame-i-002578-3-0150.fits.bz2,
frame-u-002578-3-0150,52171.3987062,u,54,50.9320265139083,-0.213047403422244,frame-u-002578-3-0150,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2578/3/frame-u-002578-3-0150.fits.bz2,
frame-z-002578-3-0150,52171.3995354,z,54,50.9319988393583,-0.213059749288887,frame-z-002578-3-0150,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2578/3/frame-z-002578-3-0150.fits.bz2,
frame-g-002578-3-0150,52171.4003647,g,54,50.9319711614708,-0.21307209664443,frame-g-002578-3-0150,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2578/3/frame-g-002578-3-0150.fits.bz2,
frame-r-002579-3-0101,52171.4705588,r,54,50.9296284333833,-0.214117208799996,frame-r-002579-3-0101,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2579/3/frame-r-002579-3-0101.fits.bz2,
frame-i-002579-3-0101,52171.4713881,i,54,50.9296007554958,-0.214129556155539,frame-i-002579-3-0101,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2579/3/frame-i-002579-3-0101.fits.bz2,
frame-u-002579-3-0101,52171.4722174,u,54,50.9295730776084,-0.214141903511082,frame-u-002579-3-0101,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2579/3/frame-u-002579-3-0101.fits.bz2,
frame-z-002579-3-0101,52171.4730466,z,54,50.9295454030584,-0.214154249377725,frame-z-002579-3-0101,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2579/3/frame-z-002579-3-0101.fits.bz2,
frame-g-002579-3-0101,52171.4738759,g,54,50.9295177251707,-0.214166596733376,frame-g-002579-3-0101,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2579/3/frame-g-002579-3-0101.fits.bz2,
frame-r-002591-3-0068,52173.4443568,r,54,50.8613318516001,-0.243649917466648,frame-r-002591-3-0068,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2591/3/frame-r-002591-3-0068.fits.bz2,
frame-i-002591-3-0068,52173.4451861,i,54,50.8613020659084,-0.243662380002747,frame-i-002591-3-0068,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2591/3/frame-i-002591-3-0068.fits.bz2,
frame-u-002591-3-0068,52173.4460154,u,54,50.8612722802168,-0.243674842538846,frame-u-002591-3-0068,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2591/3/frame-u-002591-3-0068.fits.bz2,
frame-z-002591-3-0068,52173.4468446,z,54,50.8612424981166,-0.243687303572264,frame-z-002591-3-0068,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2591/3/frame-z-002591-3-0068.fits.bz2,
frame-g-002591-3-0068,52173.4476739,g,54,50.8612127124249,-0.243699766108363,frame-g-002591-3-0068,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2591/3/frame-g-002591-3-0068.fits.bz2,
frame-r-002700-1-0184,52224.3444758,r,54,47.7559448392002,-0.833230657461101,frame-r-002700-1-0184,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-r-002700-1-0184.fits.bz2,
frame-r-002700-1-0185,52224.3448905,r,54,47.7559133220002,-0.833232005236101,frame-r-002700-1-0185,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-r-002700-1-0185.fits.bz2,
frame-i-002700-1-0184,52224.3453051,i,54,47.7558818123997,-0.833233352686122,frame-i-002700-1-0184,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-i-002700-1-0184.fits.bz2,
frame-i-002700-1-0185,52224.3457197,i,54,47.7558503027998,-0.833234700136119,frame-i-002700-1-0185,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-i-002700-1-0185.fits.bz2,
frame-u-002700-1-0184,52224.3461344,u,54,47.7558187855998,-0.833236047911119,frame-u-002700-1-0184,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-u-002700-1-0184.fits.bz2,
frame-u-002700-1-0185,52224.346549,u,54,47.7557872759999,-0.833237395361117,frame-u-002700-1-0185,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-u-002700-1-0185.fits.bz2,
frame-z-002700-1-0184,52224.3469636,z,54,47.7557557663999,-0.833238742811114,frame-z-002700-1-0184,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-z-002700-1-0184.fits.bz2,
frame-z-002700-1-0185,52224.3473783,z,54,47.7557242491999,-0.833240090586114,frame-z-002700-1-0185,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-z-002700-1-0185.fits.bz2,
frame-g-002700-1-0184,52224.3477929,g,54,47.7556927396,-0.833241438036111,frame-g-002700-1-0184,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-g-002700-1-0184.fits.bz2,
frame-g-002700-1-0185,52224.3482075,g,54,47.7556612300001,-0.833242785486109,frame-g-002700-1-0185,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-g-002700-1-0185.fits.bz2,
frame-r-002709-2-0186,52225.3097464,r,54,47.6825584613999,-0.836212913711117,frame-r-002709-2-0186,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2709/2/frame-r-002709-2-0186.fits.bz2,
frame-i-002709-2-0186,52225.3105756,i,54,47.6824953731,-0.836215194011112,frame-i-002709-2-0186,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2709/2/frame-i-002709-2-0186.fits.bz2,
frame-u-002709-2-0186,52225.3114049,u,54,47.6824322771917,-0.83621747458611,frame-u-002709-2-0186,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2709/2/frame-u-002709-2-0186.fits.bz2,
frame-z-002709-2-0186,52225.3122341,z,54,47.6823691888918,-0.836219754886106,frame-z-002709-2-0186,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2709/2/frame-z-002709-2-0186.fits.bz2,
frame-g-002709-2-0186,52225.3130634,g,54,47.6823060929836,-0.836222035461103,frame-g-002709-2-0186,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2709/2/frame-g-002709-2-0186.fits.bz2,
