Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
960517083326a,50220.3565509259,none,20,219.571775468752,-17.506739443159,960517083326a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960517/obsdata/960517083326a.fit.fz,
960519113111a,50222.4799884259,none,20,219.396284280963,-17.459402479103,960519113111a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960519/obsdata/960519113111a.fit.fz,
960519120000a,50222.5,none,20,219.394645833333,-17.4589583333333,960519120000a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960519/obsdata/960519120000a.fit.fz,
960519122544a,50222.5178703704,none,20,219.393182696756,-17.4585617103903,960519122544a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960519/obsdata/960519122544a.fit.fz,
960521081906a,50224.3465972222,none,20,219.244698356484,-17.4181718942907,960521081906a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960521/obsdata/960521081906a.fit.fz,
960521085124a,50224.3690277778,none,20,219.242896435183,-17.4176796682094,960521085124a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960521/obsdata/960521085124a.fit.fz,
960521091934a,50224.388587963,none,20,219.241325100305,-17.4172504308119,960521091934a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960521/obsdata/960521091934a.fit.fz,
970630094550a,50629.4068287037,none,40,230.272635271991,-22.0163740997943,970630094550a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970630/obsdata/970630094550a.fit.fz,
970630095811a,50629.4154050926,none,40,230.272208596643,-22.0162578420781,970630095811a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970630/obsdata/970630095811a.fit.fz,
970630101114a,50629.4244675926,none,40,230.271757737268,-22.0161349948558,970630101114a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970630/obsdata/970630101114a.fit.fz,
970831054028a,50691.2364351852,none,20,230.766641059029,-21.9664756815846,970831054028a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970831/obsdata/970831054028a.fit.fz,
970831055411a,50691.2459606481,none,20,230.767266167531,-21.9666000417946,970831055411a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970831/obsdata/970831055411a.fit.fz,
970831060813a,50691.2557060185,none,20,230.767905707464,-21.9667272730193,970831060813a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970831/obsdata/970831060813a.fit.fz,
frame-r-004849-1-0491,53270.2874401,r,54,5.45356064006242,-0.967016992402807,frame-r-004849-1-0491,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4849/1/frame-r-004849-1-0491.fits.bz2,
frame-i-004849-1-0491,53270.2882693,i,54,5.45347823831258,-0.967046129569417,frame-i-004849-1-0491,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4849/1/frame-i-004849-1-0491.fits.bz2,
frame-u-004849-1-0491,53270.2890986,u,54,5.45339582662516,-0.967075270249944,frame-u-004849-1-0491,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4849/1/frame-u-004849-1-0491.fits.bz2,
frame-z-004849-1-0491,53270.2899279,z,54,5.45331341493774,-0.96710441093047,frame-z-004849-1-0491,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4849/1/frame-z-004849-1-0491.fits.bz2,
frame-g-004849-1-0491,53270.2907571,g,54,5.45323101318718,-0.967133548097336,frame-g-004849-1-0491,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4849/1/frame-g-004849-1-0491.fits.bz2,
frame-r-004858-1-0389,53272.3366713,r,54,5.24938856463754,-1.03895951414721,frame-r-004858-1-0389,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4858/1/frame-r-004858-1-0389.fits.bz2,
frame-i-004858-1-0389,53272.3375005,i,54,5.2493056791877,-1.03898855918049,frame-i-004858-1-0389,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4858/1/frame-i-004858-1-0389.fits.bz2,
frame-u-004858-1-0389,53272.3383298,u,54,5.24922278374195,-1.03901760771657,frame-u-004858-1-0389,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4858/1/frame-u-004858-1-0389.fits.bz2,
frame-z-004858-1-0389,53272.3391591,z,54,5.24913988829547,-1.0390466562529,frame-z-004858-1-0389,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4858/1/frame-z-004858-1-0389.fits.bz2,
frame-g-004858-1-0389,53272.3399883,g,54,5.24905700284563,-1.03907570128618,frame-g-004858-1-0389,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4858/1/frame-g-004858-1-0389.fits.bz2,
rings.v3.skycell.1878.021.wrp.r.55201_46813,55201.4687058982,r,31,133.242699292687,24.8952929416542,1878.021,Pan-STARRS1,,
rings.v3.skycell.1878.021.wrp.r.55201_47751,55201.4780844982,r,31,133.241852874037,24.8955756022375,1878.021,Pan-STARRS1,,
rings.v3.skycell.1878.022.wrp.r.55204_40404,55204.4047903223,r,60,132.971622314542,24.9837052199738,1878.022,Pan-STARRS1,,
rings.v3.skycell.1878.022.wrp.r.55204_41233,55204.4130677222,r,60,132.970840100252,24.9839542317539,1878.022,Pan-STARRS1,,
rings.v3.skycell.1878.022.wrp.r.55205_40260,55205.4033550223,r,60,132.876736950155,25.0137117617802,1878.022,Pan-STARRS1,,
rings.v3.skycell.1878.036.wrp.r.55221_34134,55221.3420906222,r,60,131.234057496786,25.4682656995797,1878.036,Pan-STARRS1,,
rings.v3.skycell.1878.036.wrp.r.55221_34997,55221.3507105223,r,60,131.233129780037,25.468490774749,1878.036,Pan-STARRS1,,
rings.v3.skycell.1878.036.wrp.r.55221_37127,55221.3720219222,r,60,131.230836140623,25.4690472390797,1878.036,Pan-STARRS1,,
rings.v3.skycell.1878.036.wrp.r.55221_37922,55221.3799689223,r,60,131.229980844737,25.4692547440823,1878.036,Pan-STARRS1,,
rings.v3.skycell.1878.048.wrp.i.55232_45808,55232.4588226223,i,60,130.040252056749,25.7312382163708,1878.048,Pan-STARRS1,,
rings.v3.skycell.1878.048.wrp.i.55232_46837,55232.4691187222,i,60,130.039162815181,25.7314530044548,1878.048,Pan-STARRS1,,
rings.v3.skycell.1878.049.wrp.r.55233_34256,55233.3431761074,r,38,129.946880714696,25.7494866266224,1878.049,Pan-STARRS1,,
rings.v3.skycell.1878.049.wrp.r.55233_35120,55233.3518254074,r,38,129.945970375871,25.7496620152057,1878.049,Pan-STARRS1,,
rings.v3.skycell.1877.046.wrp.z.55290_36054,55290.3611196111,z,30,126.509766225662,25.8492105086066,1877.046,Pan-STARRS1,,
rings.v3.skycell.1877.046.wrp.z.55290_36161,55290.3621826111,z,30,126.509768971745,25.84919305769,1877.046,Pan-STARRS1,,
rings.v3.skycell.1877.046.wrp.z.55290_36922,55290.3697989111,z,30,126.509788647187,25.8490680234316,1877.046,Pan-STARRS1,,
rings.v3.skycell.1877.046.wrp.z.55290_37030,55290.3708729111,z,30,126.509791421687,25.8490503919316,1877.046,Pan-STARRS1,,
03722a160-w1-int-1b,55302.6992836563,w1,8,126.721273358049,25.607196772781,03722a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/03722a/160/03722a160-w1-int-1b.fits,
03722a160-w2-int-1b,55302.6992836563,w2,8,126.721273358049,25.607196772781,03722a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/03722a/160/03722a160-w2-int-1b.fits,
03722a160-w3-int-1b,55302.6992894433,w3,9,126.721273539617,25.6071966417698,03722a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/03722a/160/03722a160-w3-int-1b.fits,
03722a160-w4-int-1b,55302.6992894433,w4,9,126.721273539617,25.6071966417698,03722a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/03722a/160/03722a160-w4-int-1b.fits,
03726a160-w1-int-1b,55302.8315878463,w1,8,126.725424402011,25.604201552924,03726a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/03726a/160/03726a160-w1-int-1b.fits,
03726a160-w2-int-1b,55302.8315878463,w2,8,126.725424402011,25.604201552924,03726a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/03726a/160/03726a160-w2-int-1b.fits,
03726a160-w3-int-1b,55302.8315936333,w3,9,126.725424583578,25.6042014219128,03726a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/03726a/160/03726a160-w3-int-1b.fits,
03726a160-w4-int-1b,55302.8315936333,w4,9,126.725424583578,25.6042014219128,03726a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/03726a/160/03726a160-w4-int-1b.fits,
03730a160-w1-int-1b,55302.9638920763,w1,8,126.729575447227,25.6012063321615,03730a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/03730a/160/03730a160-w1-int-1b.fits,
03730a160-w2-int-1b,55302.9638920763,w2,8,126.729575447227,25.6012063321615,03730a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/03730a/160/03730a160-w2-int-1b.fits,
03730a160-w3-int-1b,55302.9638978633,w3,9,126.729575628794,25.6012062011503,03730a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/03730a/160/03730a160-w3-int-1b.fits,
03730a160-w4-int-1b,55302.9638978633,w4,9,126.729575628794,25.6012062011503,03730a160,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/03730a/160/03730a160-w4-int-1b.fits,
