Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
frame-r-007791-4-0058,54774.2464619,r,54,328.952852071863,27.536789250397,frame-r-007791-4-0058,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/7791/4/frame-r-007791-4-0058.fits.bz2,
frame-r-007791-4-0059,54774.2468766,r,54,328.952831561492,27.5367431380609,frame-r-007791-4-0059,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/7791/4/frame-r-007791-4-0059.fits.bz2,
frame-i-007791-4-0058,54774.2472912,i,54,328.952811056067,27.5366970368443,frame-i-007791-4-0058,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/7791/4/frame-i-007791-4-0058.fits.bz2,
frame-i-007791-4-0059,54774.2477058,i,54,328.952790550642,27.5366509356277,frame-i-007791-4-0059,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/7791/4/frame-i-007791-4-0059.fits.bz2,
frame-u-007791-4-0058,54774.2481204,u,54,328.952770045217,27.5366048344111,frame-u-007791-4-0058,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/7791/4/frame-u-007791-4-0058.fits.bz2,
frame-u-007791-4-0059,54774.2485351,u,54,328.952749534846,27.536558722075,frame-u-007791-4-0059,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/7791/4/frame-u-007791-4-0059.fits.bz2,
frame-z-007791-4-0058,54774.2489497,z,54,328.952729029421,27.5365126208584,frame-z-007791-4-0058,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/7791/4/frame-z-007791-4-0058.fits.bz2,
frame-z-007791-4-0059,54774.2493643,z,54,328.952708523996,27.5364665196419,frame-z-007791-4-0059,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/7791/4/frame-z-007791-4-0059.fits.bz2,
frame-g-007791-4-0058,54774.249779,g,54,328.952688013625,27.5364204073058,frame-g-007791-4-0058,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/7791/4/frame-g-007791-4-0058.fits.bz2,
frame-g-007791-4-0059,54774.2501936,g,54,328.9526675082,27.5363743060892,frame-g-007791-4-0059,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/7791/4/frame-g-007791-4-0059.fits.bz2,
rings.v3.skycell.1923.074.wrp.i.55078_48458,55078.4853353222,i,60,329.478085092929,26.9664787712143,1923.074,Pan-STARRS1,,
frame-r-008116-3-0021,55122.1581668,r,54,325.415245548,23.7798310729111,frame-r-008116-3-0021,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/8116/3/frame-r-008116-3-0021.fits.bz2,
