Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
frame-r-001024-1-0026,51463.4040713,r,54,40.2006861090792,-9.08935622120277,frame-r-001024-1-0026,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/1/frame-r-001024-1-0026.fits.bz2,
frame-i-001024-1-0026,51463.4049005,i,54,40.2006544267293,-9.08937559223607,frame-i-001024-1-0026,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/1/frame-i-001024-1-0026.fits.bz2,
frame-u-001024-1-0026,51463.4057298,u,54,40.2006227405585,-9.08939496560549,frame-u-001024-1-0026,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/1/frame-u-001024-1-0026.fits.bz2,
frame-z-001024-1-0026,51463.406559,z,54,40.2005910582082,-9.08941433663896,frame-z-001024-1-0026,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/1/frame-z-001024-1-0026.fits.bz2,
frame-g-001024-1-0026,51463.4073883,g,54,40.2005593720374,-9.08943371000838,frame-g-001024-1-0026,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/1/frame-g-001024-1-0026.fits.bz2,
frame-r-001045-1-0040,51465.4185702,r,54,40.1231447501416,-9.13602052736674,frame-r-001045-1-0040,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/1/frame-r-001045-1-0040.fits.bz2,
frame-i-001045-1-0040,51465.4193995,i,54,40.1231125111041,-9.1360395551945,frame-i-001045-1-0040,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/1/frame-i-001045-1-0040.fits.bz2,
frame-u-001045-1-0040,51465.4202287,u,54,40.1230802759542,-9.13605858072779,frame-u-001045-1-0040,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/1/frame-u-001045-1-0040.fits.bz2,
frame-z-001045-1-0040,51465.421058,z,54,40.1230480369167,-9.13607760855555,frame-z-001045-1-0040,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/1/frame-z-001045-1-0040.fits.bz2,
frame-g-001045-1-0040,51465.4218872,g,54,40.1230158017668,-9.13609663408885,frame-g-001045-1-0040,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/1/frame-g-001045-1-0040.fits.bz2,
EMMI.2006-10-23T06:19:26.044,54031.2643639294,R,150,84.21744459473,-34.0049078189652,C2006Q1,ESO-NTT/EMMI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EMMI.2006-10-23T06:19:26.044&amp;eso_download=file,
EMMI.2006-10-23T06:22:22.172,54031.2664024479,R,150,84.2173657720145,-34.0051943440662,C2006Q1,ESO-NTT/EMMI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EMMI.2006-10-23T06:22:22.172&amp;eso_download=file,
EMMI.2006-10-23T06:25:19.892,54031.2684593924,R,150,84.2172862368273,-34.0054834590427,C2006Q1,ESO-NTT/EMMI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EMMI.2006-10-23T06:25:19.892&amp;eso_download=file,
EMMI.2006-10-23T06:28:29.392,54031.2706526794,V,150,84.2172014297299,-34.0057917377155,C2006Q1,ESO-NTT/EMMI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EMMI.2006-10-23T06:28:29.392&amp;eso_download=file,
EMMI.2006-10-23T06:31:25.771,54031.2726941088,V,150,84.2171224944599,-34.0060786719587,C2006Q1,ESO-NTT/EMMI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EMMI.2006-10-23T06:31:25.771&amp;eso_download=file,
EMMI.2006-10-23T06:34:22.189,54031.274735978,V,150,84.2170435421841,-34.0063656680185,C2006Q1,ESO-NTT/EMMI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EMMI.2006-10-23T06:34:22.189&amp;eso_download=file,
EMMI.2006-10-23T06:37:39.310,54031.2770174769,I,150,84.2169553242264,-34.0066863453647,C2006Q1,ESO-NTT/EMMI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EMMI.2006-10-23T06:37:39.310&amp;eso_download=file,
EMMI.2006-10-23T06:40:35.801,54031.2790601968,I,150,84.2168763390571,-34.0069734609948,C2006Q1,ESO-NTT/EMMI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EMMI.2006-10-23T06:40:35.801&amp;eso_download=file,
EMMI.2006-10-23T06:43:31.619,54031.2810951216,I,150,84.2167976552981,-34.0072594809807,C2006Q1,ESO-NTT/EMMI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EMMI.2006-10-23T06:43:31.619&amp;eso_download=file,
EMMI.2006-10-24T06:42:42.649,54032.280528345,R,150,84.1772645642342,-34.1475249766774,C2006Q1,ESO-NTT/EMMI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EMMI.2006-10-24T06:42:42.649&amp;eso_download=file,
