Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
960817142316a,50312.5994907407,none,20,359.415905904708,-0.865360414094154,960817142316a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960817/obsdata/960817142316a.fit.fz,
960817144538a,50312.6150231482,none,20,359.415471644481,-0.865551117541819,960817144538a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960817/obsdata/960817144538a.fit.fz,
960817145744a,50312.6234259259,none,20,359.415236716822,-0.865654284979105,960817145744a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960817/obsdata/960817145744a.fit.fz,
970929141257a,50720.5923263889,none,20,357.327651569733,-1.75063682773934,970929141257a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970929/obsdata/970929141257a.fit.fz,
970929142705a,50720.6021412037,none,20,357.32729782745,-1.75078868473503,970929142705a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970929/obsdata/970929142705a.fit.fz,
970929144044a,50720.6116203704,none,20,357.326956182483,-1.75093534850869,970929144044a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19970929/obsdata/970929144044a.fit.fz,
971026073509a,50747.3160763889,none,20,356.433136236979,-2.13172873263906,971026073509a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971026/obsdata/971026073509a.fit.fz,
971026074905a,50747.3257523148,none,20,356.432849587674,-2.13184968171276,971026074905a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971026/obsdata/971026074905a.fit.fz,
971026080415a,50747.3362847222,none,20,356.432537565105,-2.1319813368053,971026080415a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971026/obsdata/971026080415a.fit.fz,
971229044902a,50811.2007175926,none,20,355.577303767361,-2.47595917759772,971229044902a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971229/obsdata/971229044902a.fit.fz,
971229050335a,50811.2108217593,none,20,355.577356814236,-2.47593195248189,971229050335a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971229/obsdata/971229050335a.fit.fz,
971229051850a,50811.221412037,none,20,355.577412413194,-2.47590341756698,971229051850a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19971229/obsdata/971229051850a.fit.fz,
SUPE00489040,53912.542349537,W-C-RC,120,346.613847799963,-5.76752405542624,Mbfm95SA36,Subaru/SuprimeCam,,
SUPE00489050,53912.5437731481,W-C-RC,120,346.613783856098,-5.7675500758736,Mbfm95SA36,Subaru/SuprimeCam,,
930888p,54307.4262714169,Z.MP9801,360,336.032176758683,-9.66780705436098,BA3341P004,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/930888p.fits.fz,
WFI.2008-08-16T04:58:34.178,54694.2090756539,R,300,273.604223731983,-21.6656250986691,C2007_N3,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2008-08-16T04:58:34.178&amp;eso_download=file,
WFI.2008-08-16T05:08:16.272,54694.215812853,R,300,273.598092319367,-21.6658045701674,C2007_N3,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2008-08-16T05:08:16.272&amp;eso_download=file,
WFI.2008-08-16T05:22:33.037,54694.2257291146,R,300,273.589067694953,-21.6660687283584,C2007_N3,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2008-08-16T05:22:33.037&amp;eso_download=file,
WFI.2008-08-16T05:29:50.037,54694.2307869908,R,300,273.58446460612,-21.6662034645606,C2007_N3,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2008-08-16T05:29:50.037&amp;eso_download=file,
