Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
02841b078-w1-int-1b,55273.5466611263,w1,8,268.492767055914,22.3094502258181,02841b078,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/02841b/078/02841b078-w1-int-1b.fits,
02841b078-w2-int-1b,55273.5466611263,w2,8,268.492767055914,22.3094502258181,02841b078,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/02841b/078/02841b078-w2-int-1b.fits,
02841b078-w3-int-1b,55273.5466669133,w3,9,268.492767809912,22.3094515373786,02841b078,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/02841b/078/02841b078-w3-int-1b.fits,
02841b078-w4-int-1b,55273.5466669133,w4,9,268.492767809912,22.3094515373786,02841b078,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/02841b/078/02841b078-w4-int-1b.fits,
02841b079-w1-int-1b,55273.5467884863,w1,8,268.492783649861,22.3094790905485,02841b079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/02841b/079/02841b079-w1-int-1b.fits,
02841b079-w2-int-1b,55273.5467884863,w2,8,268.492783649861,22.3094790905485,02841b079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/02841b/079/02841b079-w2-int-1b.fits,
02841b079-w3-int-1b,55273.5467942733,w3,9,268.492784403859,22.3094804021073,02841b079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/02841b/079/02841b079-w3-int-1b.fits,
02841b079-w4-int-1b,55273.5467942733,w4,9,268.492784403859,22.3094804021073,02841b079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/02841b/079/02841b079-w4-int-1b.fits,
02845b079-w1-int-1b,55273.6790924563,w1,8,268.510021754619,22.3394643153049,02845b079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/02845b/079/02845b079-w1-int-1b.fits,
02845b079-w2-int-1b,55273.6790924563,w2,8,268.510021754619,22.3394643153049,02845b079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/02845b/079/02845b079-w2-int-1b.fits,
02845b079-w3-int-1b,55273.6790982433,w3,9,268.510022508617,22.3394656268637,02845b079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/02845b/079/02845b079-w3-int-1b.fits,
02845b079-w4-int-1b,55273.6790982433,w4,9,268.510022508617,22.3394656268637,02845b079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/02845b/079/02845b079-w4-int-1b.fits,
