Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
01258a101-w1-int-1b,55221.1548895063,w1,8,207.655323022796,-26.8601624799697,01258a101,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01258a/101/01258a101-w1-int-1b.fits,
01258a101-w2-int-1b,55221.1548895063,w2,8,207.655323022796,-26.8601624799697,01258a101,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01258a/101/01258a101-w2-int-1b.fits,
01258a101-w3-int-1b,55221.1548952933,w3,9,207.655323410043,-26.8601623500837,01258a101,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01258a/101/01258a101-w3-int-1b.fits,
01258a101-w4-int-1b,55221.1548952933,w4,9,207.655323410043,-26.8601623500837,01258a101,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01258a/101/01258a101-w4-int-1b.fits,
01261b176-w1-int-1b,55221.2871937863,w1,8,207.6641763842,-26.8571929839074,01261b176,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01261b/176/01261b176-w1-int-1b.fits,
01261b176-w2-int-1b,55221.2871937863,w2,8,207.6641763842,-26.8571929839074,01261b176,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01261b/176/01261b176-w2-int-1b.fits,
01261b176-w3-int-1b,55221.2871995733,w3,9,207.664176771446,-26.8571928540215,01261b176,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01261b/176/01261b176-w3-int-1b.fits,
01261b176-w4-int-1b,55221.2871995733,w4,9,207.664176771446,-26.8571928540215,01261b176,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01261b/176/01261b176-w4-int-1b.fits,
01261b177-w1-int-1b,55221.2873211963,w1,8,207.664184910052,-26.8571901242608,01261b177,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01261b/177/01261b177-w1-int-1b.fits,
01261b177-w2-int-1b,55221.2873211963,w2,8,207.664184910052,-26.8571901242608,01261b177,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01261b/177/01261b177-w2-int-1b.fits,
