Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
960521112040a,50224.4726851852,none,20,226.101558063271,-12.5286590663579,960521112040a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960521/obsdata/960521112040a.fit.fz,
960521114910a,50224.4924768519,none,20,226.100972559798,-12.5284331114964,960521114910a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960521/obsdata/960521114910a.fit.fz,
960521115143a,50224.4942476852,none,20,226.100920172646,-12.5284128944829,960521115143a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960521/obsdata/960521115143a.fit.fz,
960521121516a,50224.5106018518,none,20,226.100436361884,-12.5282261844142,960521121516a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960521/obsdata/960521121516a.fit.fz,
960521121748a,50224.5123611111,none,20,226.10038431713,-12.5282060995372,960521121748a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960521/obsdata/960521121748a.fit.fz,
960521124755a,50224.533275463,none,20,226.099765600886,-12.527967327353,960521124755a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960521/obsdata/960521124755a.fit.fz,
960522094339a,50225.4053125,none,20,226.074035390625,-12.5180453472223,960522094339a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960522/obsdata/960522094339a.fit.fz,
960522094853a,50225.4089467593,none,20,226.073928482831,-12.5180041589502,960522094853a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960522/obsdata/960522094853a.fit.fz,
960522100958a,50225.423587963,none,20,226.073497787422,-12.5178382253083,960522100958a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960522/obsdata/960522100958a.fit.fz,
960522101506a,50225.4271527778,none,20,226.073392922453,-12.5177978240739,960522101506a,NEAT-GEODSS-Maui,https://sbnarchive.psi.edu/pds3/neat/geodss/data/g19960522/obsdata/960522101506a.fit.fz,
