Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
rings.v3.skycell.1796.025.wrp.r.55201_47598,55201.4765609981,r,31,136.852137780233,20.9216485510077,1796.025,Pan-STARRS1,,
rings.v3.skycell.1796.025.wrp.r.55201_48556,55201.4861288981,r,31,136.85159679522,20.9223079387828,1796.025,Pan-STARRS1,,
rings.v3.skycell.1796.025.wrp.r.55203_65208,55203.6528330222,r,60,136.724791810413,21.0726643486601,1796.025,Pan-STARRS1,,
rings.v3.skycell.1796.026.wrp.r.55203_65208,55203.6528330222,r,60,136.724791810413,21.0726643486601,1796.026,Pan-STARRS1,,
rings.v3.skycell.1796.025.wrp.r.55203_66111,55203.6618553223,r,60,136.724248216831,21.0732939047117,1796.025,Pan-STARRS1,,
rings.v3.skycell.1796.026.wrp.r.55203_66111,55203.6618553223,r,60,136.724248216831,21.0732939047117,1796.026,Pan-STARRS1,,
rings.v3.skycell.1796.058.wrp.r.55219_38649,55219.3872420222,r,60,135.587414243608,22.2022820197184,1796.058,Pan-STARRS1,,
rings.v3.skycell.1796.058.wrp.r.55219_39510,55219.3958545223,r,60,135.586712683704,22.2029054690309,1796.058,Pan-STARRS1,,
rings.v3.skycell.1796.069.wrp.r.55222_33999,55222.3407397222,r,60,135.34411829484,22.4156443711098,1796.069,Pan-STARRS1,,
rings.v3.skycell.1796.069.wrp.r.55222_34856,55222.3493059223,r,60,135.343403730982,22.4162611375164,1796.069,Pan-STARRS1,,
rings.v3.skycell.1878.044.wrp.z.55290_36270,55290.3632673111,z,30,131.981210593674,25.7369357478134,1878.044,Pan-STARRS1,,
rings.v3.skycell.1878.044.wrp.z.55290_36484,55290.3654116111,z,30,131.981263486407,25.7369716052745,1878.044,Pan-STARRS1,,
rings.v3.skycell.1878.044.wrp.z.55290_37141,55290.3719843111,z,30,131.981425613007,25.7370815154245,1878.044,Pan-STARRS1,,
rings.v3.skycell.1878.044.wrp.z.55290_37354,55290.3741196111,z,30,131.981478283741,25.7371172223856,1878.044,Pan-STARRS1,,
03874a162-w1-int-1b,55307.7273526863,w1,8,132.81875190587,25.8888208003562,03874a162,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/03874a/162/03874a162-w1-int-1b.fits,
03874a162-w2-int-1b,55307.7273526863,w2,8,132.81875190587,25.8888208003562,03874a162,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/03874a/162/03874a162-w2-int-1b.fits,
03874a162-w3-int-1b,55307.7273584733,w3,9,132.818752317953,25.8888208071077,03874a162,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/03874a/162/03874a162-w3-int-1b.fits,
