Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
849791p,53880.3950884849,R.MP9601,110,245.242077720198,-23.0776462219518,2470m014,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/849791p.fits.fz,
849809p,53880.4319641155,R.MP9601,110,245.23930436548,-23.0768820769399,2470m014,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/849809p.fits.fz,
849830p,53880.4830747882,R.MP9601,110,245.235460416971,-23.0758229502223,2470m014,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/849830p.fits.fz,
849974p,53881.4646171345,R.MP9601,110,245.161582175867,-23.0554315874757,2470m014,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/849974p.fits.fz,
918850p,54260.3419995569,G.MP9401,180,243.712318204367,-18.7097791228779,R5j01,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/918850p.fits.fz,
918867p,54260.3900540065,G.MP9401,180,243.708229571614,-18.7085030102718,R5j01,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/918867p.fits.fz,
918884p,54260.4369054618,G.MP9401,180,243.704243293625,-18.7072588438478,R5j01,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/918884p.fits.fz,
918990p,54261.3819731412,G.MP9401,180,243.623945194069,-18.6821938776788,R5j01,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/918990p.fits.fz,
WFI.2009-05-17T05:33:36.312,54968.232537853,Z,150,245.146444555193,-4.12567249429439,K1620S04,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2009-05-17T05:33:36.312&amp;eso_download=file,
WFI.2009-05-17T05:37:27.027,54968.2352081655,Z,150,245.146089848683,-4.12550063001509,K1620S04,ESO-LaSilla_2.2m/WFI,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?WFI.2009-05-17T05:37:27.027&amp;eso_download=file,
rings.v3.skycell.1292.032.wrp.r.54998_46139,54998.4620078074,r,38,241.042733563491,-2.44177381641801,1292.032,Pan-STARRS1,,
rings.v3.skycell.1292.032.wrp.r.54998_47344,54998.4740549074,r,38,241.041159911054,-2.44123337012647,1292.032,Pan-STARRS1,,
02289b112-w1-int-1b,55255.2893477563,w1,8,252.601537416731,4.17305484012985,02289b112,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/02289b/112/02289b112-w1-int-1b.fits,
02289b112-w2-int-1b,55255.2893477563,w2,8,252.601537416731,4.17305484012985,02289b112,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/02289b/112/02289b112-w2-int-1b.fits,
02289b112-w3-int-1b,55255.2893535433,w3,9,252.601537561647,4.17305557845532,02289b112,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/02289b/112/02289b112-w3-int-1b.fits,
02289b112-w4-int-1b,55255.2893535433,w4,9,252.601537561647,4.17305557845532,02289b112,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/02289b/112/02289b112-w4-int-1b.fits,
02294a040-w1-int-1b,55255.4216518663,w1,8,252.604850532152,4.18993463949786,02294a040,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/02294a/040/02294a040-w1-int-1b.fits,
02294a040-w2-int-1b,55255.4216518663,w2,8,252.604850532152,4.18993463949786,02294a040,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/02294a/040/02294a040-w2-int-1b.fits,
02294a040-w3-int-1b,55255.4216576533,w3,9,252.604850677068,4.1899353778224,02294a040,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/02294a/040/02294a040-w3-int-1b.fits,
02294a040-w4-int-1b,55255.4216576533,w4,9,252.604850677068,4.1899353778224,02294a040,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/02294a/040/02294a040-w4-int-1b.fits,
