Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
frame-r-003177-3-0137,52402.1822148,r,54,228.54434511795,45.7441465701778,frame-r-003177-3-0137,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3177/3/frame-r-003177-3-0137.fits.bz2,
frame-i-003177-3-0137,52402.183044,i,54,228.5442905635,45.7441573497778,frame-i-003177-3-0137,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3177/3/frame-i-003177-3-0137.fits.bz2,
frame-u-003177-3-0137,52402.1838733,u,54,228.544236002471,45.7441681306778,frame-u-003177-3-0137,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3177/3/frame-u-003177-3-0137.fits.bz2,
frame-z-003177-3-0137,52402.1847026,z,54,228.544181441441,45.7441789115778,frame-z-003177-3-0137,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3177/3/frame-z-003177-3-0137.fits.bz2,
frame-g-003177-3-0137,52402.1855318,g,54,228.544126886991,45.7441896911778,frame-g-003177-3-0137,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3177/3/frame-g-003177-3-0137.fits.bz2,
frame-r-003180-3-0142,52402.3925508,r,54,228.53050676195,45.7468809381778,frame-r-003180-3-0142,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3180/3/frame-r-003180-3-0142.fits.bz2,
frame-r-003180-3-0143,52402.3929654,r,54,228.530479484725,45.7468863279778,frame-r-003180-3-0143,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3180/3/frame-r-003180-3-0143.fits.bz2,
frame-i-003180-3-0142,52402.3933801,i,54,228.530452200921,45.7468917190778,frame-i-003180-3-0142,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3180/3/frame-i-003180-3-0142.fits.bz2,
frame-i-003180-3-0143,52402.3937947,i,54,228.530424923696,45.7468971088778,frame-i-003180-3-0143,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3180/3/frame-i-003180-3-0143.fits.bz2,
frame-u-003180-3-0142,52402.3942093,u,54,228.530397646471,45.7469024986778,frame-u-003180-3-0142,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3180/3/frame-u-003180-3-0142.fits.bz2,
frame-u-003180-3-0143,52402.394624,u,54,228.530370362667,45.7469078897778,frame-u-003180-3-0143,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3180/3/frame-u-003180-3-0143.fits.bz2,
frame-z-003180-3-0142,52402.3950386,z,54,228.530343085442,45.7469132795778,frame-z-003180-3-0142,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3180/3/frame-z-003180-3-0142.fits.bz2,
frame-z-003180-3-0143,52402.3954532,z,54,228.530315808217,45.7469186693778,frame-z-003180-3-0143,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3180/3/frame-z-003180-3-0143.fits.bz2,
frame-g-003180-3-0142,52402.3958679,g,54,228.530288524412,45.7469240604778,frame-g-003180-3-0142,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3180/3/frame-g-003180-3-0142.fits.bz2,
frame-g-003180-3-0143,52402.3962825,g,54,228.530261247188,45.7469294502778,frame-g-003180-3-0143,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/3180/3/frame-g-003180-3-0143.fits.bz2,
795831p,53518.3248842593,I.MP9701,520,215.30487255015,52.5473942708329,D3,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/795831p.fits.fz,
795833p,53518.3682175926,I.MP9701,520,215.301109772376,52.5469392708333,D3,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/795833p.fits.fz,
795834p,53518.375,I.MP9701,520,215.300520833333,52.5468680555556,D3,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/795834p.fits.fz,
795835p,53518.3816087963,I.MP9701,520,215.299946969521,52.5467986631945,D3,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/795835p.fits.fz,
795836p,53518.3882060186,I.MP9701,520,215.299374110718,52.5467293923603,D3,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/795836p.fits.fz,
795837p,53518.3947916667,I.MP9701,520,215.298802256941,52.5466602430552,D3,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/795837p.fits.fz,
795838p,53518.401400463,I.MP9701,520,215.298228393129,52.5465908506941,D3,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/795838p.fits.fz,
795839p,53518.4079976852,I.MP9701,520,215.297655534335,52.546521579861,D3,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/795839p.fits.fz,
795840p,53518.415474537,R.MP9601,300,215.29700629437,52.5464430729171,D3,CFHT/MegaCam,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/795840p.fits.fz,
