Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
04705b238-w1-int-1b,55335.2228061563,w1,8,6.61067932632378,-60.6033047542495,04705b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04705b/238/04705b238-w1-int-1b.fits,
04705b238-w2-int-1b,55335.2228061563,w2,8,6.61067932632378,-60.6033047542495,04705b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04705b/238/04705b238-w2-int-1b.fits,
04705b238-w3-int-1b,55335.2228119433,w3,9,6.61067972707342,-60.603304899246,04705b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04705b/238/04705b238-w3-int-1b.fits,
04705b238-w4-int-1b,55335.2228119433,w4,9,6.61067972707342,-60.603304899246,04705b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/04705b/238/04705b238-w4-int-1b.fits,
04709b238-w1-int-1b,55335.3551100963,w1,8,6.61984137416887,-60.6066197029684,04709b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/238/04709b238-w1-int-1b.fits,
04709b238-w2-int-1b,55335.3551100963,w2,8,6.61984137416887,-60.6066197029684,04709b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/238/04709b238-w2-int-1b.fits,
04709b238-w3-int-1b,55335.3551158833,w3,9,6.61984177491851,-60.6066198479649,04709b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/238/04709b238-w3-int-1b.fits,
04709b238-w4-int-1b,55335.3551158833,w4,9,6.61984177491851,-60.6066198479649,04709b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/04709b/238/04709b238-w4-int-1b.fits,
04713b238-w1-int-1b,55335.4874140863,w1,8,6.62900342547649,-60.6099346529401,04713b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/238/04713b238-w1-int-1b.fits,
04713b238-w2-int-1b,55335.4874140863,w2,8,6.62900342547649,-60.6099346529401,04713b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/238/04713b238-w2-int-1b.fits,
04713b238-w3-int-1b,55335.4874198733,w3,9,6.62900382622612,-60.6099347979366,04713b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/238/04713b238-w3-int-1b.fits,
04713b238-w4-int-1b,55335.4874198733,w4,9,6.62900382622612,-60.6099347979366,04713b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/04713b/238/04713b238-w4-int-1b.fits,
04716a213-w1-int-1b,55335.5536297063,w1,8,6.63358885716133,-60.6115937220857,04716a213,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/04716a/213/04716a213-w1-int-1b.fits,
04716a213-w2-int-1b,55335.5536297063,w2,8,6.63358885716133,-60.6115937220857,04716a213,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/04716a/213/04716a213-w2-int-1b.fits,
04716a213-w3-int-1b,55335.5536354933,w3,9,6.63358925791097,-60.6115938670821,04716a213,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/04716a/213/04716a213-w3-int-1b.fits,
04716a213-w4-int-1b,55335.5536354933,w4,9,6.63358925791097,-60.6115938670821,04716a213,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/04716a/213/04716a213-w4-int-1b.fits,
04717b238-w1-int-1b,55335.6197180163,w1,8,6.63816547262877,-60.6132496014084,04717b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/238/04717b238-w1-int-1b.fits,
04717b238-w2-int-1b,55335.6197180163,w2,8,6.63816547262877,-60.6132496014084,04717b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/238/04717b238-w2-int-1b.fits,
04717b238-w3-int-1b,55335.6197238033,w3,9,6.6381658733784,-60.6132497464049,04717b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/238/04717b238-w3-int-1b.fits,
04717b238-w4-int-1b,55335.6197238033,w4,9,6.6381658733784,-60.6132497464049,04717b238,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/238/04717b238-w4-int-1b.fits,
04717b239-w1-int-1b,55335.6198453863,w1,8,6.63817429300152,-60.6132527927346,04717b239,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/239/04717b239-w1-int-1b.fits,
04717b239-w2-int-1b,55335.6198453863,w2,8,6.63817429300152,-60.6132527927346,04717b239,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/239/04717b239-w2-int-1b.fits,
04717b239-w3-int-1b,55335.6198511733,w3,9,6.63817469375115,-60.6132529377311,04717b239,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/239/04717b239-w3-int-1b.fits,
04717b239-w4-int-1b,55335.6198511733,w4,9,6.63817469375115,-60.6132529377311,04717b239,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7b/04717b/239/04717b239-w4-int-1b.fits,
04720a214-w1-int-1b,55335.6859336963,w1,8,6.64275090846895,-60.6149086720574,04720a214,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04720a/214/04720a214-w1-int-1b.fits,
04720a214-w2-int-1b,55335.6859336963,w2,8,6.64275090846895,-60.6149086720574,04720a214,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04720a/214/04720a214-w2-int-1b.fits,
04720a214-w3-int-1b,55335.6859394833,w3,9,6.64275130921859,-60.6149088170538,04720a214,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04720a/214/04720a214-w3-int-1b.fits,
04720a214-w4-int-1b,55335.6859394833,w4,9,6.64275130921859,-60.6149088170538,04720a214,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/04720a/214/04720a214-w4-int-1b.fits,
