targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
Garradd (C/2006 L1),2008-Nov-04 05:54:54.308,2454774.746461898,8.7,14.1,21.75,5.0,0.03,,,328.95260071,27.536715517,329.05574842,27.582975843,-6.66275,-16.7163,,,,,379208.958,155079.483,66.259,,999,,32.506,23.117,99.66549,,410261.0,*,,,,,,264.42,0.0,,,350.368441,34.815241,7.848804737804,13.4995583,7.39366632885955,34.7323844,61.4912478,14.9745057,43.8714943,113.9614,/T,6.6297,62.0,32.0685,59.5038,84.42,37.128,-3.96561,Peg,65.182543,342.8933006,37.3093117,,,81.749363,-20.960541,,0.0,1.863,1.269,2.226,0.354,33.672,2.4779649,2.254,16221.8836,0.0003927,2.64,9.59,0.108221,129.0733,,6.6313,346.6273,36.1211
Garradd (C/2006 L1),2008-Nov-05 05:54:54.308,2454775.746461898,8.7,14.1,21.75,5.0,0.03,,,328.903827668,27.425715662,329.006954878,27.471950885,-6.30221,-16.5936,,,,,375040.033,155775.509,66.396,,999,,32.522,23.126,99.66219,,407354.9,*,,,,,,263.62,0.0,,,350.336003,34.809277,7.856598964939,13.494318,7.41379876565315,34.9863725,61.65868417,14.9669954,43.8952097,113.1541,/T,6.6624,53.0,41.2361,60.279,83.629,37.2,-3.91251,Peg,65.182558,342.7843835,37.2275476,,,81.635888,-21.015136,,0.0,1.863,1.274,2.229,0.354,33.786,2.4764657,2.257,16235.8233,0.0003926,2.7,9.83,0.108314,129.1008,,6.664,346.5553,36.0784
Garradd (C/2006 L1),2008-Nov-06 05:54:54.308,2454776.746461898,8.7,14.1,21.75,5.0,0.03,,,328.857803377,27.315547748,328.960901955,27.361753414,-5.94349,-16.4664,,,,,370877.342,156458.717,66.511,,999,,32.537,23.135,99.659,,404434.8,*,,,,,,262.85,0.0,,,350.303634,34.803317,7.864390161493,13.4890849,7.43407547579093,35.2320119,61.82732043,14.9594992,43.915861,112.343,/T,6.6939,45.0,50.893,61.0592,82.851,37.277,-3.85844,Peg,65.182573,342.6788182,37.1454445,,,81.524822,-21.070582,,0.0,1.862,1.278,2.231,0.353,33.899,2.4747502,2.259,16250.154,0.0003925,2.77,10.07,0.108409,129.1281,,6.6955,346.485,36.0355
Garradd (C/2006 L1),2008-Nov-07 05:54:54.308,2454777.746461898,8.7,14.1,21.75,5.0,0.03,,,328.814507647,27.206241158,328.917569356,27.252413499,-5.58675,-16.3349,,,,,366721.503,157128.811,66.606,,999,,32.552,23.144,99.65591,,401501.8,*,,,,,,262.08,0.0,,,350.271334,34.79736,7.872178331858,13.4838591,7.45449163533815,35.4692977,61.99711645,14.9520168,43.9335224,111.5283,/T,6.7241,38.5,60.7528,61.8442,82.087,37.361,-3.80343,Peg,65.182589,342.5765969,37.0630393,,,81.416177,-21.126855,,0.0,1.862,1.283,2.233,0.352,34.011,2.4728236,2.261,16264.8819,0.0003924,2.84,10.31,0.108508,129.1554,,6.7257,346.4163,35.9924
Garradd (C/2006 L1),2008-Nov-08 05:54:54.308,2454778.746461898,8.7,14.1,21.75,5.0,0.03,,,328.773919235,27.097824042,328.876937398,27.143960795,-5.23214,-16.1992,,,,,362573.11,157785.499,66.68,,999,,32.567,23.153,99.65295,,398556.7,*,,,,,,261.33,0.0,,,350.239102,34.791406,7.879963480422,13.4786404,7.47504242378375,35.6982475,62.16803215,14.9445483,43.948285,110.7102,/T,6.7531,34.8,70.4689,62.6339,81.334,37.45,-3.74751,Peg,65.182604,342.4777117,36.9803682,,,81.309964,-21.183936,,0.0,1.861,1.287,2.235,0.352,34.122,2.4706911,2.263,16280.013,0.0003924,2.91,10.57,0.108609,129.1827,,6.7546,346.3492,35.9492
Garradd (C/2006 L1),2008-Nov-09 05:54:54.308,2454779.746461898,8.7,14.1,21.75,5.0,0.03,,,328.736015931,26.990323275,328.838987393,27.036424508,-4.87981,-16.0596,,,,,358432.73,158428.493,66.735,,999,,32.583,23.162,99.65011,,395600.2,*,,,,,,260.59,0.0,,,350.206938,34.785456,7.887745611558,13.473429,7.49572303885348,35.9189078,62.34002758,14.9370937,43.9602616,109.8889,/T,6.7808,35.2,79.6161,63.4279,80.594,37.545,-3.69069,Peg,65.182621,342.3821552,36.8974666,,,81.206191,-21.241802,,0.0,1.86,1.291,2.237,0.351,34.232,2.468358,2.264,16295.5528,0.0003923,2.98,10.82,0.108712,129.2099,,6.7823,346.2838,35.9057
Garradd (C/2006 L1),2008-Nov-10 05:54:54.308,2454780.746461898,8.7,14.1,21.75,5.0,0.03,,,328.700774701,26.883764433,328.803701769,26.929833165,-4.52987,-15.9163,,,,,354300.902,159057.511,66.77,,999,,32.598,23.171,99.64739,,392633.2,*,,,,,,259.86,0.0,,,350.174843,34.779509,7.895524729634,13.4682247,7.51652871443548,36.1313579,62.51306311,14.9296529,43.9695867,109.0648,/T,6.8072,40.0,87.6845,64.2262,79.865,37.645,-3.63302,Peg,65.182637,342.2899209,36.814369,,,81.104867,-21.300432,,0.0,1.859,1.296,2.239,0.351,34.34,2.4658294,2.266,16311.5065,0.0003922,3.05,11.08,0.108819,129.2371,,6.8086,346.2201,35.8622
Garradd (C/2006 L1),2008-Nov-11 05:54:54.308,2454781.746461898,8.7,14.1,21.75,5.0,0.03,,,328.66817189,26.778171798,328.771063527,26.824214048,-4.18242,-15.7694,,,,,350178.13,159672.277,66.785,,999,,32.613,23.18,99.6448,,389656.4,*,,,,,,259.14,0.0,,,350.142815,34.773565,7.903300839004,13.4630275,7.53745473978087,36.3357093,62.68709955,14.9222258,43.9764108,108.2379,/T,6.8323,48.1,94.1029,65.0285,79.147,37.751,-3.57451,Peg,65.182654,342.2010029,36.7311089,,,81.005996,-21.359804,,0.0,1.858,1.3,2.24,0.35,34.448,2.4631107,2.267,16327.879,0.0003922,3.12,11.35,0.108928,129.2641,,6.8336,346.158,35.8185
Garradd (C/2006 L1),2008-Nov-12 05:54:54.308,2454782.746461898,8.7,14.1,21.75,5.0,0.03,,,328.638183501,26.673568416,328.741054812,26.719592304,-3.83749,-15.6192,,,,,346064.884,160272.518,66.782,,999,,32.629,23.189,99.64234,,386670.4,*,,,,,,258.43,0.0,,,350.110855,34.767625,7.911073944011,13.4578375,7.55849647578287,36.532096,62.86209833,14.9148124,43.9808839,107.4084,/T,6.8559,58.5,98.3016,65.8347,78.439,37.863,-3.51519,Peg,65.182671,342.1153947,36.6477187,,,80.909586,-21.419898,,0.0,1.857,1.304,2.242,0.349,34.555,2.460207,2.269,16344.6752,0.0003921,3.2,11.62,0.10904,129.2912,,6.8572,346.0975,35.7747
Garradd (C/2006 L1),2008-Nov-13 05:54:54.308,2454783.746461898,8.7,14.1,21.75,5.0,0.03,,,328.610785514,26.569976244,328.713654788,26.615990017,-3.49508,-15.4657,,,,,341961.606,160857.956,66.761,,999,,32.644,23.198,99.64002,,383676.0,*,,,,,,257.74,0.0,,,350.078963,34.761688,7.918844048988,13.4526547,7.57964936212043,36.7206524,63.03802152,14.9074128,43.9831298,106.5767,/T,6.8782,70.2,99.8133,66.6447,77.742,37.981,-3.45509,Peg,65.182689,342.033086,36.5642297,,,80.81564,-21.480693,,0.0,1.855,1.307,2.243,0.349,34.662,2.4571234,2.27,16361.8994,0.0003921,3.27,11.89,0.109155,129.3182,,6.8794,346.0387,35.7308
