targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
Lemmon-Siding Spring (C/2008 FK7,2010-Mar-18 13:07:11.521,2455274.046661123,9.7,,5.25,,268.493105477,22.309303607,268.603813038,22.302762208,18.02647,34.02112,,,,,-321815.36,83399.141,292.309,,999,,16.615,,98.90192,,323192.8,*,,,,,,91.03,0.0,,,251.013398,44.508167,4.776677020439,-4.5519324,4.67565137909159,-22.1650537,38.88620676,19.2872788,42.5058419,89.7758,/L,12.03,106.7,7.0727,78.0946,271.085,236.545,7.01291,Her,66.185595,268.1492479,45.7327178,,,47.5114,22.170802,,0.0,0.08,0.05,0.08,0.05,1.759,0.0125178,0.094,465.7919,1.34e-05,0.31,1.14,0.003107,332.7374,,12.0301,259.4137,45.4379
Lemmon-Siding Spring (C/2008 FK7,2010-Mar-19 13:07:11.521,2455275.046661123,9.7,,5.25,,268.621879176,22.536587357,268.732420718,22.53017489,17.60613,34.1975,,,,,-324664.32,82793.871,292.528,,999,,16.607,,98.90011,,325269.3,*,,,,,,90.37,0.0,,,251.136769,44.603831,4.774053649666,-4.5318968,4.66289062838524,-22.0233454,38.78007883,19.2925615,42.3168295,90.3526,/L,12.04,114.3,13.0891,77.5082,270.42,236.594,6.89054,Her,66.185604,268.315578,45.9616738,,,47.786793,22.142735,,0.0,0.08,0.05,0.08,0.05,1.928,0.0125541,0.095,464.439,1.33e-05,0.31,1.13,0.003098,332.8672,,12.04,259.5477,45.6018
Lemmon-Siding Spring (C/2008 FK7,2010-Mar-20 13:07:11.521,2455276.046661123,9.7,,5.25,,268.747817118,22.765030142,268.858201269,22.758745213,17.1821,34.36794,,,,,-327505.98,82193.219,292.761,,999,,16.6,,98.89852,,327334.5,*,,,,,,89.7,0.0,,,251.260682,44.699466,4.771441865621,-4.5118159,4.65021309526143,-21.8769008,38.67464301,19.2978252,42.1248667,90.9262,/L,12.0487,121.1,20.78,76.9263,269.75,236.642,6.76535,Her,66.185611,268.4789364,46.191612,,,48.062167,22.117465,,0.0,0.081,0.05,0.081,0.05,2.098,0.0125898,0.095,463.0998,1.32e-05,0.31,1.13,0.003089,332.9972,,12.0487,259.6801,45.766
Lemmon-Siding Spring (C/2008 FK7,2010-Mar-21 13:07:11.521,2455277.046661123,9.7,,5.25,,268.870886945,22.994592079,268.981122111,22.988430736,16.75459,34.53235,,,,,-330340.33,81597.411,293.006,,999,,16.593,,98.89716,,329387.8,*,,,,,,89.02,0.0,,,251.385141,44.795071,4.768841694482,-4.4916898,4.63762148991846,-21.7258104,38.56992182,19.3030697,41.9300727,91.4966,/L,12.0562,126.7,29.9091,76.3488,269.074,236.69,6.63736,Her,66.185619,268.6392668,46.4225006,,,48.337484,22.094999,,0.0,0.081,0.05,0.081,0.05,2.27,0.0126251,0.095,461.7744,1.31e-05,0.31,1.12,0.003081,333.1274,,12.0562,259.8111,45.9306
Lemmon-Siding Spring (C/2008 FK7,2010-Mar-22 13:07:11.521,2455278.046661123,9.7,,5.25,,268.991057366,23.225232705,269.101149692,23.219188633,16.32379,34.69065,,,,,-333167.39,81006.669,293.265,,999,,16.586,,98.89601,,331428.9,*,,,,,,88.34,0.0,,,251.510149,44.890644,4.766253162371,-4.4715185,4.62511846464831,-21.5701844,38.46593733,19.308295,41.7325862,92.0636,/L,12.0625,130.4,40.1556,75.776,268.393,236.737,6.50661,Her,66.185625,268.7965107,46.6543076,,,48.612705,22.07534,,0.0,0.081,0.05,0.081,0.05,2.444,0.0126597,0.095,460.4629,1.31e-05,0.31,1.11,0.003072,333.2576,,12.0625,259.9407,46.0954
Lemmon-Siding Spring (C/2008 FK7,2010-Mar-23 13:07:11.521,2455279.046661123,9.7,,5.25,,269.10829809,23.456911136,269.218249521,23.450976383,15.88989,34.84279,,,,,-335987.18,80421.214,293.537,,999,,16.579,,98.89509,,333457.4,*,,,,,,87.65,0.0,,,251.635709,44.986184,4.763676295355,-4.4513022,4.61270660213957,-21.4101536,38.36271102,19.313501,41.5325644,92.627,/L,12.0677,131.7,51.1086,75.2079,267.705,236.783,6.37312,Her,66.185632,268.9506071,46.8870005,,,48.887793,22.058491,,0.0,0.081,0.05,0.081,0.05,2.62,0.0126938,0.095,459.1651,1.3e-05,0.3,1.1,0.003063,333.3881,,12.0676,260.0687,46.2605
Lemmon-Siding Spring (C/2008 FK7,2010-Mar-24 13:07:11.521,2455280.046661123,9.7,,5.25,,269.222579678,23.689586232,269.332386618,23.683752478,15.45304,34.98875,,,,,-338799.76,79841.265,293.823,,999,,16.572,,98.89437,,335472.7,*,,,,,,86.96,0.0,,,251.761824,45.081688,4.761111119442,-4.4310409,4.60038840370231,-21.2458688,38.26026368,19.3186875,41.3301796,93.1869,/L,12.0716,130.1,62.2624,74.6446,267.012,236.829,6.23693,Her,66.185637,269.1014937,47.1205463,,,49.162711,22.044453,,0.0,0.081,0.05,0.081,0.05,2.798,0.0127273,0.095,457.8811,1.29e-05,0.3,1.09,0.003055,333.5186,,12.0715,260.1952,46.4259
Lemmon-Siding Spring (C/2008 FK7,2010-Mar-25 13:07:11.521,2455281.046661123,9.7,,5.25,,269.333873305,23.923216749,269.443526419,23.91747696,15.01337,35.12852,,,,,-341605.21,79267.038,294.122,,999,,16.565,,98.89386,,337474.6,*,,,,,,86.26,0.0,,,251.888497,45.177156,4.758557660581,-4.4107348,4.58816627837802,-21.077498,38.15861537,19.3238544,41.1256116,93.743,/L,12.0745,125.8,73.0211,74.0862,266.313,236.874,6.09808,Her,66.185642,269.2491074,47.3549121,,,49.437419,22.033227,,0.0,0.081,0.05,0.081,0.05,2.977,0.0127603,0.095,456.6109,1.28e-05,0.3,1.08,0.003046,333.6493,,12.0743,260.3201,46.5915
Lemmon-Siding Spring (C/2008 FK7,2010-Mar-26 13:07:11.521,2455282.046661123,9.7,,5.25,,269.442150414,24.157761447,269.551636033,24.152111518,14.57093,35.26209,,,,,-344403.64,78698.744,294.434,,999,,16.558,,98.89355,,339462.6,*,,,,,,85.56,0.0,,,252.015731,45.272585,4.756015944659,-4.390384,4.57604253488989,-20.9052188,38.05778527,19.3290018,40.9190342,94.2952,/L,12.0762,119.3,82.7253,73.5328,265.608,236.918,5.95659,Her,66.185647,269.3933863,47.5900648,,,49.711883,22.024814,,0.0,0.081,0.05,0.081,0.05,3.159,0.0127925,0.095,455.3545,1.28e-05,0.3,1.07,0.003038,333.7802,,12.076,260.4435,46.7573
Lemmon-Siding Spring (C/2008 FK7,2010-Mar-27 13:07:11.521,2455283.046661123,9.7,,5.25,,269.547382265,24.393179108,269.656685444,24.387618912,14.12572,35.38948,,,,,-347195.2,78136.586,294.76,,999,,16.551,,98.89344,,341436.4,*,,,,,,84.84,0.0,,,252.14353,45.367974,4.753485997496,-4.3699886,4.56401937935286,-20.7292064,37.95779173,19.3341295,40.7105955,94.8434,/L,12.0768,111.2,90.7105,72.9845,264.896,236.962,5.81251,Her,66.185651,269.5342713,47.8259713,,,49.986065,22.019213,,0.0,0.081,0.05,0.081,0.05,3.342,0.0128242,0.096,454.1118,1.27e-05,0.29,1.07,0.00303,333.9111,,12.0766,260.5652,46.9233
