targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
McNaught (C/2009 F2),2010-Jan-25 03:43:02.453,2455221.654889502,6.4,10.7,10.0,5.0,0.03,,,207.655496767,-26.86024796,207.802585567,-26.910526916,9.084447,3.307578,,,,,-339034.46,-28468.37,241.55,,999,,17.931,18.666,99.2981,,322617.4,*,,,,,,111.18,0.0,,,205.387598,-14.276138,5.896901911459,1.0438239,5.82065222907662,-26.8434542,48.40888846,17.2724918,29.1391432,89.616,/L,9.6116,157.6,67.7381,80.6335,291.239,229.744,8.40186,Hya,66.184598,215.4519314,-14.466418,,,318.915985,34.169138,,0.0,0.396,0.209,0.401,0.201,9.618,0.252765,0.448,6024.6154,5.45e-05,1.06,3.87,0.040192,6.9887,,9.6117,210.3443,-14.4248
McNaught (C/2009 F2),2010-Jan-26 03:43:02.453,2455222.654889502,6.4,10.7,10.0,5.0,0.03,,,207.722009252,-26.837607116,207.869287366,-26.887915426,8.712863,3.493694,,,,,-342861.5,-29281.64,241.256,,999,,17.926,18.661,99.29813,,325991.4,*,,,,,,111.41,0.0,,,205.440079,-14.193844,5.89750897898,1.0582093,5.80514897253469,-26.8421487,48.2799518,17.2715912,29.0003611,90.5532,/L,9.6115,144.7,77.6032,79.6963,291.463,229.718,8.42166,Hya,66.184625,215.50068,-14.423749,,,318.992562,34.174504,,0.0,0.396,0.209,0.401,0.202,9.471,0.2536836,0.448,6022.575,5.45e-05,1.06,3.84,0.040178,7.0855,,9.6115,210.3944,-14.362
McNaught (C/2009 F2),2010-Jan-27 03:43:02.453,2455223.654889502,6.4,10.7,10.0,5.0,0.03,,,207.785726306,-26.813716119,207.933200948,-26.86406221,8.339592,3.682238,,,,,-346701.28,-30110.83,240.962,,999,,17.92,18.655,99.29854,,329375.5,*,,,,,,111.63,0.0,,,205.492512,-14.111555,5.898124353769,1.0725887,5.78964866814289,-26.8332518,48.1510397,17.2706786,28.8631391,91.4932,/L,9.6088,131.0,86.3945,78.7589,291.686,229.694,8.43894,Hya,66.184652,215.5465879,-14.3808323,,,319.066686,34.181678,,0.0,0.396,0.21,0.4,0.202,9.328,0.2545772,0.449,6020.6379,5.45e-05,1.05,3.81,0.040165,7.1823,,9.6086,210.443,-14.2991
McNaught (C/2009 F2),2010-Jan-28 03:43:02.453,2455224.654889502,6.4,10.7,10.0,5.0,0.03,,,207.84663597,-26.78855883,207.994305669,-26.8389494,7.964666,3.873191,,,,,-350553.25,-30955.49,240.671,,999,,17.915,18.649,99.29933,,332769.8,*,,,,,,111.85,0.0,,,205.544896,-14.029272,5.898748032351,1.0869621,5.77415566468664,-26.816887,48.02218832,17.2697538,28.7276542,92.4361,/L,9.6034,116.6,93.4513,77.8212,291.91,229.671,8.45369,Hya,66.184678,215.5896315,-14.337655,,,319.138358,34.190686,,0.0,0.396,0.211,0.4,0.203,9.19,0.2554444,0.449,6018.804,5.44e-05,1.04,3.78,0.040153,7.279,,9.6032,210.4903,-14.2361
McNaught (C/2009 F2),2010-Jan-29 03:43:02.453,2455225.654889502,6.4,10.7,10.0,5.0,0.03,,,207.90472641,-26.762119153,208.052579189,-26.812557261,7.588061,4.066559,,,,,-354416.89,-31815.18,240.382,,999,,17.91,18.644,99.30049,,336174.3,*,,,,,,112.08,0.0,,,205.597231,-13.946996,5.899380011204,1.1013294,5.75867424194648,-26.7931642,47.89343325,17.268817,28.5940584,93.3818,/L,9.5955,101.8,98.1363,76.8833,292.133,229.65,8.46589,Hya,66.184704,215.6297845,-14.2942039,,,319.207574,34.201556,,0.0,0.396,0.211,0.4,0.204,9.057,0.2562839,0.449,6017.0733,5.44e-05,1.03,3.75,0.040142,7.3758,,9.5952,210.536,-14.1729
McNaught (C/2009 F2),2010-Jan-30 03:43:02.453,2455226.654889502,6.4,10.7,10.0,5.0,0.03,,,207.959985507,-26.73438087,208.108000671,-26.78486493,7.209701,4.262374,,,,,-358291.64,-32689.45,240.094,,999,,17.904,18.638,99.30204,,339589.0,*,,,,,,112.3,0.0,,,205.649518,-13.864726,5.900020286763,1.1156905,5.7432086287271,-26.7621439,47.76480967,17.267868,28.4624531,94.3303,/L,9.585,86.8,99.963,75.9452,292.357,229.631,8.4755,Hya,66.18473,215.667021,-14.2504662,,,319.274333,34.214312,,0.0,0.396,0.212,0.4,0.205,8.93,0.2570943,0.449,6015.4458,5.44e-05,1.02,3.72,0.040131,7.4725,,9.5846,210.5803,-14.1095
McNaught (C/2009 F2),2010-Jan-31 03:43:02.453,2455227.654889502,6.4,10.7,10.0,5.0,0.03,,,208.012400549,-26.705327475,208.16055428,-26.755851964,6.829482,4.46069,,,,,-362176.99,-33577.87,239.809,,999,,17.899,18.632,99.30397,,343014.0,*,,,,,,112.52,0.0,,,205.701755,-13.782463,5.900668855412,1.1300453,5.72776304147082,-26.7238042,47.63635264,17.266907,28.3328694,95.2817,/L,9.5718,71.7,98.7187,75.007,292.581,229.614,8.48252,Hya,66.184756,215.7013189,-14.2064289,,,319.338632,34.228981,,0.0,0.396,0.212,0.399,0.206,8.807,0.2578742,0.449,6013.9212,5.44e-05,1.02,3.69,0.040121,7.5692,,9.5713,210.6231,-14.046
McNaught (C/2009 F2),2010-Feb-01 03:43:02.453,2455228.654889502,6.4,10.7,10.0,5.0,0.03,,,208.061958141,-26.674942062,208.21023064,-26.725499832,6.447304,4.661572,,,,,-366072.39,-34480.02,239.526,,999,,17.894,18.625,99.30628,,346449.4,*,,,,,,112.75,0.0,,,205.753945,-13.700207,5.901325713494,1.1443938,5.7123417369938,-26.6780269,47.50809756,17.2659339,28.2052662,96.236,/L,9.5559,56.8,94.5268,74.0685,292.805,229.598,8.48691,Hya,66.184781,215.7326624,-14.1620791,,,319.400466,34.24559,,0.0,0.396,0.213,0.399,0.206,8.691,0.2586222,0.449,6012.4995,5.43e-05,1.01,3.67,0.040111,7.6659,,9.5554,210.6644,-13.9823
McNaught (C/2009 F2),2010-Feb-02 03:43:02.453,2455229.654889502,6.4,10.7,10.0,5.0,0.03,,,208.1086444,-26.643207299,208.257025102,-26.69379243,6.063113,4.865081,,,,,-369977.31,-35395.48,239.244,,999,,17.888,18.619,99.30898,,349895.3,*,,,,,,112.97,0.0,,,205.806086,-13.617958,5.901990857302,1.1587359,5.69694906556631,-26.6246109,47.38008062,17.2649487,28.0795487,97.1931,/L,9.5374,42.3,87.8133,73.1299,293.03,229.584,8.48866,Hya,66.184807,215.7610408,-14.1174036,,,319.45983,34.264165,,0.0,0.395,0.213,0.398,0.207,8.58,0.2593368,0.449,6011.1806,5.43e-05,1.0,3.65,0.040102,7.7626,,9.5367,210.7043,-13.9184
McNaught (C/2009 F2),2010-Feb-03 03:43:02.453,2455230.654889502,6.4,10.7,10.0,5.0,0.03,,,208.15244537,-26.610105502,208.30093409,-26.660715344,5.676917,5.071262,,,,,-373891.17,-36323.83,238.965,,999,,17.883,18.613,99.31207,,353351.6,*,,,,,,113.2,0.0,,,205.858179,-13.535717,5.902664283084,1.1730715,5.68158951002882,-26.5633047,47.25233909,17.2639516,27.9555982,98.1532,/L,9.5161,28.4,79.1964,72.191,293.256,229.571,8.48774,Hya,66.184832,215.7864455,-14.0723891,,,319.516718,34.284734,,0.0,0.395,0.214,0.398,0.208,8.475,0.2600165,0.449,6009.9641,5.43e-05,1.0,3.62,0.040094,7.8592,,9.5154,210.7426,-13.8543
