targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
Grauer (C/2009 U5),2010-Jan-05 11:26:14.870,2455201.976560995,11.8,,4.5,,136.852390112,20.921599534,137.005312958,20.87843275,-7.90671,10.3419,,,,,-496190.3,156500.221,272.449,,999,,18.998,,99.85649,,545291.6,*,,,,,,99.16,0.0,,,128.797895,3.616377,6.205324039049,-2.2620557,5.3235483869617,-15.3519138,44.27460187,16.9066558,20.7521043,151.4699,/L,4.3471,37.4,71.4321,24.0431,279.118,262.106,1.26968,Cnc,66.184036,133.2549991,4.2172579,,,207.061785,38.877698,,0.0,0.285,0.26,0.286,0.259,12.317,0.2323654,0.386,19341.9775,0.000708,11.2,40.69,0.129036,344.6171,,4.3421,130.9494,3.9186
Grauer (C/2009 U5),2010-Jan-06 11:26:14.870,2455202.976560995,11.8,,4.5,,136.794951842,20.990736202,136.948022592,20.947594129,-8.16687,10.40992,,,,,-500448.65,156326.493,272.459,,999,,18.994,,99.86617,,549143.3,*,,,,,,98.69,0.0,,,128.878903,3.654471,6.204021234144,-2.2492161,5.3148184688559,-14.8779549,44.20199735,16.9084377,20.544971,152.5398,/L,4.198,51.4,60.7097,23.1225,278.642,262.081,1.19378,Cnc,66.184065,133.1834452,4.267809,,,206.95571,38.848917,,0.0,0.284,0.26,0.285,0.258,15.546,0.2316951,0.385,19287.5838,0.0007074,11.19,40.67,0.128673,344.7066,,4.193,130.9541,3.9627
Grauer (C/2009 U5),2010-Jan-07 11:26:14.870,2455203.976560995,11.8,,4.5,,136.735652596,21.060311395,136.88887339,21.017190631,-8.42017,10.47389,,,,,-504738.29,156127.638,272.508,,999,,18.991,,99.87561,,552995.0,*,,,,,,98.17,0.0,,,128.959952,3.692574,6.202725850306,-2.2363656,5.30636396819327,-14.3981867,44.13168342,16.91021,20.3406066,153.6097,/L,4.0474,65.0,49.776,22.2034,278.128,262.056,1.11718,Cnc,66.184094,133.1101323,4.3183017,,,206.848475,38.818585,,0.0,0.282,0.261,0.285,0.258,18.809,0.2311642,0.385,19233.253,0.0007068,11.18,40.65,0.12831,344.7961,,4.0423,130.9579,4.0069
Grauer (C/2009 U5),2010-Jan-08 11:26:14.870,2455204.976560995,11.8,,4.5,,136.674540818,21.13029771,136.827920098,21.087194789,-8.66622,10.53368,,,,,-509058.59,155903.775,272.6,,999,,18.987,,99.88479,,556845.6,*,,,,,,97.62,0.0,,,129.041042,3.730685,6.201437893799,-2.2235043,5.29818820203659,-13.9127501,44.06368764,16.9119727,20.1390744,154.6793,/L,3.8954,78.2,39.1618,21.286,277.573,262.03,1.03993,Cnc,66.184123,133.0351192,4.3687251,,,206.74014,38.786736,,0.0,0.281,0.262,0.285,0.258,22.053,0.2307829,0.384,19178.9833,0.0007062,11.18,40.63,0.127948,344.8857,,3.8903,130.9609,4.051
Grauer (C/2009 U5),2010-Jan-09 11:26:14.870,2455205.976560995,11.8,,4.5,,136.611667584,21.200666829,136.765217028,21.157579477,-8.90468,10.58915,,,,,-513408.85,155655.041,272.742,,999,,18.983,,99.89369,,560694.1,*,,,,,,97.02,0.0,,,129.122172,3.768804,6.200157370863,-2.2106322,5.29029439208738,-13.4218323,43.99803683,16.9137258,19.9404713,155.7484,/L,3.7421,91.2,29.2953,20.3705,276.97,262.003,0.96205,Cnc,66.184152,132.9584642,4.4190681,,,206.630763,38.753407,,0.0,0.28,0.263,0.284,0.258,25.227,0.2305617,0.384,19124.7732,0.0007056,11.17,40.61,0.127587,344.9752,,3.7369,130.9631,4.095
Grauer (C/2009 U5),2010-Jan-10 11:26:14.870,2455206.976560995,11.8,,4.5,,136.547086498,21.271389616,136.700818023,21.22831749,-9.13522,10.64019,,,,,-517788.33,155381.591,272.939,,999,,18.98,,99.9023,,564538.8,*,,,,,,96.36,0.0,,,129.203343,3.806931,6.19888428771,-2.1977494,5.28268564129781,-12.9256556,43.93475678,16.9154692,19.744921,156.8163,/L,3.5876,103.9,20.5145,19.4573,276.314,261.975,0.88359,Cnc,66.184181,132.8802251,4.4693196,,,206.520409,38.718635,,0.0,0.279,0.264,0.285,0.258,28.289,0.2305109,0.384,19070.6211,0.000705,11.17,40.59,0.127225,345.0649,,3.5824,130.9645,4.139
Grauer (C/2009 U5),2010-Jan-11 11:26:14.870,2455207.976560995,11.8,,4.5,,136.480853557,21.342436199,136.634776895,21.299381153,-9.35751,10.68669,,,,,-522196.18,155083.59,273.199,,999,,18.976,,99.9106,,568378.3,*,,,,,,95.65,0.0,,,129.284554,3.845066,6.197618650523,-2.1848559,5.27536491629753,-12.4244687,43.87387216,16.9172029,19.5525686,157.8829,/L,3.432,116.3,13.0829,18.5466,275.596,261.946,0.80457,Cnc,66.184211,132.8004597,4.5194681,,,206.40914,38.682462,,0.0,0.278,0.265,0.285,0.258,31.211,0.2306406,0.384,19016.5255,0.0007044,11.16,40.58,0.126865,345.1545,,3.4268,130.9652,4.183
Grauer (C/2009 U5),2010-Jan-12 11:26:14.870,2455208.976560995,11.8,,4.5,,136.413027019,21.413776068,136.567148005,21.370742024,-9.57127,10.72857,,,,,-526631.53,154761.214,273.531,,999,,18.973,,99.91858,,572210.6,*,,,,,,94.86,0.0,,,129.365806,3.883209,6.196360465457,-2.1719518,5.26833503393914,-11.9185407,43.81540641,16.918927,19.3635756,158.9474,/L,3.2755,128.5,7.2013,17.6389,274.809,261.916,0.72503,Cnc,66.18424,132.7192266,4.5695022,,,206.297022,38.644931,,0.0,0.277,0.267,0.285,0.258,33.976,0.2309607,0.384,18962.4849,0.0007038,11.16,40.56,0.126504,345.2442,,3.2702,130.9652,4.227
Grauer (C/2009 U5),2010-Jan-13 11:26:14.870,2455209.976560995,11.8,,4.5,,136.343667258,21.485378157,136.497986939,21.442370682,-9.77622,10.76575,,,,,-531093.47,154414.645,273.947,,999,,18.97,,99.92622,,576033.4,*,,,,,,94.0,0.0,,,129.447097,3.921359,6.195109738635,-2.159037,5.2615986505953,-11.4081577,43.75938162,16.9206414,19.1781174,160.0093,/L,3.1182,140.6,3.0143,16.7347,273.94,261.885,0.64501,Cnc,66.184269,132.6365856,4.6194105,,,206.184122,38.606085,,0.0,0.276,0.268,0.286,0.258,36.578,0.2314808,0.385,18908.4981,0.0007032,11.16,40.54,0.126144,345.3339,,3.1129,130.9645,4.2708
Grauer (C/2009 U5),2010-Jan-14 11:26:14.870,2455210.976560995,11.8,,4.5,,136.272836621,21.557210932,136.427351144,21.514236615,-9.97211,10.79816,,,,,-535581.0,154044.073,274.459,,999,,18.967,,99.93352,,579844.0,*,,,,,,93.04,0.0,,,129.528429,3.959517,6.193866476151,-2.1461118,5.25515825344214,-10.8936191,43.70581847,16.9223462,18.9963814,161.0678,/L,2.9603,152.4,0.6121,15.8346,272.977,261.853,0.56455,Cnc,66.184298,132.5525986,4.6691816,,,206.070506,38.565971,,0.0,0.276,0.27,0.286,0.258,39.022,0.2322099,0.386,18854.5637,0.0007025,11.15,40.53,0.125784,345.4237,,2.955,130.9631,4.3147
