targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
Hill (C/2010 G2),2006-May-25 09:28:55.645,2453880.895088484,10.8,,6.25,,245.242086872,-23.077660771,245.34291499,-23.095607731,-10.3811,3.101219,,,,,-594067.44,-158592.37,234.371,,999,,23.869,,99.99952,,634590.4,*,,,,,,123.8,0.0,,,247.102587,-1.459944,14.9699733442,-9.6539578,13.9590736624456,-11.7102343,116.09407559,10.4263628,32.6430891,176.2751,/L,0.2558,152.9,4.3201,3.3873,304.504,176.391,-0.18898,Sco,65.185045,247.4249593,-1.5665357,,,353.238934,18.720333,,0.0,0.066,0.396,0.398,0.055,-84.61,0.0688798,0.401,4719.5832,4.36e-05,0.38,1.39,0.031486,220.9914,,0.2507,247.2166,-1.5132
Hill (C/2010 G2),2006-May-26 09:28:55.645,2453881.895088484,10.8,,6.25,,245.166814232,-23.056892481,245.26768628,-23.074877436,-10.3977,3.11577,,,,,-597016.15,-159151.92,226.039,,999,,23.867,,99.99973,,637859.4,*,,,,,,132.19,0.0,,,247.100527,-1.451482,14.96439701068,-9.6556674,13.9524654159932,-11.1727138,116.03911648,10.4284994,32.4933622,177.1832,/L,0.1941,166.8,0.9912,2.5473,313.295,176.254,-0.12144,Sco,65.185024,247.3532445,-1.5576188,,,353.206398,18.785736,,0.0,0.066,0.396,0.397,0.055,-84.715,0.0688254,0.401,4717.6478,4.36e-05,0.38,1.39,0.031473,221.0002,,0.1894,247.1797,-1.5045
Hill (C/2010 G2),2006-May-27 09:28:55.645,2453882.895088484,10.8,,6.25,,245.091447604,-23.036029557,245.192377654,-23.054057577,-10.4103,3.129598,,,,,-599982.52,-159689.25,210.312,,999,,23.865,,99.99986,,640686.9,*,,,,,,147.61,0.0,,,247.098465,-1.443014,14.95881969947,-9.657378,13.946167761604,-10.6347784,115.98674049,10.4306375,32.3420573,177.9686,/L,0.1401,176.8,0.1984,1.8327,329.546,176.116,-0.05379,Sco,65.185002,247.2814277,-1.5486593,,,353.173807,18.851254,,0.0,0.066,0.396,0.397,0.055,-84.821,0.0687683,0.401,4715.7086,4.36e-05,0.38,1.39,0.03146,221.0089,,0.1364,247.1427,-1.4958
Hill (C/2010 G2),2006-May-28 09:28:55.645,2453883.895088484,10.8,,6.25,,245.01601499,-23.015076849,245.117010471,-23.033154615,-10.4192,3.142699,,,,,-602967.37,-160204.15,180.762,,999,,23.863,,99.99992,,642364.9,*,,,,,,176.68,0.0,,,247.096401,-1.434539,14.95324140997,-9.6590897,13.940180831347,-10.0967975,115.93694871,10.4327772,32.1892766,178.4347,/L,0.1063,165.2,1.8351,1.443,359.67,175.979,0.01394,Sco,65.184979,247.2095293,-1.5396579,,,353.141173,18.916866,,0.0,0.065,0.395,0.397,0.055,-84.928,0.0687086,0.401,4713.765,4.36e-05,0.38,1.4,0.031447,221.0177,,0.1052,247.1057,-1.4871
Hill (C/2010 G2),2006-May-29 09:28:55.645,2453884.895088484,10.8,,6.25,,244.940544297,-22.99403924,245.041604486,-23.012173244,-10.4241,3.155069,,,,,598804.503,-160696.42,144.657,,999,,23.862,,99.9999,,641865.8,*,,,,,,213.78,0.0,,,247.094337,-1.426058,14.94766214156,-9.6608024,13.9345045507458,-9.5591145,115.88974052,10.4349184,32.0351491,178.2961,/T,0.1129,152.1,5.6475,1.63,36.123,175.841,0.08172,Sco,65.184957,247.1375679,-1.530615,,,353.108511,18.982549,,0.0,0.065,0.395,0.397,0.055,-85.034,0.0686462,0.401,4711.8167,4.36e-05,0.39,1.4,0.031434,221.0265,,0.1153,247.0686,-1.4783
Hill (C/2010 G2),2006-May-30 09:28:55.645,2453885.895088484,10.8,,6.25,,244.865063227,-22.972921624,244.966179968,-22.99111675,-10.4253,3.166708,,,,,594513.44,-161165.86,121.63,,999,,23.86,,99.99981,,639569.1,*,,,,,,238.28,0.0,,,247.09227,-1.417571,14.94208189362,-9.6625162,13.9291386569731,-9.0220374,115.84511374,10.4370612,31.8798163,177.6581,/T,0.1548,139.2,11.2906,2.254,59.409,175.704,0.14953,Sco,65.184934,247.0655625,-1.5215314,,,353.075835,19.04828,,0.0,0.064,0.395,0.396,0.055,-85.14,0.0685813,0.4,4709.8631,4.36e-05,0.39,1.4,0.031421,221.0352,,0.1591,247.0316,-1.4695
Hill (C/2010 G2),2006-May-31 09:28:55.645,2453886.895088484,10.8,,6.25,,244.7895992,-22.951728899,244.89075909,-22.969987648,-10.4228,3.177616,,,,,590246.434,-161612.28,109.775,,999,,23.858,,99.99964,,636507.2,*,,,,,,251.05,0.0,,,247.090202,-1.409077,14.93650066553,-9.6642311,13.924082720321,-8.4858365,115.8030648,10.4392056,31.7234196,176.8076,/T,0.2121,126.7,18.3837,3.0581,71.602,175.567,0.21734,Sco,65.184911,246.9935334,-1.5124075,,,353.043158,19.114039,,0.0,0.064,0.395,0.396,0.055,-85.247,0.0685138,0.4,4707.9037,4.36e-05,0.39,1.41,0.031408,221.044,,0.2171,246.9945,-1.4607
Hill (C/2010 G2),2006-Jun-01 09:28:55.645,2453887.895088484,10.8,,6.25,,244.714179319,-22.930465962,244.815366401,-22.948788298,-10.4165,3.187793,,,,,586004.152,-162035.48,103.254,,999,,23.856,,99.9994,,633147.1,*,,,,,,258.2,0.0,,,247.088133,-1.400577,14.93091845664,-9.665947,13.9193361647953,-7.950749,115.7635889,10.4413515,31.566092,175.8742,/T,0.2754,114.4,26.5523,3.9329,78.509,175.431,0.28513,Sco,65.184887,246.9215033,-1.503244,,,353.010495,19.179802,,0.0,0.064,0.395,0.396,0.055,-85.353,0.0684437,0.4,4705.9381,4.36e-05,0.39,1.41,0.031395,221.0528,,0.2806,246.9574,-1.4519
Hill (C/2010 G2),2006-Jun-02 09:28:55.645,2453888.895088484,10.8,,6.25,,244.638830354,-22.909137709,244.740028632,-22.927521346,-10.4065,3.197239,,,,,581787.208,-162435.3,99.324,,999,,23.854,,99.99909,,629652.7,*,,,,,,262.66,0.0,,,247.086062,-1.392071,14.92533526633,-9.6676641,13.9148982852886,-7.416986,115.72668018,10.443499,31.4079559,174.9035,/T,0.3412,102.3,35.4511,4.8402,82.846,175.295,0.35287,Sco,65.184863,246.8494967,-1.4940413,,,352.977859,19.245549,,0.0,0.063,0.394,0.396,0.055,-85.459,0.0683712,0.399,4703.9658,4.36e-05,0.39,1.42,0.031381,221.0616,,0.3465,246.9204,-1.443
Hill (C/2010 G2),2006-Jun-03 09:28:55.645,2453889.895088484,10.8,,6.25,,244.563578749,-22.88774904,244.664774226,-22.906189978,-10.3929,3.205953,,,,,577596.166,-162811.58,96.79,,999,,23.853,,99.9987,,626088.9,*,,,,,,265.68,0.0,,,247.083989,-1.383558,14.91975109396,-9.6693821,13.9107682605349,-6.8847397,115.69233181,10.445648,31.249123,173.9136,/T,0.4083,90.3,44.7693,5.7643,85.797,175.159,0.42055,Sco,65.184839,246.77754,-1.4848002,,,352.945263,19.311258,,0.0,0.063,0.394,0.395,0.055,-85.566,0.0682962,0.399,4701.9864,4.36e-05,0.39,1.42,0.031368,221.0704,,0.4137,246.8833,-1.4341
