targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
PANSTARRS (C/2016 R2),2010-May-19 05:20:50.452,2455335.722806158,7.3,11.2,9.75,5.0,0.03,,,6.610764977,-60.603245719,6.729750965,-60.540841818,5.11656,-3.73788,,,,,-166583.66,-289034.4,201.846,,999,,26.52,24.316,99.9366,,322246.7,*,,,,,,45.32,0.0,,,323.790942,-55.198383,20.09893560975,-8.7086622,20.0820041584718,-25.3045338,167.01693573,9.3469728,36.022695,89.513,/L,2.8856,119.5,30.3422,87.5165,225.394,242.277,-0.95209,Tuc,66.185204,329.0008491,-55.2640294,,,308.45815,-56.258947,,0.0,0.735,0.325,0.797,0.101,22.981,0.2539357,0.804,18722.5106,0.0001113,1.04,3.8,0.124903,222.1934,,2.8857,326.3177,-55.2593
PANSTARRS (C/2016 R2),2010-May-20 05:20:50.452,2455336.722806158,7.3,11.2,9.75,5.0,0.03,,,6.679778564,-60.628443737,6.798802852,-60.565963891,5.038659,-3.82406,,,,,-169506.61,-289887.86,202.146,,999,,26.517,24.314,99.93654,,324196.1,*,,,,,,46.06,0.0,,,323.799994,-55.20052,20.0939052383,-8.7096101,20.0673939178029,-25.2872399,166.89542607,9.3481646,35.9656087,90.0545,/L,2.887,121.1,41.3559,86.9736,226.125,242.302,-0.91474,Tuc,66.185184,329.0131842,-55.3056679,,,308.390158,-56.240085,,0.0,0.734,0.326,0.797,0.101,23.097,0.2537541,0.803,18716.9705,0.0001113,1.07,3.88,0.124866,222.199,,2.8871,326.3271,-55.2812
PANSTARRS (C/2016 R2),2010-May-21 05:20:50.452,2455337.722806158,7.3,11.2,9.75,5.0,0.03,,,6.747780222,-60.654213232,6.866828368,-60.591664847,4.959659,-3.90926,,,,,-172435.81,-290722.91,202.443,,999,,26.515,24.312,99.93649,,326143.4,*,,,,,,46.79,0.0,,,323.809053,-55.202657,20.08887431957,-8.7105583,20.0527950208471,-25.2652704,166.77401074,9.349357,35.9071726,90.5954,/L,2.8882,120.6,52.8221,86.4317,226.857,242.329,-0.87707,Tuc,66.185164,329.024093,-55.3473619,,,308.323018,-56.220492,,0.0,0.734,0.328,0.797,0.101,23.212,0.2535768,0.803,18711.2821,0.0001113,1.09,3.97,0.124828,222.2046,,2.8882,326.3357,-55.3031
PANSTARRS (C/2016 R2),2010-May-22 05:20:50.452,2455338.722806158,7.3,11.2,9.75,5.0,0.03,,,6.814754871,-60.680547662,6.933810672,-60.61793681,4.8796,-3.99348,,,,,-175371.67,-291539.25,202.737,,999,,26.512,24.31,99.93645,,328088.0,*,,,,,,47.52,0.0,,,323.818117,-55.204795,20.0838428534,-8.711507,20.0382101372677,-25.2387317,166.65271197,9.3505499,35.8475586,91.1356,/L,2.889,118.1,64.1092,85.8907,227.591,242.356,-0.83911,Tuc,66.185144,329.0335751,-55.3891003,,,308.256748,-56.200178,,0.0,0.733,0.329,0.797,0.101,23.327,0.253404,0.803,18705.4447,0.0001113,1.12,4.06,0.124789,222.2102,,2.889,326.3436,-55.325
PANSTARRS (C/2016 R2),2010-May-23 05:20:50.452,2455339.722806158,7.3,11.2,9.75,5.0,0.03,,,6.880687838,-60.707440528,6.999738218,-60.644770623,4.798515,-4.07674,,,,,-178314.6,-292336.63,203.027,,999,,26.509,24.308,99.93642,,330029.8,*,,,,,,48.26,0.0,,,323.827186,-55.206933,20.07881083964,-8.7124561,20.0236418764415,-25.2077248,166.53155144,9.3517435,35.7869285,91.675,/L,2.8897,113.8,74.6055,85.3508,228.327,242.386,-0.80085,Tuc,66.185123,329.0416337,-55.4308721,,,308.191368,-56.179149,,0.0,0.732,0.33,0.797,0.101,23.442,0.2532357,0.803,18699.4578,0.0001113,1.14,4.15,0.124749,222.2159,,2.8896,326.3508,-55.347
PANSTARRS (C/2016 R2),2010-May-24 05:20:50.452,2455340.722806158,7.3,11.2,9.75,5.0,0.03,,,6.945564717,-60.734885416,7.064603657,-60.672156635,4.716427,-4.15903,,,,,-181265.03,-293114.78,203.314,,999,,26.507,24.306,99.93641,,331968.4,*,,,,,,48.99,0.0,,,323.836261,-55.209072,20.07377827812,-8.7134056,20.0090927928655,-25.1723377,166.4105504,9.3529377,35.7254229,92.2134,/L,2.89,108.3,83.7586,84.8121,229.064,242.416,-0.76232,Tuc,66.185102,329.0482725,-55.4726666,,,308.126895,-56.157415,,0.0,0.731,0.332,0.797,0.101,23.556,0.253072,0.803,18693.3209,0.0001113,1.17,4.24,0.124708,222.2215,,2.89,326.3573,-55.3689
PANSTARRS (C/2016 R2),2010-May-25 05:20:50.452,2455341.722806158,7.3,11.2,9.75,5.0,0.03,,,7.00937122,-60.762876025,7.128401674,-60.700085598,4.633345,-4.2404,,,,,-184223.37,-293873.48,203.597,,999,,26.504,24.304,99.93641,,333903.4,*,,,,,,49.73,0.0,,,323.845342,-55.211211,20.06874516868,-8.7143555,19.9945653954461,-25.1326393,166.28972972,9.3541324,35.6631524,92.751,/L,2.8901,102.0,91.1129,84.2747,229.803,242.448,-0.72353,Tuc,66.18508,329.0534946,-55.5144733,,,308.063347,-56.134984,,0.0,0.731,0.333,0.797,0.101,23.669,0.2529131,0.803,18687.0334,0.0001113,1.19,4.34,0.124666,222.2272,,2.89,326.3631,-55.3908
PANSTARRS (C/2016 R2),2010-May-26 05:20:50.452,2455342.722806158,7.3,11.2,9.75,5.0,0.03,,,7.072093018,-60.791406168,7.191126419,-60.728549416,4.549269,-4.32084,,,,,-187190.06,-294612.48,203.876,,999,,26.501,24.302,99.93642,,335834.6,*,,,,,,50.48,0.0,,,323.854428,-55.213351,20.06371151117,-8.7153059,19.9800621598118,-25.0886754,166.16910998,9.3553278,35.6001908,93.2874,/L,2.8899,95.2,96.3414,83.7386,230.545,242.481,-0.68447,Tuc,66.185058,329.0572996,-55.5562817,,,308.000739,-56.111862,,0.0,0.73,0.334,0.797,0.101,23.783,0.2527592,0.803,18680.5948,0.0001113,1.22,4.43,0.124624,222.2328,,2.8898,326.3681,-55.4127
PANSTARRS (C/2016 R2),2010-May-27 05:20:50.452,2455343.722806158,7.3,11.2,9.75,5.0,0.03,,,7.133715612,-60.820469748,7.252769236,-60.757541531,4.464191,-4.40037,,,,,-190165.55,-295331.55,204.152,,999,,26.499,24.3,99.93644,,337761.5,*,,,,,,51.22,0.0,,,323.863519,-55.21549,20.05867730541,-8.7162566,19.9655855423462,-25.0404668,166.04871163,9.3565238,35.536572,93.8226,/L,2.8895,88.3,99.2673,83.204,231.288,242.516,-0.64517,Tuc,66.185036,329.0596834,-55.5980814,,,307.93909,-56.088058,,0.0,0.73,0.336,0.797,0.101,23.895,0.2526102,0.803,18674.0047,0.0001113,1.25,4.53,0.12458,222.2384,,2.8894,326.3725,-55.4346
PANSTARRS (C/2016 R2),2010-May-28 05:20:50.452,2455344.722806158,7.3,11.2,9.75,5.0,0.03,,,7.194224219,-60.850060713,7.31331742,-60.787056841,4.378096,-4.479,,,,,-193150.27,-296030.49,204.423,,999,,26.496,24.297,99.93647,,339683.9,*,,,,,,51.96,0.0,,,323.872616,-55.217631,20.05364255125,-8.7172077,19.9511379942395,-24.9880113,165.92855504,9.3577203,35.4722924,94.3566,/L,2.8888,81.6,99.8664,82.6708,232.034,242.552,-0.60564,Tuc,66.185013,329.0606384,-55.6398618,,,307.878414,-56.06358,,0.0,0.729,0.337,0.797,0.101,24.008,0.2524663,0.803,18667.2625,0.0001113,1.27,4.62,0.124535,222.2441,,2.8886,326.3761,-55.4565
