targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
Lemmon (C/2023 H5),2010-Jun-14 05:29:54.289,2455361.729100567,8.4,11.2,8.0,5.0,0.03,,,125.882936655,-62.132661278,125.919753729,-62.170992506,3.759686,3.373255,,,,,143733.751,-307542.25,161.257,,999,,27.701,26.103,99.97239,,331811.6,*,,,,,,320.63,0.0,,,187.627326,-73.737099,30.54877073659,-7.0672276,30.4934782499167,0.9168407,253.60652538,7.6261831,31.0443807,92.1699,/T,1.904,85.4,4.1454,85.9668,140.668,211.098,-1.8388,Car,66.184596,181.0233856,-74.1027623,,,276.625065,-13.915619,,0.0,0.926,1.14,1.459,0.168,51.054,0.7691982,1.469,42489.3127,0.000137,1.61,5.84,0.283458,224.2005,,1.9041,184.2883,-73.9439
Lemmon (C/2023 H5),2010-Jun-15 05:29:54.289,2455362.729100567,8.4,11.2,8.0,5.0,0.03,,,125.936787483,-62.110324651,125.973652959,-62.148640094,3.807466,3.312808,,,,,140426.153,-307628.88,161.601,,999,,27.701,26.103,99.97237,,330869.6,*,,,,,,321.51,0.0,,,187.621904,-73.734391,30.54468897109,-7.067618,30.4940179972276,0.951785,253.61101432,7.6266949,31.0200802,91.9082,/T,1.9048,80.5,10.0957,86.2279,141.541,211.074,-1.83139,Car,66.18457,181.0021166,-74.0696092,,,276.619484,-13.882392,,0.0,0.925,1.14,1.458,0.168,51.11,0.7682463,1.467,42494.7815,0.000137,1.59,5.79,0.283495,224.2039,,1.9048,184.272,-73.9261
Lemmon (C/2023 H5),2010-Jun-16 05:29:54.289,2455363.729100567,8.4,11.2,8.0,5.0,0.03,,,125.991273759,-62.088392703,126.02818156,-62.126686191,3.854169,3.251673,,,,,137128.568,-307692.26,161.951,,999,,27.7,26.103,99.97235,,329924.1,*,,,,,,322.38,0.0,,,187.616483,-73.731682,30.54060698053,-7.0680085,30.494577186129,0.984168,253.61566495,7.6272069,30.9951859,91.6456,/T,1.9055,76.0,18.2853,86.4899,142.414,211.05,-1.82345,Car,66.184544,180.9828732,-74.0363925,,,276.614459,-13.84911,,0.0,0.923,1.139,1.457,0.168,51.167,0.7672818,1.466,42500.1742,0.0001371,1.58,5.73,0.283531,224.2072,,1.9055,184.2567,-73.9083
Lemmon (C/2023 H5),2010-Jun-17 05:29:54.289,2455364.729100567,8.4,11.2,8.0,5.0,0.03,,,126.046379937,-62.066869861,126.083328043,-62.105138253,3.899789,3.189903,,,,,133840.884,-307732.38,162.305,,999,,27.7,26.102,99.97233,,328975.5,*,,,,,,323.25,0.0,,,187.611062,-73.728972,30.53652476483,-7.0683991,30.4951543470025,1.0140268,253.62046505,7.627719,30.9698319,91.3821,/T,1.9061,72.5,28.1913,86.753,143.285,211.028,-1.81499,Car,66.184517,180.9656438,-74.0031221,,,276.60999,-13.815783,,0.0,0.921,1.139,1.455,0.168,51.225,0.7663051,1.465,42505.4862,0.0001371,1.56,5.67,0.283566,224.2106,,1.9062,184.2424,-73.8904
Lemmon (C/2023 H5),2010-Jun-18 05:29:54.289,2455365.729100567,8.4,11.2,8.0,5.0,0.03,,,126.102090539,-62.045760225,126.139081867,-62.084004091,3.944331,3.127545,,,,,130562.948,-307749.22,162.664,,999,,27.699,26.102,99.97231,,328023.9,*,,,,,,324.12,0.0,,,187.605641,-73.726262,30.53244232392,-7.0687898,30.4957480369033,1.0414153,253.62540262,7.6282312,30.9441765,91.1178,/T,1.9067,70.0,39.1836,87.0168,144.154,211.006,-1.80603,Car,66.18449,180.9504205,-73.9698077,,,276.606078,-13.78242,,0.0,0.919,1.139,1.454,0.168,51.284,0.7653164,1.464,42510.7131,0.0001371,1.54,5.61,0.283601,224.214,,1.9068,184.2291,-73.8725
Lemmon (C/2023 H5),2010-Jun-19 05:29:54.289,2455366.729100567,8.4,11.2,8.0,5.0,0.03,,,126.15839028,-62.025067605,126.195432035,-62.063290769,3.987807,3.064637,,,,,127294.564,-307742.78,163.028,,999,,27.699,26.102,99.9723,,327069.6,*,,,,,,324.99,0.0,,,187.600221,-73.72355,30.52835965773,-7.0691805,30.496356847164,1.0663969,253.63046594,7.6287435,30.9183846,90.8527,/T,1.9073,68.8,50.6013,87.2815,145.023,210.984,-1.79655,Car,66.184463,180.9371981,-73.9364585,,,276.602722,-13.749029,,0.0,0.917,1.139,1.453,0.167,51.344,0.7643162,1.462,42515.8506,0.0001371,1.53,5.55,0.283635,224.2174,,1.9073,184.2168,-73.8546
Lemmon (C/2023 H5),2010-Jun-20 05:29:54.289,2455367.729100567,8.4,11.2,8.0,5.0,0.03,,,126.215264154,-62.004795566,126.252366049,-62.043003803,4.030237,3.001213,,,,,124035.5,-307713.08,163.397,,999,,27.698,26.102,99.97228,,326112.9,*,,,,,,325.86,0.0,,,187.594801,-73.720837,30.52427676618,-7.0695713,30.4969794065141,1.0890368,253.63564361,7.6292559,30.8926131,90.5869,/T,1.9078,69.0,61.8122,87.5469,145.89,210.963,-1.78656,Car,66.184436,180.9259716,-73.9030837,,,276.599921,-13.71562,,0.0,0.915,1.139,1.451,0.167,51.406,0.7633048,1.461,42520.8944,0.0001372,1.51,5.49,0.283669,224.2208,,1.9078,184.2055,-73.8366
Lemmon (C/2023 H5),2010-Jun-21 05:29:54.289,2455368.729100567,8.4,11.2,8.0,5.0,0.03,,,126.272697483,-61.984947486,126.309869533,-62.023146897,4.071639,2.937296,,,,,120785.497,-307660.14,163.77,,999,,27.698,26.102,99.97227,,325153.9,*,,,,,,326.72,0.0,,,187.589381,-73.718124,30.5201936492,-7.0699622,30.4976143803834,1.109396,253.64092452,7.6297685,30.8670015,90.3205,/T,1.9082,70.4,72.2522,87.8129,146.757,210.943,-1.77607,Car,66.184409,180.9167341,-73.8696922,,,276.597674,-13.682201,,0.0,0.913,1.139,1.45,0.167,51.468,0.7622825,1.46,42525.8406,0.0001372,1.49,5.42,0.283702,224.2242,,1.9083,184.1951,-73.8186
Lemmon (C/2023 H5),2010-Jun-22 05:29:54.289,2455369.729100567,8.4,11.2,8.0,5.0,0.03,,,126.330675933,-61.965526604,126.367926405,-62.003722103,4.112035,2.872903,,,,,117544.276,-307583.98,164.147,,999,,27.698,26.101,99.97226,,324193.0,*,,,,,,327.59,0.0,,,187.583962,-73.71541,30.51611030672,-7.0703531,30.4982604674116,1.1275279,253.64629787,7.6302811,30.8416657,90.0536,/T,1.9087,72.9,81.447,88.0796,147.622,210.923,-1.76509,Car,66.184381,180.9094762,-73.8362926,,,276.59598,-13.64878,,0.0,0.911,1.139,1.449,0.167,51.532,0.7612497,1.458,42530.6852,0.0001372,1.47,5.35,0.283734,224.2276,,1.9087,184.1858,-73.8006
Lemmon (C/2023 H5),2010-Jun-23 05:29:54.289,2455370.729100567,8.4,11.2,8.0,5.0,0.03,,,126.3891855,-61.946536069,126.426519497,-61.984730328,4.151443,2.808043,,,,,114311.55,-307484.63,164.528,,999,,27.697,26.101,99.97225,,323230.3,*,,,,,,328.45,0.0,,,187.578542,-73.712695,30.51202673866,-7.0707441,30.4989163941016,1.1434753,253.65175304,7.6307939,30.8166955,89.7862,/T,1.909,76.3,89.0236,88.3468,148.486,210.904,-1.7536,Car,66.184354,180.9041847,-73.8028934,,,276.594839,-13.615366,,0.0,0.909,1.139,1.448,0.167,51.597,0.7602068,1.457,42535.4243,0.0001372,1.45,5.28,0.283766,224.2309,,1.909,184.1774,-73.7825
