Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV
2455231.722446,+04:20:48.7188,-27:05:10.580,16.298685953494942,16.45654864283205,25.483219706656055,3.404675310484403,97.50863292559953,-0.059916679293247864,0.11995053159078882,10.401963479143728
2455231.73056,+04:20:48.6664,-27:05:09.178,16.29873470277697,16.456504436671725,25.483226863267756,3.4047321202394443,97.50312131519146,-0.05989633534791091,0.11995827473966109,10.402719673343091
2455231.732049,+04:20:48.6568,-27:05:08.921,16.298743649141418,16.456496324394987,25.48322817667333,3.404742542222551,97.50210986880528,-0.05989260191196875,0.11995969544756119,10.402858398979124
2455236.762906,+04:20:19.6550,-26:50:23.541,16.32957533256538,16.42907817303747,25.487814886494686,3.4342009620617007,94.06848902273576,-0.047086839410679905,0.12432506697539503,10.792204758091618
2455236.762906,+04:20:19.6550,-26:50:23.541,16.32957533256538,16.42907817303747,25.487814886494686,3.4342009620617007,94.06848902273576,-0.047086839410679905,0.12432506697539503,10.792204758091618
2455236.762912,+04:20:19.6549,-26:50:23.540,16.329575369964985,16.429078140326098,25.487814892117783,3.4342009901911985,94.06848491179042,-0.04708682393631384,0.12432507164842238,10.792205125610817
2455236.762912,+04:20:19.6549,-26:50:23.540,16.329575369964985,16.429078140326098,25.487814892117783,3.4342009901911985,94.06848491179042,-0.04708682393631384,0.12432507164842238,10.792205125610817
2455236.89521,+04:20:18.9872,-26:49:59.845,16.3304003203478,16.42835686417589,25.48793895192356,3.4348170889745986,93.97783353924348,-0.04674552273753007,0.12442779302152131,10.800251553075752
2455236.89521,+04:20:18.9872,-26:49:59.845,16.3304003203478,16.42835686417589,25.48793895192356,3.4348170889745986,93.97783353924348,-0.04674552273753007,0.12442779302152131,10.800251553075752
2455236.895216,+04:20:18.9871,-26:49:59.844,16.33040035777234,16.428356831466427,25.48793895755285,3.434817116726391,93.97782942797669,-0.04674550725539108,0.12442779766547002,10.800251915378794
2455236.895216,+04:20:18.9871,-26:49:59.844,16.33040035777234,16.428356831466427,25.48793895755285,3.434817116726391,93.97782942797669,-0.04674550725539108,0.12442779766547002,10.800251915378794
2455236.895338,+04:20:18.9865,-26:49:59.822,16.33040111879218,16.428356166328065,25.48793907202337,3.4348176810487856,93.9777458263623,-0.04674519242977989,0.12442789209874844,10.800259282671709
2455236.895338,+04:20:18.9865,-26:49:59.822,16.33040111879218,16.428356166328065,25.48793907202337,3.4348176810487856,93.9777458263623,-0.04674519242977989,0.12442789209874844,10.800259282671709
