Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV
2450224.972685,+15:04:24.2981,-12:31:44.086,28.87487688637219,29.857008201843122,28.75043284920693,0.4787241683118811,165.73375948945443,-0.07216082946065087,0.028556019079826942,-0.2834896208796288
2450224.992477,+15:04:24.1576,-12:31:43.272,28.874873702336384,29.856930331261648,28.750426706847634,0.4793379463471212,165.71517246974082,-0.07215490933330089,0.02855218433094819,-0.2735937406122175
2450224.994248,+15:04:24.1451,-12:31:43.199,28.874873422940777,29.85692336335288,28.750426158054047,0.479392869575176,165.71350916662112,-0.07215437911301058,0.02855184106115581,-0.27270830495294496
2450225.010602,+15:04:24.0290,-12:31:42.527,28.87487088570429,29.856859019339897,28.750421096740766,0.4799000644255047,165.6981486995851,-0.07214947912784461,0.028548670152218444,-0.26453231336652855
2450225.012361,+15:04:24.0165,-12:31:42.454,28.874870617404557,29.85685209863886,28.750420553048244,0.47995461882956236,165.69649645766341,-0.07214895169285786,0.02854832898440535,-0.2636529666953215
2450225.033275,+15:04:23.8682,-12:31:41.595,28.874867495850502,29.85676981344896,28.75041409898394,0.4806032795275762,165.67685022603138,-0.0721426746377652,0.02854427093154561,-0.25319845331193724
2450225.905312,+15:04:17.6930,-12:31:05.858,28.87484955808163,29.85333874927861,28.750161846605778,0.5076839292014772,164.85528412071457,-0.07187112980700856,0.028372344308139227,0.18160162136395283
2450225.908947,+15:04:17.6673,-12:31:05.710,28.874849941240246,29.853324446924837,28.750160863910075,0.5077969256331091,164.85185033519954,-0.07186995796975652,0.028371616587498764,0.18340939838763715
2450225.923588,+15:04:17.5638,-12:31:05.112,28.874851522948862,29.85326684008719,28.75015691159551,0.5082520585491331,164.83801906071778,-0.07186523472012901,0.028368684560067085,0.1906903388032028
2450225.927153,+15:04:17.5387,-12:31:04.966,28.874851917406666,29.85325281314311,28.750155950629573,0.5083628826463217,164.83465104875197,-0.07186408382545188,0.028367970403734302,0.1924631099850234
2450225.947361,+15:04:17.3959,-12:31:04.140,28.874854222352173,29.853173302170983,28.750150513812578,0.5089910959754668,164.8155583735256,-0.07185755404942017,0.02836392058979273,0.2025112469379002
2450225.951007,+15:04:17.3701,-12:31:03.992,28.87485465070687,29.853158956506007,28.750149534758464,0.5091044428818651,164.81211337048782,-0.07185637483835954,0.028363189607298476,0.20432403864869722
2450663.760475,+15:03:23.2627,-10:54:50.082,27.99605765926437,28.111661466378408,28.48540136397154,2.0590213260726498,95.51127507500193,-0.0025978556183309676,0.0013829055136702411,22.05616289080929
2450663.770972,+15:03:23.2600,-10:54:50.061,27.996191379942534,28.111619256783893,28.485418847148235,2.0590562128514356,95.50126951299792,-0.0025830436763899377,0.0013784404093165473,22.05666073767882
2450663.780891,+15:03:23.2575,-10:54:50.041,27.99631774028028,28.11157937137133,28.485435367974983,2.059089119688752,95.49181492306012,-0.002569047171537058,0.0013742214032519138,22.057130280287023
2451661.803498,+15:29:13.6805,-07:30:34.810,23.035767893559523,23.99420417616157,27.29455869023702,0.7502628090184962,161.8139493871014,-0.08637280097455545,0.04219962995263408,-14.993090470312982
2451661.809146,+15:29:13.6333,-07:30:34.467,23.035718989594407,23.994180264812634,27.29454730636318,0.7500863889254923,161.8184221270484,-0.08637616155611273,0.04219865247129623,-14.990283197636446
2451661.81009,+15:29:13.6254,-07:30:34.410,23.035710816739563,23.994176268298748,27.294545403842847,0.7500569043720616,161.81916962955972,-0.08637672314366761,0.04219848906381914,-14.989813985370295
2451661.811185,+15:29:13.6162,-07:30:34.343,23.03570133689052,23.99417163250972,27.294543197058537,0.7500227042711033,161.82003667761202,-0.08637737452732742,0.04219829950633782,-14.989269715838208
2451662.800709,+15:29:05.3124,-07:29:34.338,23.027275582554505,23.989982279902573,27.292575220720458,0.7194663634500134,162.59275572134354,-0.08695082062543556,0.04202187738434232,-14.496155589811208
2451662.802637,+15:29:05.2962,-07:29:34.221,23.027259441036666,23.989974117109522,27.292571437566814,0.7194075515124122,162.59423928628834,-0.0869519081293564,0.04202152362827164,-14.495192359465078
2451662.806301,+15:29:05.2653,-07:29:33.999,23.027228768415412,23.989958604415627,27.292564248556868,0.7192957926840274,162.59705842860762,-0.08695397451633408,0.04202085123747696,-14.493361796640077
2451662.80745,+15:29:05.2556,-07:29:33.930,23.02721915053246,23.98995373976224,27.292561994291344,0.7192607482637486,162.59794242187144,-0.08695462243146834,0.04202064035224242,-14.492787740306268
2451662.808543,+15:29:05.2464,-07:29:33.864,23.02721000176333,23.989949112204048,27.29255984996099,0.7192274128387449,162.59878330124843,-0.08695523872980974,0.04202043973235095,-14.492241659481065
2451663.807135,+15:28:56.8122,-07:28:33.573,23.018995725709928,23.98572114963197,27.290627624805254,0.689198248187332,163.354480435459,-0.08750254175719574,0.04183189481866987,-13.992096721810384
2451663.810539,+15:28:56.7833,-07:28:33.368,23.018968218614035,23.985706736980823,27.290621130292262,0.6890974320235154,163.35701163402626,-0.08750435319576445,0.04183123411299088,-13.990387697422708
2451663.811834,+15:28:56.7724,-07:28:33.290,23.01895775484243,23.985701253907486,27.2906186597187,0.6890590809809468,163.35797450624815,-0.0875050422325041,0.04183098272543782,-13.98973751801182
2451663.813277,+15:28:56.7602,-07:28:33.203,23.018946095782322,23.985695144195844,27.290615906900307,0.6890163488545143,163.35904736691248,-0.08750580995320034,0.0418307025869411,-13.989013027585852
2451663.814766,+15:28:56.7475,-07:28:33.113,23.018934065688256,23.985688839718645,27.29061306644578,0.6889722566130463,163.3601543682072,-0.08750660207740778,0.041830413495112705,-13.98826543670785
2451663.815856,+15:28:56.7383,-07:28:33.048,23.01892525964711,23.985684224620986,27.290610987209945,0.68893998090595,163.36096469317056,-0.08750718189499603,0.04183020185493618,-13.987718170756192
