,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,Limiting,Saturation
4,frame-g-001862-5-0115,51866.2174107,g,54,43.4090150492873,-7.08578260169166,frame-g-001862-5-0115,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1862/5/frame-g-001862-5-0115.fits.bz2,,NEAT (C/2004 D1),2000-Nov-22 05:08:17.696,2451870.714093704,8.5,10.6,8.0,5.0,0.03,,,43.152126953,-7.080195574,43.164045521,-7.077696279,-9.47924,0.397704,,,,,557945.189,47212.28,150.319,,999,,23.125,21.881,99.96552,,536606.6,*,,,,,,207.82,0.0,,,40.041367,-21.043116,13.670937406,-9.092076,12.8145049286253,1.2919325,106.5749877,11.4044538,24.5276723,149.0574,/T,2.1246,151.8,14.701,28.8212,27.938,211.15,0.10427,Eri,64.182891,38.4069402,-22.5245969,,,183.626407,-54.961476,,0.0,0.733,1.171,1.358,0.252,58.971,1.0766112,1.381,16159.08,0.0001568,3.7,13.46,0.107802,254.3837,,2.1279,39.2212,-21.7859,23.3,14.0
9,frame-g-001886-5-0117,51874.1865334,g,54,42.9021093680915,-7.06463886260554,frame-g-001886-5-0117,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1886/5/frame-g-001886-5-0117.fits.bz2,,NEAT (C/2004 D1),2000-Nov-27 05:08:17.696,2451875.714093704,8.5,10.6,8.0,5.0,0.03,,,42.838482389,-7.059053703,42.850426038,-7.05675343,-9.17929,0.873536,,,,,535476.472,50834.164,142.365,,999,,23.119,21.885,99.95772,,523212.4,*,,,,,,214.93,0.0,,,40.108527,-20.987993,13.64467652121,-9.0959082,12.8216385879368,3.6319964,106.63431653,11.4154876,24.09317,145.3368,/T,2.3528,135.1,1.5747,32.3143,35.021,210.791,-0.17361,Eri,64.183002,38.0944148,-22.4067175,,,183.257909,-55.191505,,0.0,0.739,1.166,1.357,0.252,58.589,1.0743842,1.381,16061.6441,0.0001564,3.56,12.96,0.107152,254.4668,,2.3563,39.0993,-21.7004,23.3,14.0
14,frame-g-002570-3-0286,52170.4634607,g,54,50.9625249467376,-0.199167348697179,frame-g-002570-3-0286,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2570/3/frame-g-002570-3-0286.fits.bz2,,NEAT (C/2004 D1),2000-Dec-02 05:08:17.696,2451880.714093704,8.5,10.6,8.0,5.0,0.03,,,42.536617257,-7.021890972,42.548633098,-7.019718933,-8.78042,1.35769,,,,,513495.81,53916.339,135.604,,999,,23.115,21.891,99.94874,,508600.2,*,,,,,,220.75,0.0,,,40.175896,-20.932633,13.61840477666,-9.099736,12.835370747176,5.8568427,106.74852342,11.4265575,23.7091279,141.2778,/T,2.5911,78.6,31.9579,36.1357,40.82,210.428,-0.44963,Eri,64.183121,37.7998373,-22.2769238,,,182.87643,-55.401429,,0.0,0.745,1.16,1.356,0.251,58.215,1.0706819,1.379,15968.0787,0.000156,3.41,12.39,0.106528,254.5503,,2.5946,38.9862,-21.6089,23.3,14.0
19,frame-g-002578-3-0150,52171.4003647,g,54,50.9319711614708,-0.21307209664443,frame-g-002578-3-0150,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2578/3/frame-g-002578-3-0150.fits.bz2,,NEAT (C/2004 D1),2000-Dec-07 05:08:17.696,2451885.714093704,8.5,10.6,8.0,5.0,0.03,,,42.249710729,-6.968554268,42.261608933,-6.966554936,-8.292,1.842872,,,,,492106.328,56421.004,129.763,,999,,23.112,21.897,99.93888,,493139.6,*,,,,,,225.57,0.0,,,40.243475,-20.877032,13.59212217456,-9.103559,12.855331774418,7.9428296,106.91453422,11.4376633,23.3886985,136.9832,/T,2.8297,23.4,78.9956,40.1921,45.628,210.066,-0.72119,Eri,64.183244,37.5262301,-22.1361392,,,182.485596,-55.588607,,0.0,0.751,1.153,1.353,0.251,57.851,1.0655403,1.376,15878.7735,0.0001556,3.24,11.78,0.105932,254.6341,,2.8332,38.8837,-21.5119,23.3,14.0
24,frame-g-002579-3-0101,52171.4738759,g,54,50.9295177251707,-0.214166596733376,frame-g-002579-3-0101,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2579/3/frame-g-002579-3-0101.fits.bz2,,NEAT (C/2004 D1),2000-Dec-12 05:08:17.696,2451890.714093704,8.5,10.6,8.0,5.0,0.03,,,41.98059315,-6.899114162,41.992466722,-6.897286677,-7.72498,2.323154,,,,,471379.027,58318.116,124.629,,999,,23.109,21.904,99.92847,,477086.8,*,,,,,,229.64,0.0,,,40.311264,-20.82119,13.56582871616,-9.1073772,12.8811006576312,9.8787053,107.12884749,11.4488051,23.1469982,132.5241,/T,3.0617,57.1,98.9759,44.4198,49.681,209.709,-0.9859,Eri,64.183373,37.2767502,-21.9853986,,,182.089154,-55.750846,,0.0,0.755,1.145,1.349,0.25,57.5,1.0590161,1.372,15794.0471,0.0001552,3.06,11.14,0.105367,254.7182,,3.065,38.793,-21.4099,23.3,14.0
29,frame-g-002591-3-0068,52173.4476739,g,54,50.8612127124249,-0.243699766108363,frame-g-002591-3-0068,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2591/3/frame-g-002591-3-0068.fits.bz2,,NEAT (C/2004 D1),2000-Dec-17 05:08:17.696,2451895.714093704,8.5,10.6,8.0,5.0,0.03,,,41.731770074,-6.813785269,41.743623732,-6.812046682,-7.08585,2.796138,,,,,451349.913,59586.59,120.049,,999,,23.108,21.912,99.91786,,460616.6,*,,,,,,233.12,0.0,,,40.379265,-20.765105,13.53952440324,-9.11119,12.9122456979145,11.665898,107.38787289,11.4599829,22.9942857,127.9491,/T,3.2815,126.9,59.1631,48.7756,53.159,209.36,-1.24154,Eri,64.183507,37.0537088,-21.8257752,,,181.690859,-55.88633,,0.0,0.758,1.137,1.344,0.249,57.164,1.0511769,1.366,15714.1604,0.0001549,2.88,10.46,0.104834,254.8026,,3.2846,38.7155,-21.3033,23.3,14.0
38,frame-g-002700-1-0184,52224.3477929,g,54,47.7556927396,-0.833241438036111,frame-g-002700-1-0184,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-g-002700-1-0184.fits.bz2,,NEAT (C/2004 D1),2000-Dec-26 05:08:17.696,2451904.714093704,8.5,10.6,8.0,5.0,0.03,,,41.342673338,-6.621091801,41.354241194,-6.619638953,-5.75974,3.620058,,,,,417085.783,60241.948,112.885,,999,,23.107,21.926,99.89938,,430301.7,*,,,,,,238.35,0.0,,,40.502205,-20.663534,13.4921492932,-9.1180387,12.9803826800025,14.4470011,107.95455089,11.4801935,22.9166974,119.5283,/T,3.633,114.8,0.2227,56.8456,58.376,208.766,-1.67195,Eri,64.18376,36.7258374,-21.5196169,,,180.981706,-56.057571,,0.0,0.761,1.12,1.331,0.247,56.606,1.0339974,1.354,15583.3086,0.0001544,2.52,9.17,0.103961,254.9554,,3.6355,38.6127,-21.1017,23.3,14.0
39,frame-g-002700-1-0185,52224.3482075,g,54,47.7556612300001,-0.833242785486109,frame-g-002700-1-0185,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2700/1/frame-g-002700-1-0185.fits.bz2,,NEAT (C/2004 D1),2000-Dec-27 05:08:17.696,2451905.714093704,8.5,10.6,8.0,5.0,0.03,,,41.304553204,-6.596666594,41.316104964,-6.595231159,-5.60016,3.708259,,,,,413418.844,60184.657,112.161,,999,,23.107,21.928,99.89744,,426899.3,*,,,,,,238.87,0.0,,,40.515908,-20.6522,13.48688322187,-9.1187984,12.9888049080357,14.716115,108.02459642,11.4824463,22.9226261,118.5831,/T,3.6678,103.4,2.0068,57.7559,58.891,208.703,-1.717,Eri,64.183788,36.6956947,-21.484344,,,180.904336,-56.070558,,0.0,0.761,1.118,1.33,0.247,56.548,1.0318636,1.352,15569.8346,0.0001544,2.48,9.02,0.103871,254.9724,,3.6703,38.6044,-21.0786,23.3,14.0
44,frame-g-002709-2-0186,52225.3130634,g,54,47.6823060929836,-0.836222035461103,frame-g-002709-2-0186,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2709/2/frame-g-002709-2-0186.fits.bz2,,NEAT (C/2004 D1),2001-Jan-01 05:08:17.696,2451910.714093704,8.5,10.6,8.0,5.0,0.03,,,41.130408315,-6.465881996,41.141761035,-6.464545599,-4.77332,4.135783,,,,,395487.065,59509.868,108.739,,999,,23.108,21.935,99.88831,,409830.3,*,,,,,,241.3,0.0,,,40.584552,-20.595376,13.46054635459,-9.1225933,13.0331115482249,15.932874,108.39308351,11.4937321,22.9965144,113.8417,/T,3.8281,46.8,33.4478,62.3374,61.322,208.403,-1.93271,Cet,64.183932,36.5646022,-21.3049712,,,180.524122,-56.11681,,0.0,0.761,1.107,1.321,0.246,56.272,1.0205865,1.344,15505.7242,0.0001541,2.28,8.29,0.103443,255.0577,,3.8303,38.5727,-20.9616,23.3,14.0
49,frame-g-002738-1-0232,52234.3024358,g,54,47.0000459742086,-0.840205833544452,frame-g-002738-1-0232,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2738/1/frame-g-002738-1-0232.fits.bz2,,NEAT (C/2004 D1),2001-Jan-06 05:08:17.696,2451915.714093704,8.5,10.6,8.0,5.0,0.03,,,40.984719809,-6.321262884,40.995784406,-6.320079748,-3.9084,4.537707,,,,,378188.929,58196.839,105.622,,999,,23.109,21.943,99.8803,,392707.5,*,,,,,,243.53,0.0,,,40.653414,-20.538302,13.43419863617,-9.1263815,13.0806186452236,16.932731,108.78818799,11.5050541,23.1467882,109.0854,/T,3.9636,25.6,82.2544,66.9585,63.545,208.126,-2.13144,Cet,64.184075,36.4671108,-21.1215151,,,180.157661,-56.131609,,0.0,0.761,1.096,1.311,0.245,56.019,1.0083835,1.334,15447.061,0.000154,2.08,7.56,0.103052,255.1434,,3.9654,38.5578,-20.8422,23.3,14.0
