,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV,Tmag,Limiting,Saturation
96,tu2187854.fits.fz 6dfa4d675c929ad0a4bb646778b84b08,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/6dfa4d675c929ad0a4bb646778b84b08,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,23.047052411451027,23.7,16.0
97,tu2188400.fits.fz 8282c1096f073595c416c64cacf02348,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/8282c1096f073595c416c64cacf02348,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,23.047052411451027,23.7,16.0
98,c4d_140217_080925_ori.fits.fz 38fe420e7a0de5577542c665155eb379,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/38fe420e7a0de5577542c665155eb379,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,23.047052411451027,23.7,16.0
99,c4d_140217_080925_ooi_z_ls11.fits.fz 1b67f59e1fba05a5e3acdae65d968d89,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/1b67f59e1fba05a5e3acdae65d968d89,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,23.047052411451027,23.7,16.0
100,tu2188149.fits.fz 49a40b68a980d1047580d3ae8e5cadef,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/49a40b68a980d1047580d3ae8e5cadef,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,23.047045688143836,23.7,16.0
101,tu2188354.fits.fz f71b4811773a06d2eda7615f9f5b5370,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/f71b4811773a06d2eda7615f9f5b5370,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,23.047045688143836,23.7,16.0
102,c4d_140217_081452_ori.fits.fz 5e78c50bec2f59628b75c2d13ed57d8d,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/5e78c50bec2f59628b75c2d13ed57d8d,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,23.047045688143836,23.7,16.0
103,c4d_140217_081452_ooi_z_ls11.fits.fz d9bfc52d4d104f75546773ebfaa6d027,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/d9bfc52d4d104f75546773ebfaa6d027,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,23.047045688143836,23.7,16.0
104,tu2187957.fits.fz 1f9349a282dc999b45303d5869bdc6c1,56705.3451183954,z,300,237.636313006934,5.242388483559,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/1f9349a282dc999b45303d5869bdc6c1,,2456705.845118,+15:50:33.0197,+05:14:31.331,10.544355555160193,10.657710990294005,22.73852011443508,5.30723390036293,93.9266571806881,0.0726101894885869,0.0704844986885012,-18.000363975877036,23.047034297591424,23.7,16.0
105,tu2187980.fits.fz 147357bf7b59eedab8686b4ac909a587,56705.3451183954,z,300,237.636313006934,5.242388483559,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/147357bf7b59eedab8686b4ac909a587,,2456705.845118,+15:50:33.0197,+05:14:31.331,10.544355555160193,10.657710990294005,22.73852011443508,5.30723390036293,93.9266571806881,0.0726101894885869,0.0704844986885012,-18.000363975877036,23.047034297591424,23.7,16.0
106,c4d_140217_082023_ori.fits.fz 0d26a9462bdf5d29ad1ecf3274a2a8f3,56705.3451183954,z,300,237.636313006934,5.242388483559,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/0d26a9462bdf5d29ad1ecf3274a2a8f3,,2456705.845118,+15:50:33.0197,+05:14:31.331,10.544355555160193,10.657710990294005,22.73852011443508,5.30723390036293,93.9266571806881,0.0726101894885869,0.0704844986885012,-18.000363975877036,23.047034297591424,23.7,16.0
107,c4d_140217_082023_ooi_z_ls11.fits.fz 7ec937afc70c482f068582117adada3b,56705.3451183954,z,300,237.636313006934,5.242388483559,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/7ec937afc70c482f068582117adada3b,,2456705.845118,+15:50:33.0197,+05:14:31.331,10.544355555160193,10.657710990294005,22.73852011443508,5.30723390036293,93.9266571806881,0.0726101894885869,0.0704844986885012,-18.000363975877036,23.047034297591424,23.7,16.0
108,tu2188220.fits.fz cdf50b393656729c6e201afea63303d6,56705.3489257082,z,300,237.636423101728,5.24249604014544,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/cdf50b393656729c6e201afea63303d6,,2456705.848926,+15:50:33.0463,+05:14:31.718,10.544315968284986,10.657729599056864,22.7385076010728,5.307207165630549,93.9300585372423,0.0725955177484482,0.0704881996735079,-18.00021395391908,23.04702287565304,23.7,16.0
109,tu2188473.fits.fz 61b9bd1293b85a4df71d60bdfb61ae68,56705.3489257082,z,300,237.636423101728,5.24249604014544,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/61b9bd1293b85a4df71d60bdfb61ae68,,2456705.848926,+15:50:33.0463,+05:14:31.718,10.544315968284986,10.657729599056864,22.7385076010728,5.307207165630549,93.9300585372423,0.0725955177484482,0.0704881996735079,-18.00021395391908,23.04702287565304,23.7,16.0
110,c4d_140217_082550_ori.fits.fz af84021a324bf743cc83211a3f4feffe,56705.3489257082,z,300,237.636423101728,5.24249604014544,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/af84021a324bf743cc83211a3f4feffe,,2456705.848926,+15:50:33.0463,+05:14:31.718,10.544315968284986,10.657729599056864,22.7385076010728,5.307207165630549,93.9300585372423,0.0725955177484482,0.0704881996735079,-18.00021395391908,23.04702287565304,23.7,16.0
111,c4d_140217_082550_ooi_z_ls11.fits.fz c531f9ac901b774fb6f60793bad2cb16,56705.3489257082,z,300,237.636423101728,5.24249604014544,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/c531f9ac901b774fb6f60793bad2cb16,,2456705.848926,+15:50:33.0463,+05:14:31.718,10.544315968284986,10.657729599056864,22.7385076010728,5.307207165630549,93.9300585372423,0.0725955177484482,0.0704881996735079,-18.00021395391908,23.04702287565304,23.7,16.0
112,tu2187920.fits.fz b3f4b890fa6203ea5234aa0466eda9df,56705.3527602583,z,300,237.636533984136,5.24260436618581,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/b3f4b890fa6203ea5234aa0466eda9df,,2456705.85276,+15:50:33.0732,+05:14:32.107,10.544276111447706,10.657748334884133,22.73849500234037,5.307180229786022,93.93348312565436,0.0725807456313158,0.0704919255446175,-18.000062800948392,23.047011372002736,23.7,16.0
113,tu2188266.fits.fz b1db3e38effc22fd15dd17b7dd73bb8d,56705.3527602583,z,300,237.636533984136,5.24260436618581,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/b1db3e38effc22fd15dd17b7dd73bb8d,,2456705.85276,+15:50:33.0732,+05:14:32.107,10.544276111447706,10.657748334884133,22.73849500234037,5.307180229786022,93.93348312565436,0.0725807456313158,0.0704919255446175,-18.000062800948392,23.047011372002736,23.7,16.0
