,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,Limiting,Saturation
4,frame-g-004849-1-0491,53270.2907571,g,54,5.45323101318718,-0.967133548097336,frame-g-004849-1-0491,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4849/1/frame-g-004849-1-0491.fits.bz2,,Read (P/2005 T3),1996-Jun-03 08:33:26,2450237.856550926,9.2,13.3,10.0,5.0,0.03,,,218.279453518,-17.148554017,218.236185113,-17.133176948,-9.59613,2.869722,,,,,488144.496,-142180.81,86.609,,999,,23.166,22.639,99.90854,,533587.6,*,,,,,,284.96,0.0,,,224.824985,-1.809078,8.835273570837,-0.3252673,7.95685901591028,14.3414292,66.17517855,9.1342334,21.5274459,148.2188,/T,3.4614,52.9,96.5999,28.2694,104.964,294.348,0.55752,Lib,62.184843,221.3167911,-2.008554,,,334.954122,39.315745,,0.0,5237.402,2316.11,5726.628,21.893,-23.855,393873.67,5726.67,8681324.08,0.2181426,10478.43,38083.38,57.91556,189.8622,,3.4661,223.0922,-1.9097,23.3,14.0
9,frame-g-004858-1-0389,53272.3399883,g,54,5.24905700284563,-1.03907570128618,frame-g-004858-1-0389,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/4858/1/frame-g-004858-1-0389.fits.bz2,,Read (P/2005 T3),1996-Jun-08 08:33:26,2450242.856550926,9.2,13.3,10.0,5.0,0.03,,,217.96083346,-17.056894294,217.917562711,-17.041489652,-8.65845,2.626134,,,,,468162.361,-143716.41,88.138,,999,,23.178,22.665,99.88105,,515254.7,*,,,,,,285.6,0.0,,,224.995092,-1.826906,8.834326124246,-0.330951,8.00134385253684,16.4470706,66.54514766,9.1353534,21.9816925,143.1263,/T,3.9484,125.5,51.3033,32.8751,105.6,294.448,0.59951,Lib,62.184716,220.9986453,-2.0168799,,,334.66892,39.545513,,0.0,5206.115,2311.198,5696.031,22.377,-23.938,400428.8,5696.075,8429003.69,0.2171365,9787.54,35572.38,56.23226,190.0355,,3.9529,223.0182,-1.9231,23.3,14.0
268,ztf_20180410405741_000278_zr_c07_o_q1_sciimg,58218.405937511,zr,30,242.26703110618,-24.7186441145827,278,ZTF,,,Read (P/2005 T3),1997-Dec-16 08:33:26,2450798.856550926,9.2,13.3,10.0,5.0,0.03,,,243.85105307,-24.664919857,243.813343613,-24.65620816,19.32298,-4.16504,,,,,-66479.29,-4812.09,261.758,,999,,23.461,22.943,99.96752,,66256.4,*,,,,,,89.99,0.0,,,244.312169,-3.707714,8.628743557057,-0.9418705,9.55691012440838,-10.1480647,79.48239785,9.3858649,39.3891154,18.4046,/L,2.0599,133.5,94.1399,159.5661,269.992,284.99,-0.53894,Sco,63.183452,246.3125078,-3.3468828,,,351.090567,18.594603,,0.0,3532.786,908.043,3647.502,29.188,-14.408,334459.04,3647.618,10944571.6,0.1939815,7628.98,27727.18,73.014323,209.4099,,2.0653,245.3293,-3.528,24.5,12.5
269,ztf_20180410467766_000278_zr_c07_o_q1_sciimg,58218.4679514109,zr,30,242.263700442973,-24.7186406693661,278,ZTF,,,Read (P/2005 T3),1997-Dec-17 08:33:26,2450799.856550926,9.2,13.3,10.0,5.0,0.03,,,243.992618596,-24.692608924,243.954987429,-24.683942707,19.26392,-4.15005,,,,,-69650.88,-4771.77,261.775,,999,,23.459,22.945,99.96449,,69394.61,*,,,,,,90.42,0.0,,,244.347921,-3.710864,8.628199260575,-0.942916,9.55092813728566,-10.5667667,79.43264718,9.3865396,39.3632486,19.2763,/L,2.1541,121.0,88.4956,158.6003,270.423,284.93,-0.54546,Sco,63.183479,246.4443176,-3.351607,,,351.161976,18.481744,,0.0,3531.713,903.956,3645.446,29.197,-14.35,334377.24,3645.563,10983043.7,0.1940517,7582.98,27559.97,73.270981,209.4452,,2.1594,245.4131,-3.5319,24.5,12.5
270,ztf_20180511354919_000278_zg_c08_o_q2_sciimg,58249.3552430109,zg,30,239.930152606797,-24.5371226692935,278,ZTF,CTIO,,Read (P/2005 T3),1997-Dec-18 08:33:26,2450800.856550926,9.2,13.3,10.0,5.0,0.03,,,244.133771262,-24.720197092,244.096208558,-24.711576051,19.20185,-4.13473,,,,,-72828.97,-4759.13,261.75,,999,,23.458,22.946,99.96134,,72539.32,*,,,,,,90.81,0.0,,,244.383679,-3.714013,8.627654359515,-0.9439614,9.54470473885121,-10.9840383,79.38088875,9.3872153,39.3356098,20.1498,/L,2.2479,108.8,81.4413,157.6329,270.814,284.871,-0.55184,Sco,63.183507,246.5756992,-3.3564201,,,351.232957,18.369151,,0.0,3530.722,899.898,3643.482,29.208,-14.292,334325.49,3643.6,11021286.9,0.194121,7535.45,27387.24,73.526112,209.4805,,2.2532,245.4966,-3.536,24.5,12.5
271,ztf_20180519313287_000277_zr_c05_o_q1_sciimg,58257.3137847111,zr,30,239.190769755098,-24.4386059559754,277,ZTF,CTIO,,Read (P/2005 T3),1997-Dec-19 08:33:26,2450801.856550926,9.2,13.3,10.0,5.0,0.03,,,244.274488536,-24.747682202,244.236985013,-24.739104524,19.13672,-4.11909,,,,,-76013.79,-4774.24,261.69,,999,,23.456,22.947,99.95807,,75690.09,*,,,,,,91.17,0.0,,,244.419441,-3.71716,8.62710885398,-0.9450066,9.53824077917576,-11.3997925,79.32712964,9.3878919,39.306103,21.025,/L,2.3414,96.8,73.3392,156.6642,271.171,284.811,-0.55807,Sco,63.183534,246.7066323,-3.3613224,,,351.303499,18.256843,,0.0,3529.815,895.87,3641.61,29.221,-14.234,334304.0,3641.727,11059292.9,0.1941892,7486.37,27208.87,73.779661,209.5159,,2.3467,245.5799,-3.5401,24.5,12.5
272,ztf_20180524271667_000277_zg_c05_o_q2_sciimg,58262.272476811,zg,30,238.723644786832,-24.3692915174402,277,ZTF,CTIO,,Read (P/2005 T3),1997-Dec-20 08:33:26,2450802.856550926,9.2,13.3,10.0,5.0,0.03,,,244.414747412,-24.775062098,244.377295916,-24.766524968,19.06846,-4.10313,,,,,-79205.55,-4817.12,261.597,,999,,23.454,22.948,99.95467,,78846.54,*,,,,,,91.5,0.0,,,244.455208,-3.720307,8.626562744067,-0.9460516,9.53153716482385,-11.8139221,79.27137738,9.3885695,39.2746399,21.9018,/L,2.4346,85.1,64.5208,155.6943,271.496,284.751,-0.56415,Sco,63.183562,246.8370979,-3.3663144,,,351.373592,18.144836,,0.0,3528.99,891.872,3639.829,29.236,-14.176,334313.01,3639.946,11097053.2,0.1942563,7435.72,27024.79,74.03157,209.5512,,2.4399,245.663,-3.5442,24.5,12.5
273,ztf_20180524313287_000277_zr_c05_o_q2_sciimg,58262.3139930111,zr,30,238.719737074497,-24.368688379311,277,ZTF,CTIO,,Read (P/2005 T3),1997-Dec-21 08:33:26,2450803.856550926,9.2,13.3,10.0,5.0,0.03,,,244.554524451,-24.802334621,244.517120941,-24.793834767,18.99703,-4.08684,,,,,-82404.46,-4887.83,261.477,,999,,23.452,22.949,99.95116,,82008.35,*,,,,,,91.8,0.0,,,244.490979,-3.723452,8.626016029866,-0.9470965,9.52459486839072,-12.2263068,79.21364006,9.389248,39.2411407,22.7801,/L,2.5273,73.5,55.2829,154.7232,271.794,284.692,-0.57007,Sco,63.183591,246.9670775,-3.3713965,,,351.443227,18.03315,,0.0,3528.25,887.905,3638.14,29.253,-14.119,334352.76,3638.258,11134559.2,0.1943224,7383.48,26834.93,74.281783,209.5866,,2.5326,245.7459,-3.5484,24.5,12.5
274,ztf_20180608314317_000277_zg_c10_o_q4_sciimg,58277.3147917111,zg,30,237.345672539528,-24.1349504795996,277,ZTF,CTIO,,Read (P/2005 T3),1997-Dec-22 08:33:26,2450804.856550926,9.2,13.3,10.0,5.0,0.03,,,244.69379583,-24.829497614,244.656439882,-24.821031793,18.92237,-4.07023,,,,,-85610.71,-4986.38,261.332,,999,,23.45,22.95,99.94754,,85175.26,*,,,,,,92.07,0.0,,,244.526756,-3.726597,8.625468711464,-0.9481412,9.51741493443268,-12.6368181,79.15392637,9.3899275,39.2055322,23.6598,/L,2.6197,61.9,45.8962,153.7512,272.068,284.633,-0.57585,Sco,63.183619,247.0965529,-3.376569,,,351.512391,17.921802,,0.0,3527.593,883.969,3636.545,29.272,-14.061,334423.49,3636.662,11171802.3,0.1943875,7329.64,26639.23,74.530242,209.622,,2.6249,245.8285,-3.5526,24.5,12.5
275,ztf_20180611250671_000277_zg_c10_o_q4_sciimg,58280.2511458113,zg,30,237.092882250128,-24.0869743088095,277,ZTF,CTIO,,Read (P/2005 T3),1997-Dec-23 08:33:26,2450805.856550926,9.2,13.3,10.0,5.0,0.03,,,244.832537362,-24.85654892,244.795232314,-24.848114375,18.84444,-4.05329,,,,,-88824.49,-5112.77,261.165,,999,,23.448,22.951,99.9438,,88347.03,*,,,,,,92.32,0.0,,,244.562537,-3.72974,8.624920788943,-0.9491858,9.50999848350422,-13.0453214,79.09224563,9.3906079,39.1677447,24.5408,/L,2.7115,50.3,36.621,152.7783,272.32,284.574,-0.58147,Sco,63.183648,247.2255057,-3.3818323,,,351.581075,17.810811,,0.0,3527.02,880.064,3635.042,29.293,-14.003,334525.44,3635.16,11208773.7,0.1944514,7274.16,26437.62,74.776889,209.6573,,2.7168,245.9108,-3.5569,24.5,12.5
