,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,Limiting,Saturation
0,frame-r-001024-1-0026,51463.4040713,r,54,40.2006861090792,-9.08935622120277,frame-r-001024-1-0026,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/1/frame-r-001024-1-0026.fits.bz2,,McNaught (C/2006 Q1),1999-Oct-12 09:41:51.760,2451463.904071296,9.3,,4.75,,40.200726697,-9.089377384,40.199307951,-9.090143885,-5.6482,-3.50791,,,,,-560548.63,-6458.57,234.828,,999,,22.185,,99.98788,,546513.5,*,,,,,,124.6,0.0,,,33.885882,-22.458143,21.42385747803,-8.4972839,20.5389168621961,-15.5503192,170.81696282,9.1081599,31.603971,151.8093,/L,1.2642,155.2,8.3009,26.9305,304.824,306.177,-0.03523,Cet,64.182357,34.6833381,-23.4818294,,,183.16971,-58.498064,,0.0,0.427,0.335,0.534,0.098,-37.648,0.1646277,0.543,8485.3869,4.71e-05,1.15,4.18,0.056608,222.2731,,1.2615,34.2835,-22.9705,23.1,14.0
1,frame-i-001024-1-0026,51463.4049005,i,54,40.2006544267293,-9.08937559223607,frame-i-001024-1-0026,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/1/frame-i-001024-1-0026.fits.bz2,,McNaught (C/2006 Q1),1999-Oct-13 09:41:51.760,2451464.904071296,9.3,,4.75,,40.162411501,-9.112658136,40.161055567,-9.113450567,-5.70053,-3.47606,,,,,-563499.33,-5191.69,233.03,,999,,22.183,,99.9883,,548445.3,*,,,,,,126.48,0.0,,,33.888955,-22.46234,21.41894938908,-8.4981365,20.5300732060421,-15.0732264,170.74341237,9.1092288,31.462706,152.3459,/L,1.242,146.2,14.2575,26.416,306.707,306.283,0.00598,Cet,64.182361,34.6360659,-23.4912981,,,183.159558,-58.54215,,0.0,0.428,0.335,0.535,0.098,-37.61,0.164709,0.543,8479.2552,4.71e-05,1.16,4.22,0.056568,222.2784,,1.2393,34.2615,-22.9773,22.3,14.0
2,frame-u-001024-1-0026,51463.4057298,u,54,40.2006227405585,-9.08939496560549,frame-u-001024-1-0026,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/1/frame-u-001024-1-0026.fits.bz2,,McNaught (C/2006 Q1),1999-Oct-14 09:41:51.760,2451465.904071296,9.3,,4.75,,40.123747721,-9.135722726,40.122460223,-9.136538346,-5.75073,-3.44308,,,,,-566431.05,-3930.39,231.157,,999,,22.182,,99.9887,,550282.9,*,,,,,,128.42,0.0,,,33.892029,-22.466538,21.41404081544,-8.4989894,20.5215057921711,-14.5937817,170.67215936,9.1102981,31.3203531,152.8564,/L,1.2207,136.0,21.448,25.9266,308.659,306.389,0.04723,Cet,64.182364,34.5885208,-23.50044,,,183.148655,-58.58637,,0.0,0.428,0.335,0.535,0.098,-37.573,0.1647873,0.544,8473.0679,4.71e-05,1.17,4.25,0.056526,222.2836,,1.2182,34.2393,-22.9839,22.3,14.0
4,frame-g-001024-1-0026,51463.4073883,g,54,40.2005593720374,-9.08943371000838,frame-g-001024-1-0026,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1024/1/frame-g-001024-1-0026.fits.bz2,,McNaught (C/2006 Q1),1999-Oct-16 09:41:51.760,2451467.904071296,9.3,,4.75,,40.045432278,-9.181173658,40.044290462,-9.182027631,-5.84466,-3.37381,,,,,-572238.75,-1426.0,227.186,,999,,22.179,,99.98941,,553653.0,*,,,,,,132.51,0.0,,,33.898184,-22.474939,21.40422221352,-8.5006961,20.5052047274281,-13.6287479,170.53658754,9.1124381,31.0327866,153.7925,/L,1.1813,114.2,38.5655,25.0293,312.77,306.603,0.12976,Cet,64.182374,34.4926726,-23.5177339,,,183.124612,-58.675149,,0.0,0.429,0.335,0.535,0.098,-37.499,0.1649345,0.544,8460.5299,4.71e-05,1.19,4.33,0.056443,222.2942,,1.1791,34.1946,-22.9966,23.3,14.0
5,frame-r-001045-1-0040,51465.4185702,r,54,40.1231447501416,-9.13602052736674,frame-r-001045-1-0040,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/1/frame-r-001045-1-0040.fits.bz2,,McNaught (C/2006 Q1),1999-Oct-17 09:41:51.760,2451468.904071296,9.3,,4.75,,40.005809757,-9.203545457,40.00473976,-9.204415874,-5.88838,-3.33756,,,,,-575115.43,-183.662,225.09,,999,,22.178,,99.98973,,555173.7,*,,,,,,134.66,0.0,,,33.901263,-22.479143,21.39931218495,-8.5015499,20.4974732722301,-13.1435982,170.47228699,9.1135088,30.8877768,154.2149,/L,1.1634,102.8,48.0073,24.6245,314.926,306.71,0.17102,Cet,64.182379,34.4443985,-23.5258815,,,183.111478,-58.719677,,0.0,0.429,0.335,0.535,0.098,-37.462,0.1650033,0.544,8454.1811,4.71e-05,1.2,4.36,0.0564,222.2995,,1.1613,34.172,-23.0027,23.1,14.0
6,frame-i-001045-1-0040,51465.4193995,i,54,40.1231125111041,-9.1360395551945,frame-i-001045-1-0040,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/1/frame-i-001045-1-0040.fits.bz2,,McNaught (C/2006 Q1),1999-Oct-18 09:41:51.760,2451469.904071296,9.3,,4.75,,39.965896898,-9.225672019,39.964894019,-9.226558576,-5.92992,-3.30026,,,,,-577974.55,1051.612,222.921,,999,,22.177,,99.99002,,556576.9,*,,,,,,136.88,0.0,,,33.904344,-22.483348,21.39440167109,-8.5024041,20.4900224568076,-12.6569789,170.41032045,9.1145799,30.7420928,154.6047,/L,1.1468,91.3,57.6909,24.2511,317.149,306.818,0.21224,Cet,64.182384,34.3959103,-23.5336935,,,183.097608,-58.764275,,0.0,0.43,0.335,0.536,0.098,-37.426,0.1650688,0.545,8447.7804,4.71e-05,1.21,4.4,0.056358,222.3048,,1.1449,34.1494,-23.0086,22.3,14.0
7,frame-u-001045-1-0040,51465.4202287,u,54,40.1230802759542,-9.13605858072779,frame-u-001045-1-0040,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/1/frame-u-001045-1-0040.fits.bz2,,McNaught (C/2006 Q1),1999-Oct-19 09:41:51.760,2451470.904071296,9.3,,4.75,,39.925708389,-9.247546438,39.924765071,-9.248450354,-5.96928,-3.26193,,,,,-580816.55,2279.445,220.683,,999,,22.175,,99.99028,,557856.9,*,,,,,,139.15,0.0,,,33.907427,-22.487555,21.38949067179,-8.5032585,20.4828530697429,-12.1690973,170.35069447,9.1156514,30.5958536,154.9602,/L,1.1316,79.4,67.3114,23.9105,319.435,306.925,0.25343,Cet,64.18239,34.3472224,-23.5411681,,,183.083006,-58.808928,,0.0,0.43,0.335,0.536,0.098,-37.389,0.165131,0.545,8441.3287,4.7e-05,1.22,4.43,0.056314,222.31,,1.1298,34.1266,-23.0144,22.3,14.0
9,frame-g-001045-1-0040,51465.4218872,g,54,40.1230158017668,-9.13609663408885,frame-g-001045-1-0040,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/1045/1/frame-g-001045-1-0040.fits.bz2,,McNaught (C/2006 Q1),1999-Oct-21 09:41:51.760,2451472.904071296,9.3,,4.75,,39.844563082,-9.290512021,39.843708795,-9.291460815,-6.04151,-3.18231,,,,,-586451.22,4711.288,216.012,,999,,22.173,,99.99071,,560024.9,*,,,,,,143.88,0.0,,,33.913597,-22.495976,21.37966721627,-8.5049683,20.469361157641,-11.1903162,170.23848566,9.1177958,30.3022488,155.5625,/L,1.1056,54.9,84.8318,23.3336,324.181,307.141,0.33563,Cet,64.182404,34.2493104,-23.5550985,,,183.051624,-58.898335,,0.0,0.431,0.334,0.536,0.098,-37.317,0.1652454,0.545,8428.2765,4.7e-05,1.24,4.5,0.056227,222.3206,,1.1042,34.0809,-23.0255,23.3,14.0
118,ztf_20180506452870_000690_zg_c11_o_q2_sciimg,58244.4530787109,zg,30,327.346841208618,34.7476674262739,690,ZTF,,,McNaught (C/2006 Q1),2001-Mar-05 09:41:51.760,2451973.904071296,9.3,,4.75,,39.116459333,-10.103423518,39.123830248,-10.102926497,4.586859,3.355045,,,,,189933.52,-14932.9,98.179,,999,,21.801,,99.95629,,189493.1,*,,,,,,270.12,0.0,,,35.696014,-24.877952,18.85288955878,-8.9751529,19.4383925016716,11.6392964,161.66418081,9.7186348,25.1142645,52.637,/T,2.399,73.4,75.1522,124.9736,90.196,310.274,1.41613,Cet,64.18543,33.2206383,-24.0818913,,,183.427787,-59.975098,,0.0,0.39,0.295,0.481,0.088,-36.583,0.1324026,0.489,6453.1415,4.38e-05,0.49,1.78,0.043051,225.2608,,2.3961,34.4502,-24.4839,24.5,12.5
119,ztf_20180506483090_000690_zr_c11_o_q2_sciimg,58244.483310211,zr,30,327.347225400598,34.7485886472629,690,ZTF,,,McNaught (C/2006 Q1),2001-Mar-06 09:41:51.760,2451974.904071296,9.3,,4.75,,39.147858331,-10.081065169,39.155206634,-10.080541417,4.687679,3.351914,,,,,186851.136,-16246.56,98.457,,999,,21.802,,99.95721,,186516.9,*,,,,,,270.75,0.0,,,35.700125,-24.88333,18.84770587491,-8.9761843,19.4450268161532,11.3332965,161.71935672,9.7199789,25.2598996,51.8103,/T,2.3736,87.1,84.55,125.8258,90.827,310.171,1.37974,Cet,64.185443,33.2607628,-24.0712683,,,183.430667,-59.937034,,0.0,0.389,0.295,0.481,0.088,-36.612,0.1321989,0.489,6450.6334,4.38e-05,0.48,1.75,0.043034,225.2673,,2.3706,34.4723,-24.4811,24.5,12.5
