,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,Limiting,Saturation
0,rings.v3.skycell.0761.021.wrp.z.55224_65322,55224.6537898111,z,30,207.875648945192,-26.7753839560646,0761.021,Pan-STARRS1,,,McNaught (C/2009 F2),2010-Apr-11 03:43:02.453,2455297.654889502,6.4,10.7,10.0,5.0,0.03,,,205.202337662,-20.813489681,205.352886833,-20.869028092,-14.05,20.21129,,,,,-620601.71,-104840.33,203.338,,999,,17.647,18.137,99.9599,,598300.9,*,,,,,,155.05,0.0,,,209.245201,-8.059074,5.966412448856,2.1147798,4.9884688691034,-3.5681284,41.4878305,17.170466,24.9943167,166.1947,/L,2.2987,131.9,10.8937,11.4008,335.253,231.865,2.27044,Vir,66.185654,211.07061,-9.6535444,,,318.193725,40.588035,,0.0,0.271,0.24,0.301,0.203,35.621,0.1913668,0.362,6093.7439,5.73e-05,1.04,3.8,0.040653,14.2716,,2.2948,210.0786,-8.8583,20.9,14.5
1,rings.v3.skycell.0761.031.wrp.z.55224_65322,55224.6537898111,z,30,207.875648945192,-26.7753839560646,0761.031,Pan-STARRS1,,,McNaught (C/2009 F2),2010-Apr-12 03:43:02.453,2455298.654889502,6.4,10.7,10.0,5.0,0.03,,,205.102076279,-20.678255436,205.252530939,-20.733861711,-14.0958,20.34367,,,,,-623645.51,-105674.42,200.353,,999,,17.647,18.133,99.96456,,601327.7,*,,,,,,158.27,0.0,,,209.294307,-7.978059,5.967637811678,2.1284972,4.98656827980559,-3.0130585,41.47202378,17.1686848,25.0462288,167.0355,/L,2.1611,144.0,5.6775,10.7033,338.492,231.921,2.10612,Vir,66.185651,210.932015,-9.5619071,,,318.118595,40.742383,,0.0,0.27,0.24,0.3,0.201,36.114,0.1897968,0.361,6095.8816,5.74e-05,1.04,3.79,0.040667,14.3661,,2.1574,210.034,-8.7718,20.9,14.5
2,rings.v3.skycell.0929.016.wrp.r.55306_42867,55306.4292808334,r,36,204.272435543952,-19.5305823756619,0929.016,Pan-STARRS1,,,McNaught (C/2009 F2),2010-Apr-13 03:43:02.453,2455299.654889502,6.4,10.7,10.0,5.0,0.03,,,205.001618278,-20.542161366,205.151978052,-20.597832137,-14.1304,20.46931,,,,,-626666.14,-106496.77,196.949,,999,,17.647,18.129,99.96872,,604196.1,*,,,,,,161.91,0.0,,,209.343374,-7.897072,5.968871091427,2.1422031,4.98498898693478,-2.4555537,41.4588892,17.1668926,25.1003798,167.8322,/L,2.0302,156.3,2.0803,10.0443,342.154,231.976,1.94096,Vir,66.185647,210.7928637,-9.4695966,,,318.042925,40.897547,,0.0,0.268,0.24,0.299,0.2,36.564,0.1883118,0.36,6097.9998,5.74e-05,1.04,3.79,0.040681,14.4607,,2.0268,209.9892,-8.685,21.5,14.5
3,rings.v3.skycell.0929.017.wrp.r.55306_42867,55306.4292808334,r,36,204.272435543952,-19.5305823756619,0929.017,Pan-STARRS1,,,McNaught (C/2009 F2),2010-Apr-14 03:43:02.453,2455300.654889502,6.4,10.7,10.0,5.0,0.03,,,204.901043657,-20.405252987,205.051313071,-20.460986736,-14.1538,20.58805,,,,,-629663.82,-107307.2,193.069,,999,,17.648,18.125,99.97238,,606872.5,*,,,,,,166.04,0.0,,,209.392401,-7.816113,5.970112281388,2.1558974,4.98373229984702,-1.8959537,41.44843765,17.1650895,25.1566885,168.5757,/L,1.9076,168.4,0.329,9.4317,346.297,232.032,1.77502,Vir,66.185643,210.6532484,-9.376628,,,317.966789,41.053465,,0.0,0.267,0.24,0.299,0.199,36.969,0.1869175,0.359,6100.0977,5.75e-05,1.04,3.79,0.040695,14.5551,,1.9045,209.9441,-8.5978,21.5,14.5
4,rings.v3.skycell.0929.016.wrp.r.55306_42981,55306.4304220334,r,36,204.272322279852,-19.5304212445616,0929.016,Pan-STARRS1,,,McNaught (C/2009 F2),2010-Apr-15 03:43:02.453,2455301.654889502,6.4,10.7,10.0,5.0,0.03,,,204.800432694,-20.267576825,204.950620624,-20.323374199,-14.1659,20.69974,,,,,-632638.83,-108105.53,188.657,,999,,17.648,18.122,99.97553,,609316.5,*,,,,,,170.7,0.0,,,209.441389,-7.735182,5.97136137481,2.16958,4.98279932481064,-1.334622,41.44067833,17.1632754,25.2150789,169.2546,/L,1.7953,175.1,0.6032,8.875,350.976,232.087,1.6084,Vir,66.185638,210.5132618,-9.2830173,,,317.890261,41.210072,,0.0,0.266,0.24,0.298,0.198,37.329,0.1856192,0.358,6102.1743,5.76e-05,1.04,3.79,0.040709,14.6496,,1.7925,209.8988,-8.5104,21.5,14.5
5,rings.v3.skycell.0929.017.wrp.r.55306_42981,55306.4304220334,r,36,204.272322279852,-19.5304212445616,0929.017,Pan-STARRS1,,,McNaught (C/2009 F2),2010-Apr-16 03:43:02.453,2455302.654889502,6.4,10.7,10.0,5.0,0.03,,,204.699865735,-20.129180326,204.849983915,-20.185044056,-14.1667,20.80425,,,,,-635591.43,-108891.6,183.672,,999,,17.649,18.119,99.97817,,611481.1,*,,,,,,175.94,0.0,,,209.490337,-7.65428,5.972618364912,2.1832509,4.98219095151355,-0.7719444,41.43561865,17.1614504,25.275485,169.8558,/L,1.6955,164.2,3.0084,8.3852,356.233,232.142,1.44118,Vir,66.185633,210.3729963,-9.188781,,,317.813415,41.367304,,0.0,0.265,0.24,0.298,0.197,37.646,0.1844221,0.357,6104.2291,5.77e-05,1.04,3.79,0.040723,14.744,,1.6931,209.8534,-8.4227,21.5,14.5
6,rings.v3.skycell.0929.016.wrp.r.55306_43149,55306.4321037334,r,36,204.272155371127,-19.5301837978645,0929.016,Pan-STARRS1,,,McNaught (C/2009 F2),2010-Apr-17 03:43:02.453,2455303.654889502,6.4,10.7,10.0,5.0,0.03,,,204.599422929,-19.990111739,204.74948359,-20.046046091,-14.1562,20.90149,,,,,636119.168,-109665.23,178.095,,999,,17.65,18.117,99.98029,,613313.7,*,,,,,,181.78,0.0,,,209.539245,-7.573406,5.973883244882,2.19691,4.98190784186615,-0.2083228,41.4332641,17.1596145,25.3378552,170.3649,/T,1.6107,151.2,7.5523,7.9745,2.085,232.196,1.27344,Vir,66.185627,210.2325419,-9.0939364,,,317.736327,41.525094,,0.0,0.264,0.24,0.298,0.196,37.919,0.1833306,0.356,6106.2614,5.78e-05,1.04,3.78,0.040737,14.8384,,1.6088,209.8078,-8.3348,21.5,14.5
7,rings.v3.skycell.0929.016.wrp.r.55306_43787,55306.4384806334,r,36,204.271522463802,-19.5292834150121,0929.016,Pan-STARRS1,,,McNaught (C/2009 F2),2010-Apr-18 03:43:02.453,2455304.654889502,6.4,10.7,10.0,5.0,0.03,,,204.49918392,-19.850419979,204.64919698,-19.906429753,-14.1344,20.99134,,,,,631750.951,-110426.25,171.955,,999,,17.65,18.115,99.98189,,614759.5,*,,,,,,188.19,0.0,,,209.588114,-7.492561,5.975156007872,2.2105573,4.98195042303704,0.3558336,41.43361823,17.1577677,25.4021568,170.7665,/T,1.5435,137.9,14.1287,7.6555,8.504,232.249,1.10527,Vir,66.185621,210.0919861,-8.9985012,,,317.659076,41.683379,,0.0,0.263,0.239,0.297,0.195,38.148,0.1823489,0.356,6108.2708,5.79e-05,1.04,3.78,0.04075,14.9327,,1.5423,209.7621,-8.2466,21.5,14.5
8,rings.v3.skycell.0929.017.wrp.r.55306_43787,55306.4384806334,r,36,204.271522463802,-19.5292834150121,0929.017,Pan-STARRS1,,,McNaught (C/2009 F2),2010-Apr-19 03:43:02.453,2455305.654889502,6.4,10.7,10.0,5.0,0.03,,,204.399227512,-19.710154471,204.549197909,-19.766243705,-14.1014,21.07376,,,,,627369.294,-111174.49,165.339,,999,,17.652,18.114,99.98296,,615766.6,*,,,,,,195.08,0.0,,,209.636945,-7.411746,5.976436647006,2.2241928,4.98231888624552,0.9201189,41.43668265,17.1559101,25.4683775,171.0463,/T,1.4965,124.3,22.512,7.4399,15.401,232.302,0.93675,Vir,66.185615,209.951413,-8.902494,,,317.581738,41.842093,,0.0,0.262,0.239,0.297,0.195,38.334,0.1814803,0.355,6110.2568,5.79e-05,1.04,3.78,0.040763,15.027,,1.4959,209.7164,-8.1582,21.5,14.5
9,rings.v3.skycell.0929.016.wrp.r.55306_43956,55306.4401727333,r,36,204.271354522887,-19.5290444999062,0929.016,Pan-STARRS1,,,McNaught (C/2009 F2),2010-Apr-20 03:43:02.453,2455306.654889502,6.4,10.7,10.0,5.0,0.03,,,204.299631332,-19.569364988,204.44955725,-19.625535683,-14.0575,21.14871,,,,,622975.459,-111909.76,158.399,,999,,17.653,18.114,99.98351,,616293.4,*,,,,,,202.31,0.0,,,209.685736,-7.33096,5.977725155372,2.2378163,4.98301319216573,1.4841426,41.44245701,17.1540417,25.5365273,171.1926,/T,1.4716,110.5,32.3612,7.3367,22.623,232.355,0.76796,Vir,66.185608,209.8109036,-8.8059336,,,317.504391,42.001169,,0.0,0.262,0.239,0.297,0.194,38.478,0.1807279,0.354,6112.2194,5.8e-05,1.04,3.78,0.040776,15.1212,,1.4717,209.6706,-8.0695,21.5,14.5
