,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,Limiting,Saturation
72,c4d_140114_025659_ori.fits.fz b581afe227cee93cf122efae06b02233,56671.1217868594,z,90,45.9190369160197,-62.0619643135343,DES survey hex 456-633 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/b581afe227cee93cf122efae06b02233,,Hill (C/2010 G2),2007-Feb-26 09:28:55.645,2454157.895088484,10.8,,6.25,,249.28523881,-20.90609769,249.391802556,-20.922781073,0.94761,1.692328,,,,,-319145.85,-43666.01,249.341,,999,,23.478,,99.86353,,311755.5,*,,,,,,98.11,0.0,,,246.465844,1.157952,13.38534984841,-10.1715705,13.4074595452983,-40.2123971,111.50644087,11.0841315,40.5522641,86.5988,/L,4.2337,156.8,71.7241,89.066,278.158,184.343,-4.11148,Oph,65.18535,250.8019795,1.1550543,,,357.530415,17.281685,,0.0,0.084,0.339,0.345,0.052,-78.813,0.0563842,0.349,3798.7435,4.14e-05,0.56,2.03,0.025342,223.6996,,4.2342,248.5836,1.1574,23.7,16.0
73,c4d_140114_025659_ooi_z_d1.fits.fz 47d738c44d511416a878eb2001dfc7d4,56671.1217868594,z,90,45.9190369160197,-62.0619643135343,DES survey hex 456-633 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/47d738c44d511416a878eb2001dfc7d4,,Hill (C/2010 G2),2007-Feb-27 09:28:55.645,2454158.895088484,10.8,,6.25,,249.291340174,-20.894707788,249.398067613,-20.911419612,0.75964,1.725372,,,,,-322798.27,-44973.71,249.211,,999,,23.473,,99.86311,,315357.6,*,,,,,,98.09,0.0,,,246.463269,1.168538,13.37947389569,-10.1736169,13.3842263203388,-40.2380616,111.31321603,11.0867778,40.5578988,87.5993,/L,4.2404,144.2,80.5959,88.0586,278.136,184.355,-4.11827,Oph,65.185366,250.806184,1.1671313,,,357.543492,17.284348,,0.0,0.084,0.339,0.345,0.052,-78.804,0.0565122,0.349,3795.7259,4.14e-05,0.55,2.01,0.025322,223.7105,,4.2408,248.5843,1.1687,23.7,16.0
74,c4d_140114_025659_ooi_z_d2.fits.fz e83797c00f367d61f71d234247744b04,56671.1217868594,z,90,45.9190369160197,-62.0619643135343,DES survey hex 456-633 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/e83797c00f367d61f71d234247744b04,,Hill (C/2010 G2),2007-Feb-28 09:28:55.645,2454159.895088484,10.8,,6.25,,249.296096743,-20.88309642,249.402976185,-20.899840763,0.570823,1.758502,,,,,-326441.47,-46287.93,249.088,,999,,23.468,,99.86276,,318962.2,*,,,,,,98.07,0.0,,,246.460693,1.179133,13.3735967601,-10.1756647,13.3609807780152,-40.2550593,111.11988875,11.0894262,40.5615265,88.6006,/L,4.2459,131.6,88.004,87.0519,278.114,184.365,-4.12384,Oph,65.185383,250.8091039,1.1792508,,,357.555921,17.288125,,0.0,0.084,0.339,0.346,0.052,-78.797,0.0566398,0.35,3792.7347,4.13e-05,0.55,1.99,0.025302,223.7215,,4.2461,248.5844,1.1801,23.7,16.0
75,c4d_140114_025659_ooi_z_ls9.fits.fz a0f1ffdf3b43979095bf2ef53f0e42df,56671.1217868594,z,90,45.9190369160197,-62.0619643135343,DES survey hex 456-633 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/a0f1ffdf3b43979095bf2ef53f0e42df,,Hill (C/2010 G2),2007-Mar-01 09:28:55.645,2454160.895088484,10.8,,6.25,,249.299502713,-20.871262991,249.406519228,-20.888041282,0.38117,1.791722,,,,,-330075.05,-47608.28,248.972,,999,,23.463,,99.8625,,322569.5,*,,,,,,98.04,0.0,,,246.458114,1.189738,13.36771844096,-10.177714,13.3377279086385,-40.2634394,110.92650053,11.092077,40.5632073,89.6026,/L,4.25,119.2,93.7358,86.0457,278.093,184.372,-4.12818,Oph,65.185398,250.8107301,1.1914126,,,357.567699,17.293021,,0.0,0.085,0.34,0.346,0.052,-78.791,0.0567669,0.35,3789.7698,4.13e-05,0.54,1.97,0.025283,223.7325,,4.2501,248.5838,1.1915,23.7,16.0
79,c4d_140114_031034_ori.fits.fz 775c9557d9428934e5f026b08b8e80c4,56671.1312115932,z,90,45.9180272914116,-62.0612134764083,DES survey hex 490-623 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/775c9557d9428934e5f026b08b8e80c4,,Hill (C/2010 G2),2007-Mar-05 09:28:55.645,2454164.895088484,10.8,,6.25,,249.299507749,-20.821696128,249.406946029,-20.838582689,-0.38556,1.925548,,,,,-344505.85,-52943.34,248.574,,999,,23.443,,99.86229,,337026.3,*,,,,,,97.96,0.0,,,246.447775,1.232249,13.3441933154,-10.1859258,13.2447424854819,-40.210972,110.15316435,11.1027026,40.5509735,93.6184,/L,4.2537,70.8,98.1551,82.0262,278.006,184.375,-4.13308,Oph,65.185457,250.8042014,1.2404815,,,357.608242,17.323888,,0.0,0.085,0.341,0.347,0.053,-78.787,0.0572698,0.351,3778.175,4.13e-05,0.52,1.9,0.025205,223.7764,,4.2534,248.5752,1.2373,23.7,16.0
80,c4d_140114_031034_ooi_z_d1.fits.fz 284e0166b631287a37f6025c1bc1e00c,56671.1312115932,z,90,45.9180272914116,-62.0612134764083,DES survey hex 490-623 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/284e0166b631287a37f6025c1bc1e00c,,Hill (C/2010 G2),2007-Mar-06 09:28:55.645,2454165.895088484,10.8,,6.25,,249.296076956,-20.808742922,249.403609535,-20.825645759,-0.57919,1.959242,,,,,-348085.91,-54288.69,248.492,,999,,23.438,,99.86244,,340647.6,*,,,,,,97.94,0.0,,,246.445184,1.2429,13.33830906838,-10.1879824,13.2215275249656,-40.1762337,109.96009141,11.1053647,40.5431552,94.6243,/L,4.2514,59.0,94.7542,81.0226,277.985,184.369,-4.13117,Oph,65.18547,250.7993019,1.2528535,,,357.616721,17.33445,,0.0,0.085,0.341,0.348,0.053,-78.791,0.0573938,0.351,3775.3427,4.13e-05,0.52,1.88,0.025186,223.7875,,4.251,248.5714,1.2488,23.7,16.0
81,c4d_140114_031034_ooi_z_d2.fits.fz a1e83c9a63e4d68e2bb99d92f75d7c1b,56671.1312115932,z,90,45.9180272914116,-62.0612134764083,DES survey hex 490-623 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/a1e83c9a63e4d68e2bb99d92f75d7c1b,,Hill (C/2010 G2),2007-Mar-07 09:28:55.645,2454166.895088484,10.8,,6.25,,249.29126287,-20.79556386,249.398895197,-20.812479979,-0.77357,1.993026,,,,,-351654.23,-55637.95,248.417,,999,,23.433,,99.86268,,344271.9,*,,,,,,97.91,0.0,,,246.442591,1.253561,13.33242363374,-10.1900405,13.198335152135,-40.132744,109.76720633,11.108029,40.533379,95.6311,/L,4.2478,47.3,89.7754,80.0195,277.963,184.36,-4.12799,Oph,65.185483,250.7930942,1.265267,,,357.624531,17.346158,,0.0,0.085,0.341,0.348,0.053,-78.796,0.0575171,0.352,3772.537,4.13e-05,0.51,1.87,0.025168,223.7985,,4.2473,248.5669,1.2604,23.7,16.0
82,c4d_140114_031034_ooi_z_ls9.fits.fz e00426e39b0273ca40eb42ff1ed52277,56671.1312115932,z,90,45.9180272914116,-62.0612134764083,DES survey hex 490-623 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/e00426e39b0273ca40eb42ff1ed52277,,Hill (C/2010 G2),2007-Mar-08 09:28:55.645,2454167.895088484,10.8,,6.25,,249.285060568,-20.782158348,249.392801924,-20.799086501,-0.96865,2.026897,,,,,-355210.49,-56990.78,248.349,,999,,23.428,,99.86301,,347899.1,*,,,,,,97.89,0.0,,,246.439996,1.264231,13.32653701082,-10.1921,13.1751704410563,-40.0804342,109.5745513,11.1106957,40.5216024,96.6386,/L,4.2428,35.6,83.388,79.0168,277.941,184.349,-4.12354,Oph,65.185496,250.7855772,1.2777218,,,357.63167,17.359018,,0.0,0.085,0.342,0.348,0.053,-78.804,0.0576395,0.352,3769.7578,4.13e-05,0.51,1.85,0.025149,223.8095,,4.2422,248.5618,1.272,23.7,16.0
86,c4d_140127_022612_ori.fits.fz 27f3853232d347e145d27f0fbac77072,56684.1003946947,g,90,44.8949810875456,-60.9799437024685,DES survey hex 455-592 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/27f3853232d347e145d27f0fbac77072,,Hill (C/2010 G2),2007-Mar-12 09:28:55.645,2454171.895088484,10.8,,6.25,,249.246279531,-20.726261167,249.354572867,-20.743264749,-1.75537,2.163119,,,,,-369308.74,-62430.42,248.145,,999,,23.408,,99.86516,,362438.9,*,,,,,,97.81,0.0,,,246.429593,1.307006,13.30297862282,-10.2003529,13.0828912221122,-39.7814016,108.80708844,11.1213849,40.4534332,100.6775,/L,4.2098,14.9,47.7879,75.0109,277.855,184.279,-4.09295,Oph,65.185543,250.7423502,1.3279483,,,357.653456,17.422045,,0.0,0.085,0.343,0.349,0.053,-78.852,0.0581198,0.353,3758.9064,4.13e-05,0.49,1.78,0.025077,223.8538,,4.2088,248.5347,1.3185,24.0,16.0
87,c4d_140127_022811_ori.fits.fz 49956bb8ee313377c38c26dfdb281743,56684.1017787341,g,90,44.8949147689912,-60.9798242137341,DES survey hex 456-613 tiling,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/49956bb8ee313377c38c26dfdb281743,,Hill (C/2010 G2),2007-Mar-13 09:28:55.645,2454172.895088484,10.8,,6.25,,249.233071483,-20.711715853,249.341521979,-20.728752988,-1.95342,2.197319,,,,,-372800.12,-63795.59,248.111,,999,,23.403,,99.86591,,366081.6,*,,,,,,97.78,0.0,,,246.426986,1.317723,13.29708604838,-10.2024198,13.0599425121543,-39.6837274,108.61622984,11.124063,40.4307854,101.6893,/L,4.1982,26.9,37.6328,74.0105,277.833,184.254,-4.08209,Oph,65.185553,250.7282251,1.3406047,,,357.657196,17.440716,,0.0,0.085,0.343,0.35,0.053,-78.868,0.0582372,0.354,3756.2597,4.13e-05,0.49,1.76,0.025059,223.8649,,4.1971,248.5263,1.3302,24.0,16.0
