,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,Limiting,Saturation
255,ztf_20180421143461_000702_zg_c09_o_q2_sciimg,58229.1438542111,zg,30,74.5325416198631,41.5385464873794,702,ZTF,,,PANSTARRS (C/2016 R2),2013-Apr-17 05:20:50.452,2456399.722806158,7.3,11.2,9.75,5.0,0.03,,,17.947954351,-55.045743144,18.076738969,-54.974989626,10.49588,1.786872,,,,,-25927.85,-235832.02,184.602,,999,,24.435,22.945,99.89854,,236874.8,*,,,,,,7.83,0.0,,,338.068537,-57.571276,14.38264428179,-10.004763,14.7649763501186,-21.3009856,122.79656387,11.066178,38.1689477,65.7985,/L,3.6496,102.6,37.8344,110.4711,187.852,229.628,-2.6591,Phe,67.185601,343.4338532,-55.3031861,,,296.762239,-61.838077,,0.0,0.495,0.299,0.569,0.102,30.186,0.1817277,0.578,10147.0662,9.71e-05,0.7,2.53,0.067694,230.2753,,3.6507,340.7355,-56.4655,24.5,12.5
256,ztf_20180426155625_000703_zg_c16_o_q4_sciimg,58234.1558102113,zg,30,76.6516696815566,42.5194811907335,703,ZTF,,,PANSTARRS (C/2016 R2),2013-Apr-18 05:20:50.452,2456400.722806158,7.3,11.2,9.75,5.0,0.03,,,18.070010408,-55.034212351,18.198646964,-54.96341809,10.48701,1.653433,,,,,-28751.76,-237049.94,185.093,,999,,24.432,22.943,99.89776,,238329.9,*,,,,,,8.67,0.0,,,338.088484,-57.573297,14.37686517936,-10.006342,14.7526245179987,-21.4703878,122.69383681,11.0684105,38.1672338,66.2028,/L,3.6636,107.8,47.2597,110.052,188.686,229.596,-2.62788,Phe,67.185594,343.5392946,-55.3410224,,,296.612003,-61.837701,,0.0,0.493,0.3,0.568,0.102,30.329,0.1813922,0.577,10144.9057,9.71e-05,0.7,2.53,0.06768,230.286,,3.6647,340.7982,-56.4864,24.5,12.5
257,ztf_20181127536516_000719_zr_c11_o_q4_sciimg,58449.5366898109,zr,30,217.595024921067,41.2789165961675,719,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-13 05:20:50.452,2456548.722806158,7.3,11.2,9.75,5.0,0.03,,,23.959953014,-60.714316422,24.08808848,-60.640660539,-7.05502,-6.10953,,,,,-529046.59,-231724.05,197.458,,999,,23.896,22.538,99.89164,,424507.7,*,,,,,,142.27,0.0,,,341.255086,-57.851983,13.51121560504,-10.2503684,13.0108428966122,-7.4247373,108.20788079,11.4187879,25.56571,117.9188,/L,3.7726,85.3,55.9382,58.3285,322.315,237.237,3.77055,Hyi,67.182489,339.9854157,-61.5520388,,,293.331856,-55.581559,,0.0,0.438,0.43,0.606,0.097,44.461,0.1846095,0.614,8853.3428,9.3e-05,2.54,9.22,0.059063,231.9702,,3.7728,340.5555,-59.7033,24.5,12.5
258,ztf_20181229515799_001759_zr_c02_o_q3_sciimg,58481.5159838111,zr,30,230.188138626634,40.5637719748918,1759,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-14 05:20:50.452,2456549.722806158,7.3,11.2,9.75,5.0,0.03,,,23.863036598,-60.75462095,23.991450146,-60.680963484,-7.17024,-5.96618,,,,,-532835.42,-230489.39,196.932,,999,,23.893,22.537,99.89139,,424129.0,*,,,,,,143.49,0.0,,,341.278031,-57.853699,13.5052948799,-10.2520926,13.0066297289252,-7.1647734,108.17284094,11.4213019,25.4713987,117.8136,/L,3.7769,79.7,67.1412,58.4314,323.527,237.341,3.77041,Hyi,67.182478,339.8566033,-61.5420204,,,293.433211,-55.557355,,0.0,0.439,0.43,0.607,0.097,44.369,0.1847921,0.614,8839.9503,9.29e-05,2.54,9.22,0.058974,231.9823,,3.7771,340.5066,-59.6995,24.5,12.5
259,ztf_20190104514016_000721_zg_c12_o_q4_sciimg,58487.5142014111,zg,30,232.103144399168,40.6981260915098,721,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-15 05:20:50.452,2456550.722806158,7.3,11.2,9.75,5.0,0.03,,,23.764444388,-60.793961251,23.893143404,-60.720303221,-7.2825,-5.82012,,,,,-536608.56,-229247.68,196.401,,999,,23.891,22.535,99.89113,,423714.5,*,,,,,,144.7,0.0,,,341.300999,-57.855413,13.49937316378,-10.2538178,13.0025664027205,-6.9058747,108.13904729,11.4238179,25.3790318,117.6985,/L,3.7815,74.6,77.5034,58.5438,324.739,237.443,3.76914,Hyi,67.182469,339.7283496,-61.5307694,,,293.535153,-55.534129,,0.0,0.44,0.43,0.607,0.097,44.274,0.1849687,0.615,8826.5688,9.29e-05,2.53,9.21,0.058885,231.9945,,3.7817,340.4579,-59.6952,24.5,12.5
260,ztf_20190104550556_000721_zr_c12_o_q4_sciimg,58487.5507407109,zr,30,232.114343694559,40.6992009559124,721,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-16 05:20:50.452,2456551.722806158,7.3,11.2,9.75,5.0,0.03,,,23.664215454,-60.832319396,23.793200411,-60.758664701,-7.39183,-5.6714,,,,,-540365.5,-227999.21,195.868,,999,,23.888,22.534,99.89084,,423264.3,*,,,,,,145.91,0.0,,,341.323989,-57.857124,13.49345045601,-10.2555441,12.9986522908923,-6.6480784,108.10649461,11.426336,25.2887892,117.5734,/L,3.7864,70.4,86.4073,58.6658,325.951,237.545,3.76673,Hyi,67.182459,339.6007107,-61.5182913,,,293.637651,-55.511887,,0.0,0.441,0.429,0.608,0.097,44.175,0.1851391,0.616,8813.2002,9.28e-05,2.53,9.2,0.058795,232.0067,,3.7867,340.4095,-59.6903,24.5,12.5
261,ztf_20190108511644_000721_zg_c11_o_q3_sciimg,58491.5118287113,zg,30,233.293061866584,40.8341782847579,721,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-17 05:20:50.452,2456552.722806158,7.3,11.2,9.75,5.0,0.03,,,23.562389077,-60.869677876,23.691654119,-60.79603246,-7.49822,-5.52009,,,,,-544105.77,-226744.23,195.333,,999,,23.886,22.532,99.89054,,422778.7,*,,,,,,147.12,0.0,,,341.347001,-57.858832,13.48752675597,-10.2572715,12.9948867513861,-6.3913998,108.07517757,11.4288563,25.2008231,117.4385,/L,3.7916,67.4,93.3197,58.7974,327.161,237.647,3.76318,Hyi,67.18245,339.4737447,-61.5045924,,,293.740674,-55.490637,,0.0,0.442,0.429,0.609,0.097,44.074,0.1853034,0.616,8799.8465,9.27e-05,2.53,9.19,0.058706,232.0189,,3.7919,340.3614,-59.6848,24.5,12.5
262,ztf_20190119451759_000721_zg_c10_o_q3_sciimg,58502.4519444113,zg,30,236.17479231853,41.3862051136887,721,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-18 05:20:50.452,2456553.722806158,7.3,11.2,9.75,5.0,0.03,,,23.459004756,-60.906019456,23.588540176,-60.832389852,-7.60169,-5.36621,,,,,-547828.93,-225482.98,194.795,,999,,23.883,22.531,99.89022,,422257.9,*,,,,,,148.33,0.0,,,341.370036,-57.860538,13.481602063,-10.259,12.991269138183,-6.1358387,108.0450908,11.4313786,25.1152456,117.2939,/L,3.7972,65.9,97.855,58.9383,328.37,237.747,3.75849,Hyi,67.182441,339.3475126,-61.4896787,,,293.844193,-55.470385,,0.0,0.444,0.429,0.609,0.097,43.971,0.1854615,0.617,8786.5097,9.27e-05,2.52,9.18,0.058617,232.0311,,3.7975,340.3136,-59.6788,24.5,12.5
263,ztf_20190122487708_000721_zg_c10_o_q1_sciimg,58505.4878935111,zg,30,236.872766657301,41.5829158964879,721,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-19 05:20:50.452,2456554.722806158,7.3,11.2,9.75,5.0,0.03,,,23.354102335,-60.941327037,23.483898144,-60.867718777,-7.70224,-5.20978,,,,,-551534.59,-224215.71,194.254,,999,,23.881,22.53,99.88988,,421702.2,*,,,,,,149.54,0.0,,,341.393093,-57.862241,13.47567637647,-10.2607295,12.9877988077513,-5.8813884,108.01622894,11.433903,25.0321208,117.1395,/L,3.8031,66.0,99.8227,59.0887,329.578,237.846,3.75267,Hyi,67.182433,339.2220781,-61.4735565,,,293.948179,-55.451138,,0.0,0.445,0.428,0.61,0.097,43.864,0.1856134,0.618,8773.1916,9.26e-05,2.52,9.16,0.058528,232.0433,,3.8034,340.2661,-59.6722,24.5,12.5
264,ztf_20190122551609_000721_zr_c10_o_q1_sciimg,58505.5518055111,zr,30,236.886976425302,41.5872459344883,721,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-20 05:20:50.452,2456555.722806158,7.3,11.2,9.75,5.0,0.03,,,23.247722221,-60.975583551,23.377771475,-60.902000016,-7.79982,-5.05078,,,,,-555222.34,-222942.63,193.712,,999,,23.878,22.528,99.88952,,421111.8,*,,,,,,150.74,0.0,,,341.416173,-57.863941,13.46974969573,-10.2624601,12.9844751196698,-5.6280464,107.98858667,11.4364295,24.951466,116.9755,/L,3.8092,67.6,99.2397,59.2484,330.784,237.945,3.74572,Hyi,67.182425,339.0975058,-61.4562323,,,294.052604,-55.432904,,0.0,0.446,0.428,0.611,0.097,43.754,0.1857589,0.618,8759.8942,9.25e-05,2.52,9.15,0.05844,232.0555,,3.8096,340.219,-59.665,24.5,12.5
265,ztf_20190125513623_000721_zr_c10_o_q1_sciimg,58508.5137963109,zr,30,237.522628394228,41.796400618355,721,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-21 05:20:50.452,2456556.722806158,7.3,11.2,9.75,5.0,0.03,,,23.139905668,-61.008771906,23.270206507,-60.93521394,-7.89441,-4.88923,,,,,-558891.79,-221664.01,193.168,,999,,23.876,22.527,99.88914,,420487.0,*,,,,,,151.95,0.0,,,341.439274,-57.865638,13.46382202014,-10.2641918,12.9812974315837,-5.3758232,107.96215865,11.4389582,24.8732605,116.8019,/L,3.8157,70.5,96.3053,59.4173,331.989,238.042,3.73763,Hyi,67.182418,338.9738598,-61.4377126,,,294.157439,-55.415688,,0.0,0.447,0.428,0.611,0.097,43.642,0.1858982,0.619,8746.6195,9.25e-05,2.51,9.13,0.058351,232.0677,,3.8161,340.1723,-59.6573,24.5,12.5
266,ztf_20190128512766_000721_zg_c09_o_q2_sciimg,58511.5129514113,zg,30,238.120355195264,42.0244490401497,721,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-22 05:20:50.452,2456557.722806158,7.3,11.2,9.75,5.0,0.03,,,23.030695047,-61.040874991,23.161251012,-60.967341261,-7.98592,-4.72511,,,,,-562542.56,-220380.06,192.622,,999,,23.874,22.526,99.88875,,419828.1,*,,,,,,153.15,0.0,,,341.462399,-57.867333,13.45789334906,-10.2659246,12.9782650901203,-5.1247469,107.93693943,11.4414889,24.7974598,116.6189,/L,3.8224,74.4,91.3459,59.5954,333.191,238.138,3.7284,Hyi,67.182411,338.8512021,-61.4180043,,,294.262655,-55.399499,,0.0,0.449,0.427,0.612,0.097,43.527,0.186031,0.619,8733.3692,9.24e-05,2.51,9.11,0.058263,232.08,,3.8228,340.126,-59.649,24.5,12.5
267,ztf_20190128555266_000721_zr_c09_o_q2_sciimg,58511.5554630109,zr,30,238.128496166588,42.0277921051074,721,ZTF,,,PANSTARRS (C/2016 R2),2013-Sep-23 05:20:50.452,2456558.722806158,7.3,11.2,9.75,5.0,0.03,,,22.920134067,-61.071875721,23.050953044,-60.998363527,-8.07429,-4.55843,,,,,-566174.25,-219091.06,192.075,,999,,23.871,22.524,99.88834,,419135.4,*,,,,,,154.35,0.0,,,341.485545,-57.869025,13.45196368184,-10.2676585,12.9753774201461,-4.8748646,107.91292341,11.4440217,24.7240096,116.4265,/L,3.8295,78.9,84.7521,59.7825,334.392,238.233,3.71804,Hyi,67.182405,338.7295921,-61.3971145,,,294.368224,-55.384344,,0.0,0.45,0.427,0.612,0.097,43.41,0.1861575,0.62,8720.1455,9.24e-05,2.5,9.09,0.058175,232.0922,,3.8299,340.0801,-59.6401,24.5,12.5
