,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV,Tmag,Limiting,Saturation
310,c4d_190514_081332_ori.fits.fz 59eb9bf3b6266fbb105f107fe17efbd1,58617.3432591933,g,90,262.345362823376,-5.24604576586632,DELVE field: 6571-01-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/59eb9bf3b6266fbb105f107fe17efbd1,,2458617.843259,+17:29:23.1720,-05:14:46.989,18.99133893796424,19.840147718410027,26.64328035357528,1.6188356255156928,146.31481695587772,-0.0899452506893008,0.0165462223994247,-5.903382126260667,23.897,24.0,16.0
311,c4d_190514_081332_oki_g_v1.fits.fz 5af834e628a4d93394d4ce9354376ac8,58617.3432591933,g,90,262.345362823376,-5.24604576586632,DELVE field: 6571-01-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/5af834e628a4d93394d4ce9354376ac8,,2458617.843259,+17:29:23.1720,-05:14:46.989,18.99133893796424,19.840147718410027,26.64328035357528,1.6188356255156928,146.31481695587772,-0.0899452506893008,0.0165462223994247,-5.903382126260667,23.897,24.0,16.0
312,c4d_190514_081332_ooi_g_v1.fits.fz 782b3bdaa10db8d7d94a15d183279cdd,58617.3432591933,g,90,262.345362823376,-5.24604576586632,DELVE field: 6571-01-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/782b3bdaa10db8d7d94a15d183279cdd,,2458617.843259,+17:29:23.1720,-05:14:46.989,18.99133893796424,19.840147718410027,26.64328035357528,1.6188356255156928,146.31481695587772,-0.0899452506893008,0.0165462223994247,-5.903382126260667,23.897,24.0,16.0
313,c4d_190514_081332_opi_g_v1.fits.fz cb0856e800ec8bd682b70dc059f35172,58617.3432591933,g,90,262.345362823376,-5.24604576586632,DELVE field: 6571-01-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/cb0856e800ec8bd682b70dc059f35172,,2458617.843259,+17:29:23.1720,-05:14:46.989,18.99133893796424,19.840147718410027,26.64328035357528,1.6188356255156928,146.31481695587772,-0.0899452506893008,0.0165462223994247,-5.903382126260667,23.897,24.0,16.0
314,c4d_190514_083340_ori.fits.fz 498e89cb27d95e9b2b38a7315b7d8764,58617.3572373638,g,90,262.344856697119,-5.24595374291053,DELVE field: 6570-01-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/498e89cb27d95e9b2b38a7315b7d8764,,2458617.857237,+17:29:23.0508,-05:14:46.656,18.991291305631105,19.84021138933193,26.64327642965536,1.6183427164279272,146.32643200464034,-0.0899607316970814,0.0165389439923669,-5.897379797759019,23.897,24.0,16.0
315,c4d_190514_083340_oki_g_v1.fits.fz 4ef4f02deeb2bf697c0fabc406645ea1,58617.3572373638,g,90,262.344856697119,-5.24595374291053,DELVE field: 6570-01-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/4ef4f02deeb2bf697c0fabc406645ea1,,2458617.857237,+17:29:23.0508,-05:14:46.656,18.991291305631105,19.84021138933193,26.64327642965536,1.6183427164279272,146.32643200464034,-0.0899607316970814,0.0165389439923669,-5.897379797759019,23.897,24.0,16.0
316,c4d_190514_083340_ooi_g_v1.fits.fz 102dd8846cead196e4b2aa877c231ad5,58617.3572373638,g,90,262.344856697119,-5.24595374291053,DELVE field: 6570-01-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/102dd8846cead196e4b2aa877c231ad5,,2458617.857237,+17:29:23.0508,-05:14:46.656,18.991291305631105,19.84021138933193,26.64327642965536,1.6183427164279272,146.32643200464034,-0.0899607316970814,0.0165389439923669,-5.897379797759019,23.897,24.0,16.0
317,c4d_190514_083340_opi_g_v1.fits.fz 09a5df9e6ea66e71a8c74f95206ef448,58617.3572373638,g,90,262.344856697119,-5.24595374291053,DELVE field: 6570-01-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/09a5df9e6ea66e71a8c74f95206ef448,,2458617.857237,+17:29:23.0508,-05:14:46.656,18.991291305631105,19.84021138933193,26.64327642965536,1.6183427164279272,146.32643200464034,-0.0899607316970814,0.0165389439923669,-5.897379797759019,23.897,24.0,16.0
327,c4d_190606_064713_ori.fits.fz 109d07b8d602b218020666ba569a9662,58640.2833156089,g,90,261.428197281805,-5.15406622388987,DELVE field: 6571-02-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/109d07b8d602b218020666ba569a9662,,2458640.783316,+17:25:43.0481,-05:09:15.867,18.982099278847148,19.94456136548856,26.65256485207417,0.9466541273763588,161.05077226267895,-0.1058046009579416,0.0029957257399536,4.753195409834128,23.882945784957926,24.0,16.0
328,c4d_190606_064713_oki_g_v1.fits.fz edb204e1f497a823495691ac0de35c41,58640.2833156089,g,90,261.428197281805,-5.15406622388987,DELVE field: 6571-02-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/edb204e1f497a823495691ac0de35c41,,2458640.783316,+17:25:43.0481,-05:09:15.867,18.982099278847148,19.94456136548856,26.65256485207417,0.9466541273763588,161.05077226267895,-0.1058046009579416,0.0029957257399536,4.753195409834128,23.882945784957926,24.0,16.0
329,c4d_190606_064713_ooi_g_v1.fits.fz 8f71fc913b4ef7724a69fb4c59ffcf06,58640.2833156089,g,90,261.428197281805,-5.15406622388987,DELVE field: 6571-02-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/8f71fc913b4ef7724a69fb4c59ffcf06,,2458640.783316,+17:25:43.0481,-05:09:15.867,18.982099278847148,19.94456136548856,26.65256485207417,0.9466541273763588,161.05077226267895,-0.1058046009579416,0.0029957257399536,4.753195409834128,23.882945784957926,24.0,16.0
330,c4d_190606_064713_opi_g_v1.fits.fz 8f9a3b75a6871c3b8150ef8960a81bc5,58640.2833156089,g,90,261.428197281805,-5.15406622388987,DELVE field: 6571-02-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/8f9a3b75a6871c3b8150ef8960a81bc5,,2458640.783316,+17:25:43.0481,-05:09:15.867,18.982099278847148,19.94456136548856,26.65256485207417,0.9466541273763588,161.05077226267895,-0.1058046009579416,0.0029957257399536,4.753195409834128,23.882945784957926,24.0,16.0
331,c4d_190607_062446_ori.fits.fz ffe47d164e1e456a299b82530927a673,58641.267722138,g,90,261.38630783229,-5.15301202476622,DELVE field: 6570-02-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/ffe47d164e1e456a299b82530927a673,,2458641.767722,+17:25:32.9986,-05:09:12.074,18.984938683267806,19.94903838474064,26.653701817997533,0.9331072038513883,161.33008269454962,-0.1060092308636585,0.002355001024845,5.235482702543182,23.882,24.0,16.0
332,c4d_190607_062446_oki_g_v1.fits.fz a17900743a7d068ab2c89d680623f5a1,58641.267722138,g,90,261.38630783229,-5.15301202476622,DELVE field: 6570-02-g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/a17900743a7d068ab2c89d680623f5a1,,2458641.767722,+17:25:32.9986,-05:09:12.074,18.984938683267806,19.94903838474064,26.653701817997533,0.9331072038513883,161.33008269454962,-0.1060092308636585,0.002355001024845,5.235482702543182,23.882,24.0,16.0
